Test 1.2/1.2 AM Crossing-trayectorias
(0.1500, -5.0000)
(0.0000, 0.0000)
(5.0000, 0.0000)
(0.0000, 0.0000)
(0.1500, -4.9700)
(0.0000, 3.0000)
(4.9700, 0.0000)
(-3.0000, 0.0000)
(0.1474, -4.9401)
(-0.2608, 2.9886)
(4.9401, 0.0024)
(-2.9901, 0.2437)
(0.1438, -4.9103)
(-0.3603, 2.9783)
(4.9103, 0.0059)
(-2.9799, 0.3464)
(0.1398, -4.8806)
(-0.3980, 2.9735)
(4.8806, 0.0098)
(-2.9746, 0.3899)
(0.1357, -4.8509)
(-0.4127, 2.9715)
(4.8508, 0.0139)
(-2.9720, 0.4088)
(0.1315, -4.8212)
(-0.4189, 2.9706)
(4.8211, 0.0181)
(-2.9708, 0.4177)
(0.1273, -4.7915)
(-0.4221, 2.9702)
(4.7914, 0.0223)
(-2.9701, 0.4224)
(0.1230, -4.7618)
(-0.4242, 2.9699)
(4.7617, 0.0265)
(-2.9697, 0.4254)
(0.1188, -4.7321)
(-0.4261, 2.9696)
(4.7320, 0.0308)
(-2.9693, 0.4278)
(0.1145, -4.7024)
(-0.4279, 2.9693)
(4.7023, 0.0351)
(-2.9690, 0.4298)
(0.1102, -4.6727)
(-0.4298, 2.9691)
(4.6727, 0.0394)
(-2.9688, 0.4318)
(0.1059, -4.6430)
(-0.4316, 2.9688)
(4.6430, 0.0438)
(-2.9685, 0.4337)
(0.1015, -4.6133)
(-0.4335, 2.9685)
(4.6133, 0.0481)
(-2.9682, 0.4356)
(0.0972, -4.5836)
(-0.4354, 2.9682)
(4.5836, 0.0525)
(-2.9679, 0.4376)
(0.0928, -4.5540)
(-0.4373, 2.9680)
(4.5539, 0.0569)
(-2.9676, 0.4395)
(0.0884, -4.5243)
(-0.4393, 2.9677)
(4.5243, 0.0613)
(-2.9673, 0.4415)
(0.0840, -4.4946)
(-0.4413, 2.9674)
(4.4946, 0.0658)
(-2.9670, 0.4436)
(0.0796, -4.4649)
(-0.4433, 2.9671)
(4.4649, 0.0702)
(-2.9667, 0.4456)
(0.0751, -4.4353)
(-0.4453, 2.9668)
(4.4353, 0.0747)
