Test 1.2 SF Crossing-trayectorias
(5.0000, 0.0000)
(0.0000, 0.0000)
(0.0000, -5.0000)
(0.0000, 0.0000)
(4.9994, 0.0000)
(-0.0556, 0.0000)
(0.0000, -4.9994)
(0.0000, 0.0556)
(4.9983, 0.0000)
(-0.1101, 0.0000)
(0.0000, -4.9983)
(0.0000, 0.1101)
(4.9967, 0.0000)
(-0.1636, 0.0000)
(0.0000, -4.9967)
(0.0000, 0.1636)
(4.9945, 0.0000)
(-0.2161, 0.0000)
(0.0000, -4.9945)
(0.0000, 0.2161)
(4.9919, 0.0000)
(-0.2677, 0.0000)
(0.0000, -4.9919)
(0.0000, 0.2677)
(4.9887, 0.0000)
(-0.3183, 0.0000)
(0.0000, -4.9887)
(0.0000, 0.3183)
(4.9850, 0.0000)
(-0.3679, 0.0000)
(0.0000, -4.9850)
(0.0000, 0.3679)
(4.9808, 0.0000)
(-0.4167, 0.0000)
(0.0000, -4.9808)
(0.0000, 0.4167)
(4.9762, 0.0000)
(-0.4645, 0.0000)
(0.0000, -4.9762)
(0.0000, 0.4645)
(4.9711, 0.0000)
(-0.5115, 0.0000)
(0.0000, -4.9711)
(0.0000, 0.5114)
(4.9655, 0.0000)
(-0.5575, 0.0000)
(0.0000, -4.9655)
(0.0000, 0.5575)
(4.9595, 0.0000)
(-0.6028, 0.0000)
(0.0000, -4.9595)
(0.0000, 0.6027)
(4.9530, 0.0000)
(-0.6471, 0.0001)
(0.0000, -4.9530)
(0.0000, 0.6471)
(4.9461, 0.0000)
(-0.6907, 0.0001)
(0.0000, -4.9461)
(0.0000, 0.6906)
(4.9388, 0.0000)
(-0.7334, 0.0001)
(0.0000, -4.9388)
(0.0000, 0.7332)
(4.9310, 0.0000)
(-0.7753, 0.0002)
(0.0000, -4.9310)
(-0.0001, 0.7752)
(4.9228, 0.0000)
(-0.8165, 0.0002)
(0.0000, -4.9229)
(-0.0001, 0.8163)
(4.9143, 0.0000)
(-0.8568, 0.0003)
(0.0000, -4.9143)
(-0.0002, 0.8567)
(4.9053, 0.0000)
(-0.8964, 0.0004)
(0.0000, -4.9053)
(-0.0003, 0.8962)
(4.8960, 0.0000)
(-0.9353, 0.0005)
(0.0000, -4.8960)
(-0.0004, 0.9351)
(4.8862, 0.0000)
(-0.9733, 0.0006)
(0.0000, -4.8862)
(-0.0006, 0.9732)
(4.8761, 0.0000)
(-1.0107, 0.0008)
(0.0000, -4.8761)
(-0.0008, 1.0105)
(4.8656, 0.0000)
(-1.0474, 0.0010)
(0.0000, -4.8657)
(-0.0010, 1.0472)
(4.8548, 0.0001)
(-1.0833, 0.0012)
(0.0000, -4.8548)
(-0.0012, 1.0831)
(4.8436, 0.0001)
(-1.1185, 0.0014)
(-0.0001, -4.8437)
(-0.0014, 1.1183)
(4.8321, 0.0001)
(-1.1531, 0.0017)
(-0.0001, -4.8321)
(-0.0017, 1.1529)
(4.8202, 0.0001)
(-1.1870, 0.0019)
(-0.0001, -4.8203)
(-0.0020, 1.1867)
(4.8080, 0.0001)
(-1.2202, 0.0023)
(-0.0001, -4.8081)
(-0.0024, 1.2199)
(4.7955, 0.0002)
(-1.2527, 0.0026)
(-0.0001, -4.7955)
(-0.0027, 1.2525)
(4.7827, 0.0002)
(-1.2847, 0.0030)
(-0.0002, -4.7827)
(-0.0032, 1.2844)
(4.7695, 0.0002)
(-1.3159, 0.0035)
(-0.0002, -4.7695)
(-0.0036, 1.3157)
(4.7560, 0.0003)
(-1.3466, 0.0039)
(-0.0003, -4.7561)
(-0.0041, 1.3463)
(4.7423, 0.0003)
(-1.3766, 0.0044)
(-0.0003, -4.7423)
(-0.0046, 1.3763)
(4.7282, 0.0004)
(-1.4061, 0.0050)
(-0.0004, -4.7282)
(-0.0052, 1.4058)
(4.7139, 0.0004)
(-1.4349, 0.0056)
(-0.0004, -4.7139)
(-0.0058, 1.4346)
(4.6992, 0.0005)
(-1.4632, 0.0062)
(-0.0005, -4.6993)
(-0.0065, 1.4628)
(4.6843, 0.0005)
(-1.4908, 0.0068)
(-0.0006, -4.6844)
(-0.0071, 1.4905)
(4.6691, 0.0006)
(-1.5180, 0.0075)
(-0.0006, -4.6692)
(-0.0079, 1.5176)
(4.6537, 0.0007)
(-1.5445, 0.0083)
(-0.0007, -4.6538)
(-0.0086, 1.5441)
(4.6380, 0.0008)
(-1.5705, 0.0091)
(-0.0008, -4.6381)
(-0.0095, 1.5701)
(4.6220, 0.0009)
(-1.5960, 0.0099)
(-0.0009, -4.6221)
(-0.0103, 1.5956)
(4.6058, 0.0010)
(-1.6209, 0.0108)
(-0.0010, -4.6059)
(-0.0112, 1.6205)
(4.5894, 0.0011)
(-1.6454, 0.0117)
(-0.0011, -4.5894)
(-0.0121, 1.6449)
(4.5727, 0.0012)
