Test 2.10/2.10 AM Oncoming-groups-trayectorias
(-1.5000, 9.0000)
(0.0000, 0.0000)
(-1.5000, 11.0000)
(0.0000, 0.0000)
(0.5000, 1.0000)
(0.0000, 0.0000)
(-0.5000, 10.0000)
(0.0000, 0.0000)
(-1.5000, 8.0000)
(0.0000, 0.0000)
(0.5000, 12.0000)
(0.0000, 0.0000)
(-1.5000, 3.0000)
(0.0000, 0.0000)
(0.5000, 2.0000)
(0.0000, 0.0000)
(-1.5000, 1.0000)
(0.0000, 0.0000)
(-1.5000, 12.0000)
(0.0000, 0.0000)
(-0.5000, -1.0000)
(0.0000, 0.0000)
(-1.5000, 10.0000)
(0.0000, 0.0000)
(-0.5000, 11.0000)
(0.0000, 0.0000)
(0.5000, -1.0000)
(0.0000, 0.0000)
(0.5000, 11.0000)
(0.0000, 0.0000)
(-0.5000, 12.0000)
(0.0000, 0.0000)
(-1.5000, -1.0000)
(0.0000, 0.0000)
(0.5000, 9.0000)
(0.0000, 0.0000)
(-0.5000, 8.0000)
(0.0000, 0.0000)
(-0.5000, 2.0000)
(0.0000, 0.0000)
(0.5000, 3.0000)
(0.0000, 0.0000)
(-1.5000, 2.0000)
(0.0000, 0.0000)
(-0.5000, 0.0000)
(0.0000, 0.0000)
(0.5000, 0.0000)
(0.0000, 0.0000)
(-0.5000, 1.0000)
(0.0000, 0.0000)
(-0.5000, 9.0000)
(0.0000, 0.0000)
(0.5000, 8.0000)
(0.0000, 0.0000)
(-1.5000, 0.0000)
(0.0000, 0.0000)
(-0.5000, 3.0000)
(0.0000, 0.0000)
(0.5000, 10.0000)
(0.0000, 0.0000)
(-1.4963, 8.9881)
(0.3679, -1.1870)
(-1.4960, 10.9884)
(0.3975, -1.1621)
(0.5041, 1.0114)
(0.4072, 1.1357)
(-0.4957, 9.9888)
(0.4310, -1.1217)
(-1.5000, 7.9860)
(0.0000, -1.4000)
(0.4954, 11.9890)
(-0.4594, -1.0962)
(-1.5000, 3.0140)
(0.0000, 1.4000)
(0.5037, 2.0119)
(0.3679, 1.1870)
(-1.4963, 1.0119)
(0.3679, 1.1870)
(-1.5013, 11.9867)
(-0.1342, -1.3322)
(-0.4954, -0.9890)
(0.4594, 1.0962)
(-1.5000, 9.9860)
(0.0000, -1.4000)
(-0.4985, 10.9870)
(0.1516, -1.2977)
(0.5039, -0.9883)
(0.3906, 1.1724)
(0.4954, 10.9891)
(-0.4625, -1.0863)
(-0.5011, 11.9873)
(-0.1142, -1.2733)
(-1.5040, -0.9884)
(-0.3975, 1.1621)
(0.4963, 8.9881)
(-0.3679, -1.1870)
(-0.5010, 7.9864)
(-0.1023, -1.3629)
(-0.5038, 2.0116)
(-0.3774, 1.1566)
(0.5000, 3.0140)
(0.0000, 1.4000)
(-1.5000, 2.0140)
(0.0000, 1.4000)
(-0.5044, 0.0113)
(-0.4398, 1.1321)
(0.5000, 0.0140)
(0.0000, 1.4000)
(-0.5013, 1.0134)
(-0.1276, 1.3440)
(-0.4991, 8.9860)
(0.0907, -1.3971)
(0.5000, 7.9860)
(0.0000, -1.4000)
(-1.4996, 0.0138)
(0.0436, 1.3751)
(-0.5010, 3.0135)
(-0.0964, 1.3549)
(0.5000, 9.9860)
(0.0000, -1.4000)
(-1.4972, 8.9744)
(-0.0900, -1.3764)
(-1.4965, 10.9746)
(-0.0441, -1.3750)
(0.5048, 1.0252)
(0.0705, 1.3812)
(-0.4950, 9.9753)
(0.0645, -1.3456)
(-1.5000, 7.9720)
(0.0000, -1.4000)
(0.4954, 11.9750)
(0.0006, -1.4000)
(-1.5000, 3.0280)
(0.0000, 1.4000)
(0.5046, 2.0256)
(0.0890, 1.3766)
(-1.4961, 1.0256)
(0.0206, 1.3744)
(-1.5013, 11.9727)
(0.0002, -1.4000)
(-0.4954, -0.9750)
(-0.0006, 1.4000)
(-1.5000, 9.9720)
(0.0000, -1.4000)
(-0.4980, 10.9732)
(0.0524, -1.3815)
(0.5039, -0.9743)
(-0.0005, 1.4000)
(0.4958, 10.9754)
(0.0442, -1.3750)
(-0.5011, 11.9733)
(0.0002, -1.4000)
(-1.5047, -0.9747)
(-0.0753, 1.3681)
(0.4972, 8.9744)
(0.0900, -1.3764)
(-0.5000, 7.9728)
(0.1036, -1.3555)
(-0.5046, 2.0252)
(-0.0782, 1.3665)
(0.5000, 3.0280)
(0.0000, 1.4000)
(-1.5000, 2.0280)
(0.0000, 1.4000)
(-0.5053, 0.0253)
(-0.0950, 1.3968)
(0.5004, 0.0278)
(0.0437, 1.3751)
(-0.5019, 1.0272)
(-0.0619, 1.3734)
(-0.4983, 8.9724)
(0.0782, -1.3665)
(0.5000, 7.9720)
(0.0000, -1.4000)
(-1.5003, 0.0275)
(-0.0690, 1.3751)
(-0.5020, 3.0271)
(-0.1040, 1.3554)
(0.5000, 9.9720)
(0.0000, -1.4000)
(-1.4981, 8.9606)
(-0.0905, -1.3762)
(-1.4960, 10.9609)
(0.0435, -1.3750)
(0.5044, 1.0390)
(-0.0394, 1.3788)
(-0.4944, 9.9616)
(0.0616, -1.3734)
(-1.5000, 7.9580)
(0.0000, -1.4000)
(0.4954, 11.9610)
(0.0006, -1.4000)
(-1.5000, 3.0420)
(0.0000, 1.4000)
(0.5041, 2.0394)
(-0.0509, 1.3734)
(-1.4968, 1.0394)
(-0.0722, 1.3809)
(-1.5013, 11.9587)
(0.0002, -1.4000)
(-0.4954, -0.9610)
(-0.0006, 1.4000)
(-1.5000, 9.9580)
(0.0000, -1.4000)
(-0.4974, 10.9593)
(0.0533, -1.3885)
(0.5039, -0.9603)
(-0.0005, 1.4000)
(0.4954, 10.9616)
(-0.0435, -1.3750)
(-0.5011, 11.9593)
(0.0002, -1.4000)
(-1.5047, -0.9607)
(0.0007, 1.4000)
(0.4981, 8.9606)
(0.0905, -1.3762)
(-0.4989, 7.9593)
(0.1046, -1.3552)
(-0.5053, 2.0389)
(-0.0787, 1.3663)
(0.5000, 3.0420)
(0.0000, 1.4000)
(-1.5000, 2.0420)
(0.0000, 1.4000)
(-0.5057, 0.0391)
(-0.0381, 1.3794)
(0.5001, 0.0416)
(-0.0331, 1.3808)
(-0.5025, 1.0409)
(-0.0622, 1.3733)
(-0.4975, 8.9587)
(0.0789, -1.3663)
(0.5000, 7.9580)
(0.0000, -1.4000)
(-1.5008, 0.0413)
(-0.0527, 1.3830)
(-0.5031, 3.0407)
(-0.1048, 1.3550)
(0.5000, 9.9580)
(0.0000, -1.4000)
(-1.4976, 8.9469)
(0.0505, -1.3731)
(-1.4957, 10.9471)
(0.0327, -1.3807)
(0.5040, 1.0527)
(-0.0397, 1.3786)
(-0.4938, 9.9479)
(0.0619, -1.3733)
(-1.5000, 7.9440)
(0.0000, -1.4000)
(0.4954, 11.9470)
(0.0006, -1.4000)
(-1.5000, 3.0560)
(0.0000, 1.4000)
(0.5035, 2.0531)
(-0.0512, 1.3732)
(-1.4976, 1.0532)
(-0.0725, 1.3808)
(-1.5013, 11.9447)
(0.0002, -1.4000)
(-0.4954, -0.9470)
(-0.0006, 1.4000)
(-1.5000, 9.9440)
(0.0000, -1.4000)
(-0.4969, 10.9455)
(0.0504, -1.3781)
(0.5039, -0.9463)
(-0.0005, 1.4000)
(0.4959, 10.9478)
(0.0534, -1.3829)
(-0.5011, 11.9453)
(0.0002, -1.4000)
(-1.5047, -0.9467)
(0.0007, 1.4000)
(0.4990, 8.9468)
(0.0910, -1.3761)
(-0.4979, 7.9457)
(0.1054, -1.3548)
(-0.5061, 2.0526)
(-0.0791, 1.3661)
(0.5000, 3.0560)
(0.0000, 1.4000)
(-1.5000, 2.0560)
(0.0000, 1.4000)
(-0.5062, 0.0529)
(-0.0501, 1.3780)
(0.4998, 0.0554)
(-0.0332, 1.3808)
(-0.5031, 1.0546)
(-0.0625, 1.3732)
(-0.4967, 8.9450)
(0.0793, -1.3661)
(0.5000, 7.9440)
(0.0000, -1.4000)
(-1.5013, 0.0552)
(-0.0529, 1.3829)
(-0.5041, 3.0542)
(-0.1055, 1.3547)
(0.5000, 9.9440)
(0.0000, -1.4000)
(-1.4971, 8.9331)
(0.0509, -1.3729)
(-1.4954, 10.9333)
(0.0329, -1.3806)
(0.5036, 1.0665)
(-0.0399, 1.3785)
(-0.4932, 9.9341)
(0.0622, -1.3731)
(-1.5000, 7.9300)
(0.0000, -1.4000)
(0.4954, 11.9330)
(0.0006, -1.4000)
(-1.5000, 3.0700)
(0.0000, 1.4000)
(0.5030, 2.0668)
(-0.0516, 1.3730)
(-1.4983, 1.0670)
(-0.0729, 1.3807)
(-1.5013, 11.9307)
(0.0002, -1.4000)
(-0.4954, -0.9330)
(-0.0006, 1.4000)
(-1.5000, 9.9300)
(0.0000, -1.4000)
(-0.4964, 10.9318)
(0.0506, -1.3780)
(0.5039, -0.9323)
(-0.0005, 1.4000)
(0.4965, 10.9340)
(0.0537, -1.3828)
(-0.5011, 11.9313)
(0.0002, -1.4000)
(-1.5047, -0.9327)
(0.0007, 1.4000)
(0.5000, 8.9331)
(0.0915, -1.3760)
(-0.4968, 7.9322)
(0.1062, -1.3545)
(-0.5069, 2.0662)
(-0.0796, 1.3659)
(0.5000, 3.0700)
(0.0000, 1.4000)
(-1.5000, 2.0700)
(0.0000, 1.4000)
(-0.5067, 0.0666)
(-0.0503, 1.3780)
(0.4994, 0.0692)
(-0.0334, 1.3807)
(-0.5038, 1.0684)
(-0.0628, 1.3730)
(-0.4959, 8.9314)
(0.0798, -1.3659)
(0.5000, 7.9300)
(0.0000, -1.4000)
(-1.5018, 0.0690)
(-0.0531, 1.3829)
(-0.5052, 3.0677)
(-0.1063, 1.3543)
(0.5000, 9.9300)
(0.0000, -1.4000)
(-1.4966, 8.9194)
(0.0512, -1.3727)
(-1.4950, 10.9195)
(0.0331, -1.3806)
(0.5032, 1.0803)
(-0.0401, 1.3784)
(-0.4926, 9.9204)
(0.0625, -1.3730)
(-1.5000, 7.9160)
(0.0000, -1.4000)
(0.4954, 11.9190)
(0.0006, -1.4000)
(-1.5000, 3.0840)
(0.0000, 1.4000)
(0.5025, 2.0806)
(-0.0519, 1.3728)
(-1.4990, 1.0808)
(-0.0732, 1.3806)
(-1.5013, 11.9167)
(0.0002, -1.4000)
(-0.4954, -0.9190)
(-0.0006, 1.4000)
(-1.5000, 9.9160)
(0.0000, -1.4000)
(-0.4959, 10.9180)
(0.0509, -1.3779)
(0.5039, -0.9183)
(-0.0005, 1.4000)
(0.4970, 10.9202)
(0.0539, -1.3828)
(-0.5011, 11.9173)
(0.0002, -1.4000)
(-1.5047, -0.9187)
(0.0007, 1.4000)
(0.5009, 8.9193)
(0.0920, -1.3758)
(-0.4958, 7.9186)
(0.1069, -1.3541)
(-0.5077, 2.0799)
(-0.0801, 1.3657)
(0.5000, 3.0840)
(0.0000, 1.4000)
(-1.5000, 2.0840)
(0.0000, 1.4000)
(-0.5072, 0.0804)
(-0.0505, 1.3779)
(0.4991, 0.0830)
(-0.0336, 1.3806)
(-0.5044, 1.0821)
(-0.0631, 1.3729)
(-0.4951, 8.9177)
(0.0803, -1.3657)
(0.5000, 7.9160)
(0.0000, -1.4000)
(-1.5024, 0.0828)
(-0.0533, 1.3828)
(-0.5062, 3.0813)
(-0.1071, 1.3539)
(0.5000, 9.9160)
(0.0000, -1.4000)
(-1.4961, 8.9057)
(0.0516, -1.3725)
(-1.4947, 10.9057)
(0.0332, -1.3805)
(0.5028, 1.0941)
(-0.0403, 1.3783)
(-0.4919, 9.9067)
(0.0629, -1.3728)
(-1.5000, 7.9020)
(0.0000, -1.4000)
(0.4954, 11.9050)
(0.0006, -1.4000)
(-1.5000, 3.0980)
(0.0000, 1.4000)
(0.5020, 2.0943)
(-0.0522, 1.3726)
(-1.4998, 1.0947)
(-0.0736, 1.3805)
(-1.5013, 11.9027)
(0.0002, -1.4000)
(-0.4954, -0.9050)
(-0.0006, 1.4000)
(-1.5000, 9.9020)
(0.0000, -1.4000)
(-0.4954, 10.9042)
(0.0511, -1.3778)
(0.5039, -0.9043)
(-0.0005, 1.4000)
(0.4975, 10.9063)
(0.0541, -1.3827)
(-0.5011, 11.9033)
(0.0002, -1.4000)
(-1.5047, -0.9047)
(0.0007, 1.4000)
(0.5018, 8.9056)
(0.0925, -1.3757)
(-0.4947, 7.9051)
(0.1077, -1.3537)
(-0.5085, 2.0935)
(-0.0806, 1.3654)
(0.5000, 3.0980)
(0.0000, 1.4000)
(-1.5000, 2.0980)
(0.0000, 1.4000)
(-0.5077, 0.0942)
(-0.0508, 1.3778)
(0.4988, 0.0968)
(-0.0337, 1.3805)
(-0.5050, 1.0958)
(-0.0635, 1.3727)
(-0.4943, 8.9041)
(0.0808, -1.3655)
(0.5000, 7.9020)
(0.0000, -1.4000)
(-1.5029, 0.0966)
(-0.0536, 1.3827)
(-0.5073, 3.0948)
(-0.1079, 1.3535)
(0.5000, 9.9020)
(0.0000, -1.4000)
(-1.4956, 8.8920)
(0.0519, -1.3723)
(-1.4944, 10.8919)
(0.0334, -1.3804)
(0.5024, 1.1079)
(-0.0406, 1.3781)
(-0.4913, 9.8929)
(0.0632, -1.3727)
(-1.5000, 7.8880)
(0.0000, -1.4000)
(0.4955, 11.8910)
(0.0006, -1.4000)
(-1.5000, 3.1120)
(0.0000, 1.4000)
(0.5015, 2.1080)
(-0.0526, 1.3724)
(-1.5005, 1.1085)
(-0.0739, 1.3804)
(-1.5013, 11.8887)
(0.0002, -1.4000)
(-0.4955, -0.8910)
(-0.0006, 1.4000)
(-1.5000, 9.8880)
(0.0000, -1.4000)
(-0.4949, 10.8904)
(0.0513, -1.3777)
(0.5039, -0.8903)
(-0.0005, 1.4000)
(0.4981, 10.8925)
(0.0543, -1.3826)
(-0.5011, 11.8893)
(0.0002, -1.4000)
(-1.5047, -0.8907)
(0.0007, 1.4000)
(0.5027, 8.8918)
(0.0931, -1.3755)
(-0.4936, 7.8916)
(0.1085, -1.3533)
(-0.5093, 2.1072)
(-0.0811, 1.3652)
(0.5000, 3.1120)
(0.0000, 1.4000)
(-1.5000, 2.1120)
(0.0000, 1.4000)
(-0.5083, 0.1080)
(-0.0510, 1.3777)
(0.4984, 0.1106)
(-0.0339, 1.3804)
(-0.5057, 1.1096)
(-0.0638, 1.3726)
(-0.4935, 8.8904)
(0.0812, -1.3652)
(0.5000, 7.8880)
(0.0000, -1.4000)
(-1.5034, 0.1105)
(-0.0538, 1.3826)
(-0.5084, 3.1083)
(-0.1087, 1.3531)
(0.5000, 9.8880)
(0.0000, -1.4000)
(-1.4950, 8.8782)
(0.0523, -1.3721)
(-1.4940, 10.8781)
(0.0336, -1.3803)
(0.5020, 1.1217)
(-0.0408, 1.3780)
(-0.4907, 9.8792)
(0.0635, -1.3726)
(-1.5000, 7.8740)
(0.0000, -1.4000)
(0.4955, 11.8770)
(0.0006, -1.4000)
(-1.5000, 3.1260)
(0.0000, 1.4000)
(0.5009, 2.1217)
(-0.0529, 1.3722)
(-1.5012, 1.1223)
(-0.0743, 1.3803)
(-1.5013, 11.8747)
(0.0002, -1.4000)
(-0.4955, -0.8770)
(-0.0006, 1.4000)
(-1.5000, 9.8740)
(0.0000, -1.4000)
(-0.4944, 10.8767)
(0.0515, -1.3776)
(0.5039, -0.8763)
(-0.0005, 1.4000)
(0.4986, 10.8787)
(0.0546, -1.3826)
(-0.5011, 11.8753)
(0.0002, -1.4000)
(-1.5047, -0.8767)
(0.0007, 1.4000)
(0.5037, 8.8781)
(0.0936, -1.3754)
(-0.4925, 7.8780)
(0.1094, -1.3529)
(-0.5102, 2.1208)
(-0.0815, 1.3650)
(0.5000, 3.1260)
(0.0000, 1.4000)
(-1.5000, 2.1260)
(0.0000, 1.4000)
(-0.5088, 0.1218)
(-0.0512, 1.3776)
(0.4981, 0.1244)
(-0.0341, 1.3803)
(-0.5063, 1.1233)
(-0.0641, 1.3724)
(-0.4927, 8.8768)
(0.0817, -1.3650)
(0.5000, 7.8740)
(0.0000, -1.4000)
(-1.5040, 0.1243)
(-0.0540, 1.3826)
(-0.5095, 3.1219)
(-0.1095, 1.3527)
(0.5000, 9.8740)
(0.0000, -1.4000)
(-1.4945, 8.8645)
(0.0526, -1.3719)
(-1.4937, 10.8643)
(0.0337, -1.3802)
(0.5016, 1.1354)
(-0.0410, 1.3779)
(-0.4900, 9.8655)
(0.0638, -1.3724)
(-1.5000, 7.8600)
(0.0000, -1.4000)
(0.4955, 11.8630)
(0.0006, -1.4000)
(-1.5000, 3.1400)
(0.0000, 1.4000)
(0.5004, 2.1354)
(-0.0533, 1.3720)
(-1.5020, 1.1361)
(-0.0746, 1.3802)
(-1.5013, 11.8607)
(0.0002, -1.4000)
(-0.4955, -0.8630)
(-0.0006, 1.4000)
(-1.5000, 9.8600)
(0.0000, -1.4000)
(-0.4939, 10.8629)
(0.0518, -1.3775)
(0.5039, -0.8623)
(-0.0005, 1.4000)
(0.4992, 10.8648)
(0.0606, -1.3838)
(-0.5011, 11.8613)
(0.0002, -1.4000)
(-1.5047, -0.8627)
(0.0007, 1.4000)
(0.5046, 8.8643)
(0.0941, -1.3752)
(-0.4914, 7.8645)
(0.1102, -1.3525)
(-0.5110, 2.1345)
(-0.0821, 1.3647)
(0.5000, 3.1400)
(0.0000, 1.4000)
(-1.5000, 2.1400)
(0.0000, 1.4000)
(-0.5093, 0.1355)
(-0.0515, 1.3775)
(0.4978, 0.1382)
(-0.0318, 1.3818)
(-0.5070, 1.1370)
(-0.0645, 1.3723)
(-0.4919, 8.8631)
(0.0822, -1.3648)
(0.5000, 7.8600)
(0.0000, -1.4000)
(-1.5046, 0.1381)
(-0.0601, 1.3838)
(-0.5106, 3.1354)
(-0.1104, 1.3523)
(0.5000, 9.8600)
(0.0000, -1.4000)
(-1.4940, 8.8508)
(0.0530, -1.3717)
(-1.4934, 10.8504)
(0.0315, -1.3817)
(0.5011, 1.1492)
(-0.0413, 1.3777)
(-0.4894, 9.8518)
(0.0642, -1.3723)
(-1.5000, 7.8460)
(0.0000, -1.4000)
(0.4955, 11.8490)
(0.0006, -1.4000)
(-1.5000, 3.1540)
(0.0000, 1.4000)
(0.4999, 2.1492)
(-0.0536, 1.3718)
(-1.5027, 1.1499)
(-0.0750, 1.3801)
(-1.5013, 11.8467)
(0.0002, -1.4000)
(-0.4955, -0.8490)
(-0.0006, 1.4000)
(-1.5000, 9.8460)
(0.0000, -1.4000)
(-0.4933, 10.8491)
(0.0520, -1.3774)
(0.5039, -0.8483)
(-0.0005, 1.4000)
(0.4998, 10.8510)
(0.0609, -1.3837)
(-0.5011, 11.8473)
(0.0002, -1.4000)
(-1.5047, -0.8487)
(0.0007, 1.4000)
(0.5056, 8.8506)
(0.0947, -1.3751)
(-0.4903, 7.8510)
(0.1111, -1.3521)
(-0.5118, 2.1481)
(-0.0826, 1.3645)
(0.5000, 3.1540)
(0.0000, 1.4000)
(-1.5000, 2.1540)
(0.0000, 1.4000)
(-0.5098, 0.1493)
(-0.0517, 1.3774)
(0.4974, 0.1520)
(-0.0320, 1.3817)
(-0.5076, 1.1507)
(-0.0648, 1.3721)
(-0.4910, 8.8495)
(0.0827, -1.3645)
(0.5000, 7.8460)
(0.0000, -1.4000)
(-1.5052, 0.1520)
(-0.0603, 1.3837)
(-0.5117, 3.1489)
(-0.1112, 1.3519)
(0.5000, 9.8460)
(0.0000, -1.4000)
(-1.4935, 8.8371)
(0.0533, -1.3715)
(-1.4931, 10.8366)
(0.0316, -1.3816)
(0.5007, 1.1630)
(-0.0415, 1.3776)
(-0.4887, 9.8381)
(0.0645, -1.3721)
(-1.5000, 7.8320)
(0.0000, -1.4000)
(0.4955, 11.8350)
(0.0006, -1.4000)
(-1.5000, 3.1680)
(0.0000, 1.4000)
(0.4993, 2.1629)
(-0.0540, 1.3716)
(-1.5035, 1.1637)
(-0.0753, 1.3800)
(-1.5013, 11.8327)
(0.0002, -1.4000)
(-0.4955, -0.8350)
(-0.0006, 1.4000)
(-1.5000, 9.8320)
(0.0000, -1.4000)
(-0.4928, 10.8353)
(0.0523, -1.3773)
(0.5038, -0.8343)
(-0.0005, 1.4000)
(0.5004, 10.8372)
(0.0611, -1.3836)
(-0.5011, 11.8333)
(0.0002, -1.4000)
(-1.5047, -0.8347)
(0.0007, 1.4000)
(0.5065, 8.8368)
(0.0952, -1.3749)
(-0.4892, 7.8375)
(0.1119, -1.3517)
(-0.5126, 2.1618)
(-0.0831, 1.3643)
(0.5000, 3.1680)
(0.0000, 1.4000)
(-1.5000, 2.1680)
(0.0000, 1.4000)
(-0.5103, 0.1631)
(-0.0519, 1.3773)
(0.4971, 0.1658)
(-0.0322, 1.3816)
(-0.5083, 1.1644)
(-0.0651, 1.3720)
(-0.4902, 8.8358)
(0.0833, -1.3643)
(0.5000, 7.8320)
(0.0000, -1.4000)
(-1.5058, 0.1658)
(-0.0606, 1.3836)
(-0.5128, 3.1624)
(-0.1121, 1.3515)
(0.5000, 9.8320)
(0.0000, -1.4000)
(-1.4929, 8.8234)
(0.0537, -1.3713)
(-1.4928, 10.8228)
(0.0318, -1.3815)
(0.5003, 1.1768)
(-0.0417, 1.3775)
(-0.4881, 9.8243)
(0.0649, -1.3720)
(-1.5000, 7.8180)
(0.0000, -1.4000)
(0.4955, 11.8210)
(0.0006, -1.4000)
(-1.5000, 3.1820)
(0.0000, 1.4000)
(0.4988, 2.1766)
(-0.0544, 1.3713)
(-1.5042, 1.1775)
(-0.0757, 1.3799)
(-1.5013, 11.8187)
(0.0002, -1.4000)
(-0.4955, -0.8210)
(-0.0006, 1.4000)
(-1.5000, 9.8180)
(0.0000, -1.4000)
(-0.4923, 10.8216)
(0.0525, -1.3772)
(0.5038, -0.8203)
(-0.0005, 1.4000)
(0.5011, 10.8233)
(0.0614, -1.3835)
(-0.5011, 11.8193)
(0.0002, -1.4000)
(-1.5047, -0.8207)
(0.0007, 1.4000)
(0.5075, 8.8231)
(0.0958, -1.3747)
(-0.4880, 7.8240)
(0.1128, -1.3513)
(-0.5135, 2.1754)
(-0.0836, 1.3640)
(0.5000, 3.1820)
(0.0000, 1.4000)
(-1.5000, 2.1820)
(0.0000, 1.4000)
(-0.5108, 0.1768)
(-0.0522, 1.3771)
(0.4968, 0.1797)
(-0.0323, 1.3815)
(-0.5089, 1.1782)
