Test 2.10/2.10 PL Oncoming-groups-trayectorias
(-1.5000, 8.0000)
(0.0000, 0.0000)
(0.5000, 12.0000)
(0.0000, 0.0000)
(0.5000, -1.0000)
(0.0000, 0.0000)
(0.5000, 10.0000)
(0.0000, 0.0000)
(0.5000, 3.0000)
(0.0000, 0.0000)
(-1.5000, 11.0000)
(0.0000, 0.0000)
(0.5000, 11.0000)
(0.0000, 0.0000)
(-0.5000, 8.0000)
(0.0000, 0.0000)
(-0.5000, 12.0000)
(0.0000, 0.0000)
(-0.5000, 10.0000)
(0.0000, 0.0000)
(-1.5000, 3.0000)
(0.0000, 0.0000)
(-0.5000, 3.0000)
(0.0000, 0.0000)
(-1.5000, -1.0000)
(0.0000, 0.0000)
(-1.5000, 0.0000)
(0.0000, 0.0000)
(-0.5000, 1.0000)
(0.0000, 0.0000)
(-0.5000, -1.0000)
(0.0000, 0.0000)
(0.5000, 0.0000)
(0.0000, 0.0000)
(-1.5000, 10.0000)
(0.0000, 0.0000)
(-0.5000, 11.0000)
(0.0000, 0.0000)
(-1.5000, 1.0000)
(0.0000, 0.0000)
(-0.5000, 2.0000)
(0.0000, 0.0000)
(-0.5000, 9.0000)
(0.0000, 0.0000)
(-0.5000, 0.0000)
(0.0000, 0.0000)
(0.5000, 1.0000)
(0.0000, 0.0000)
(-1.5000, 2.0000)
(0.0000, 0.0000)
(-1.5000, 9.0000)
(0.0000, 0.0000)
(0.5000, 9.0000)
(0.0000, 0.0000)
(-1.5000, 12.0000)
(0.0000, 0.0000)
(0.5000, 8.0000)
(0.0000, 0.0000)
(0.5000, 2.0000)
(0.0000, 0.0000)
(-1.5000, 7.9998)
(0.0000, -0.0154)
(0.5000, 11.9999)
(0.0000, -0.0154)
(0.5000, -0.9998)
(0.0000, 0.0154)
(0.5000, 9.9998)
(0.0000, -0.0154)
(0.5000, 3.0002)
(0.0000, 0.0154)
(-1.5000, 10.9999)
(0.0000, -0.0154)
(0.5000, 10.9999)
(0.0000, -0.0154)
(-0.5000, 7.9998)
(0.0000, -0.0154)
(-0.5000, 11.9999)
(0.0000, -0.0154)
(-0.5000, 9.9998)
(0.0000, -0.0154)
(-1.5000, 3.0002)
(0.0000, 0.0154)
(-0.5000, 3.0002)
(0.0000, 0.0154)
(-1.5000, -0.9998)
(0.0000, 0.0154)
(-1.5000, 0.0002)
(0.0000, 0.0154)
(-0.5000, 1.0002)
(0.0000, 0.0154)
(-0.5000, -0.9998)
(0.0000, 0.0154)
(0.5000, 0.0002)
(0.0000, 0.0154)
(-1.5000, 9.9998)
(0.0000, -0.0154)
(-0.5000, 10.9999)
(0.0000, -0.0154)
(-1.5000, 1.0002)
(0.0000, 0.0154)
(-0.5000, 2.0002)
(0.0000, 0.0154)
(-0.5000, 8.9998)
(0.0000, -0.0154)
(-0.5000, 0.0002)
(0.0000, 0.0154)
(0.5000, 1.0002)
(0.0000, 0.0154)
(-1.5000, 2.0002)
(0.0000, 0.0154)
(-1.5000, 8.9998)
(0.0000, -0.0154)
(0.5000, 8.9998)
(0.0000, -0.0154)
(-1.5000, 11.9999)
(0.0000, -0.0154)
(0.5000, 7.9998)
(0.0000, -0.0154)
(0.5000, 2.0002)
(0.0000, 0.0154)
(-1.5000, 7.9995)
(0.0000, -0.0306)
(0.5000, 11.9995)
(0.0000, -0.0306)
(0.5000, -0.9995)
(0.0000, 0.0306)
(0.5000, 9.9995)
(0.0000, -0.0306)
(0.5000, 3.0005)
(0.0000, 0.0306)
(-1.5000, 10.9995)
(0.0000, -0.0306)
(0.5000, 10.9995)
(0.0000, -0.0306)
(-0.5000, 7.9995)
(0.0000, -0.0306)
(-0.5000, 11.9995)
(0.0000, -0.0306)
(-0.5000, 9.9995)
(0.0000, -0.0306)
(-1.5000, 3.0005)
(0.0000, 0.0306)
(-0.5000, 3.0005)
(0.0000, 0.0306)
(-1.5000, -0.9995)
(0.0000, 0.0306)
(-1.5000, 0.0005)
(0.0000, 0.0306)
(-0.5000, 1.0005)
(0.0000, 0.0306)
(-0.5000, -0.9995)
(0.0000, 0.0306)
(0.5000, 0.0005)
(0.0000, 0.0306)
(-1.5000, 9.9995)
(0.0000, -0.0306)
(-0.5000, 10.9995)
(0.0000, -0.0306)
(-1.5000, 1.0005)
(0.0000, 0.0306)
(-0.5000, 2.0005)
(0.0000, 0.0306)
(-0.5000, 8.9995)
(0.0000, -0.0306)
(-0.5000, 0.0005)
(0.0000, 0.0306)
(0.5000, 1.0005)
(0.0000, 0.0306)
(-1.5000, 2.0005)
(0.0000, 0.0306)
(-1.5000, 8.9995)
(0.0000, -0.0306)
(0.5000, 8.9995)
(0.0000, -0.0306)
(-1.5000, 11.9995)
(0.0000, -0.0306)
(0.5000, 7.9995)
(0.0000, -0.0306)
(0.5000, 2.0005)
(0.0000, 0.0306)
(-1.5000, 7.9991)
(0.0000, -0.0456)
(0.5000, 11.9991)
(0.0000, -0.0456)
(0.5000, -0.9991)
(0.0000, 0.0456)
(0.5000, 9.9991)
(0.0000, -0.0456)
(0.5000, 3.0009)
(0.0000, 0.0456)
(-1.5000, 10.9991)
(0.0000, -0.0456)
(0.5000, 10.9991)
(0.0000, -0.0456)
(-0.5000, 7.9991)
(0.0000, -0.0456)
(-0.5000, 11.9991)
(0.0000, -0.0456)
(-0.5000, 9.9991)
(0.0000, -0.0456)
(-1.5000, 3.0009)
(0.0000, 0.0456)
(-0.5000, 3.0009)
(0.0000, 0.0456)
(-1.5000, -0.9991)
(0.0000, 0.0456)
(-1.5000, 0.0009)
(0.0000, 0.0456)
(-0.5000, 1.0009)
(0.0000, 0.0456)
(-0.5000, -0.9991)
(0.0000, 0.0456)
(0.5000, 0.0009)
(0.0000, 0.0456)
(-1.5000, 9.9991)
(0.0000, -0.0456)
(-0.5000, 10.9991)
(0.0000, -0.0456)
(-1.5000, 1.0009)
(0.0000, 0.0456)
(-0.5000, 2.0009)
(0.0000, 0.0456)
(-0.5000, 8.9991)
(0.0000, -0.0456)
(-0.5000, 0.0009)
(0.0000, 0.0456)
(0.5000, 1.0009)
(0.0000, 0.0456)
(-1.5000, 2.0009)
(0.0000, 0.0456)
(-1.5000, 8.9991)
(0.0000, -0.0456)
(0.5000, 8.9991)
(0.0000, -0.0456)
(-1.5000, 11.9991)
(0.0000, -0.0456)
(0.5000, 7.9991)
(0.0000, -0.0456)
(0.5000, 2.0009)
(0.0000, 0.0456)
(-1.5000, 7.9985)
(0.0000, -0.0605)
(0.5000, 11.9985)
(0.0000, -0.0605)
(0.5000, -0.9985)
(0.0000, 0.0605)
(0.5000, 9.9985)
(0.0000, -0.0605)
(0.5000, 3.0015)
(0.0000, 0.0605)
(-1.5000, 10.9985)
(0.0000, -0.0605)
(0.5000, 10.9985)
(0.0000, -0.0605)
(-0.5000, 7.9985)
(0.0000, -0.0605)
(-0.5000, 11.9985)
(0.0000, -0.0605)
(-0.5000, 9.9985)
(0.0000, -0.0605)
(-1.5000, 3.0015)
(0.0000, 0.0605)
(-0.5000, 3.0015)
(0.0000, 0.0605)
(-1.5000, -0.9985)
(0.0000, 0.0605)
(-1.5000, 0.0015)
(0.0000, 0.0605)
(-0.5000, 1.0015)
(0.0000, 0.0605)
(-0.5000, -0.9985)
(0.0000, 0.0605)
(0.5000, 0.0015)
(0.0000, 0.0605)
(-1.5000, 9.9985)
(0.0000, -0.0605)
(-0.5000, 10.9985)
(0.0000, -0.0605)
(-1.5000, 1.0015)
(0.0000, 0.0605)
(-0.5000, 2.0015)
(0.0000, 0.0605)
(-0.5000, 8.9985)
(0.0000, -0.0605)
(-0.5000, 0.0015)
(0.0000, 0.0605)
(0.5000, 1.0015)
(0.0000, 0.0605)
(-1.5000, 2.0015)
(0.0000, 0.0605)
