Test 2.10/2.10 RVO2 Oncoming-groups-trayectorias
(0.5000, 2.0300)
(0.0000, 3.0000)
(1.5000, 8.9998)
(0.0000, -0.0250)
(-0.5000, 2.0300)
(0.0000, 3.0000)
(-1.5000, 0.0003)
(0.0000, 0.0250)
(-1.5000, 2.0300)
(0.0000, 3.0000)
(0.5000, 0.0003)
(0.0000, 0.0250)
(-1.5000, 6.9700)
(0.0000, -3.0000)
(-0.5000, 1.0003)
(0.0000, 0.0250)
(1.5000, 2.0300)
(0.0000, 3.0000)
(-0.5000, 8.9998)
(0.0000, -0.0250)
(0.5000, 8.9998)
(0.0000, -0.0250)
(-0.5000, 0.0003)
(0.0000, 0.0250)
(-0.5000, 7.9998)
(0.0000, -0.0250)
(1.5000, 0.0003)
(0.0000, 0.0250)
(0.5000, 1.0003)
(0.0000, 0.0250)
(-1.5000, 7.9998)
(0.0000, -0.0250)
(0.5000, 6.9700)
(0.0000, -3.0000)
(-0.5000, 6.9700)
(0.0000, -3.0000)
(0.5000, 7.9998)
(0.0000, -0.0250)
(-1.5000, 8.9998)
(0.0000, -0.0250)
(1.5000, 6.9700)
(0.0000, -3.0000)
(-1.5000, 1.0003)
(0.0000, 0.0250)
(1.5000, 1.0003)
(0.0000, 0.0250)
(1.5000, 7.9998)
(0.0000, -0.0250)
(0.5000, 2.0600)
(0.0000, 3.0000)
(1.5000, 8.9993)
(0.0000, -0.0500)
(-0.5000, 2.0600)
(0.0000, 3.0000)
(-1.5000, 0.0008)
(0.0000, 0.0500)
(-1.5000, 2.0600)
(0.0000, 3.0000)
(0.5000, 0.0008)
(0.0000, 0.0500)
(-1.5000, 6.9400)
(0.0000, -3.0000)
(-0.5000, 1.0156)
(0.0000, 1.5390)
(1.5000, 2.0600)
(0.0000, 3.0000)
(-0.5000, 8.9993)
(0.0000, -0.0500)
(0.5000, 8.9993)
(0.0000, -0.0500)
(-0.5000, 0.0008)
(0.0000, 0.0500)
(-0.5000, 7.9844)
(0.0000, -1.5390)
(1.5000, 0.0008)
(0.0000, 0.0500)
(0.5000, 1.0156)
(0.0000, 1.5390)
(-1.5000, 7.9844)
(0.0000, -1.5390)
(0.5000, 6.9400)
(0.0000, -3.0000)
(-0.5000, 6.9400)
(0.0000, -3.0000)
(0.5000, 7.9844)
(0.0000, -1.5390)
(-1.5000, 8.9993)
(0.0000, -0.0500)
(1.5000, 6.9400)
(0.0000, -3.0000)
(-1.5000, 1.0156)
(0.0000, 1.5390)
(1.5000, 1.0156)
(0.0000, 1.5390)
(1.5000, 7.9844)
(0.0000, -1.5390)
(0.5000, 2.0900)
(0.0000, 3.0000)
(1.5000, 8.9910)
(0.0000, -0.8202)
(-0.5000, 2.0900)
(0.0000, 3.0000)
(-1.5000, 0.0090)
(0.0000, 0.8202)
(-1.5000, 2.0900)
(0.0000, 3.0000)
(0.5000, 0.0090)
(0.0000, 0.8202)
(-1.5000, 6.9100)
(0.0000, -3.0000)
(-0.5000, 1.0386)
(0.0000, 2.2967)
(1.5000, 2.0900)
(0.0000, 3.0000)
(-0.5000, 8.9910)
(0.0000, -0.8202)
(0.5000, 8.9910)
(0.0000, -0.8202)
(-0.5000, 0.0090)
(0.0000, 0.8202)
(-0.5000, 7.9614)
(0.0000, -2.2967)
(1.5000, 0.0090)
(0.0000, 0.8202)
(0.5000, 1.0386)
(0.0000, 2.2967)
(-1.5000, 7.9614)
(0.0000, -2.2967)
(0.5000, 6.9100)
(0.0000, -3.0000)
(-0.5000, 6.9100)
(0.0000, -3.0000)
(0.5000, 7.9614)
(0.0000, -2.2967)
(-1.5000, 8.9910)
(0.0000, -0.8202)
(1.5000, 6.9100)
(0.0000, -3.0000)
(-1.5000, 1.0386)
(0.0000, 2.2967)
(1.5000, 1.0386)
(0.0000, 2.2967)
(1.5000, 7.9614)
(0.0000, -2.2967)
(0.5000, 2.1200)
(0.0000, 3.0000)
(1.5000, 8.9752)
(0.0000, -1.5850)
(-0.5000, 2.1200)
(0.0000, 3.0000)
(-1.5000, 0.0248)
(0.0000, 1.5850)
(-1.5000, 2.1200)
(0.0000, 3.0000)
(0.5000, 0.0248)
(0.0000, 1.5850)
(-1.5000, 6.8800)
(0.0000, -3.0000)
(-0.5000, 1.0654)
(0.0000, 2.6759)
(1.5000, 2.1200)
(0.0000, 3.0000)
(-0.5000, 8.9752)
(0.0000, -1.5850)
(0.5000, 8.9752)
(0.0000, -1.5850)
(-0.5000, 0.0248)
(0.0000, 1.5850)
(-0.5000, 7.9346)
(0.0000, -2.6759)
(1.5000, 0.0248)
(0.0000, 1.5850)
(0.5000, 1.0654)
(0.0000, 2.6759)
(-1.5000, 7.9346)
(0.0000, -2.6759)
(0.5000, 6.8800)
(0.0000, -3.0000)
(-0.5000, 6.8800)
(0.0000, -3.0000)
(0.5000, 7.9346)
(0.0000, -2.6759)
(-1.5000, 8.9752)
(0.0000, -1.5850)
(1.5000, 6.8800)
(0.0000, -3.0000)
(-1.5000, 1.0654)
(0.0000, 2.6759)
(1.5000, 1.0654)
(0.0000, 2.6759)
(1.5000, 7.9346)
(0.0000, -2.6759)
(0.5000, 2.1500)
(0.0000, 3.0000)
(1.5000, 8.9536)
(0.0000, -2.1575)
(-0.5000, 2.1500)
(0.0000, 3.0000)
(-1.5000, 0.0464)
(0.0000, 2.1575)
(-1.5000, 2.1500)
(0.0000, 3.0000)
(0.5000, 0.0464)
(0.0000, 2.1575)
(-1.5000, 6.8500)
(0.0000, -3.0000)
(-0.5000, 1.0940)
(0.0000, 2.8657)
(1.5000, 2.1500)
(0.0000, 3.0000)
(-0.5000, 8.9536)
(0.0000, -2.1575)
(0.5000, 8.9536)
(0.0000, -2.1575)
(-0.5000, 0.0464)
(0.0000, 2.1575)
(-0.5000, 7.9060)
(0.0000, -2.8657)
(1.5000, 0.0464)
(0.0000, 2.1575)
(0.5000, 1.0940)
(0.0000, 2.8657)
(-1.5000, 7.9060)
(0.0000, -2.8657)
(0.5000, 6.8500)
(0.0000, -3.0000)
(-0.5000, 6.8500)
(0.0000, -3.0000)
(0.5000, 7.9060)
(0.0000, -2.8657)
(-1.5000, 8.9536)
(0.0000, -2.1575)
(1.5000, 6.8500)
(0.0000, -3.0000)
(-1.5000, 1.0940)
(0.0000, 2.8657)
(1.5000, 1.0940)
(0.0000, 2.8657)
(1.5000, 7.9060)
(0.0000, -2.8657)
(0.5000, 2.1800)
(0.0000, 3.0000)
(1.5000, 8.9282)
(0.0000, -2.5390)
(-0.5000, 2.1800)
(0.0000, 3.0000)
(-1.5000, 0.0718)
(0.0000, 2.5390)
(-1.5000, 2.1800)
(0.0000, 3.0000)
(0.5000, 0.0718)
(0.0000, 2.5390)
(-1.5000, 6.8200)
(0.0000, -3.0000)
(-0.5000, 1.1236)
(0.0000, 2.9606)
(1.5000, 2.1800)
(0.0000, 3.0000)
(-0.5000, 8.9282)
(0.0000, -2.5390)
(0.5000, 8.9282)
(0.0000, -2.5390)
(-0.5000, 0.0718)
(0.0000, 2.5390)
(-0.5000, 7.8764)
(0.0000, -2.9606)
(1.5000, 0.0718)
(0.0000, 2.5390)
(0.5000, 1.1236)
(0.0000, 2.9606)
(-1.5000, 7.8764)
(0.0000, -2.9606)
(0.5000, 6.8200)
(0.0000, -3.0000)
(-0.5000, 6.8200)
(0.0000, -3.0000)
(0.5000, 7.8764)
(0.0000, -2.9606)
(-1.5000, 8.9282)
(0.0000, -2.5390)
(1.5000, 6.8200)
(0.0000, -3.0000)
(-1.5000, 1.1236)
(0.0000, 2.9606)
(1.5000, 1.1236)
(0.0000, 2.9606)
(1.5000, 7.8764)
(0.0000, -2.9606)
(0.5000, 2.2100)
(0.0000, 3.0000)
(1.5000, 8.9005)
(0.0000, -2.7774)
(-0.5000, 2.2100)
(0.0000, 3.0000)
(-1.5000, 0.0995)
(0.0000, 2.7774)
(-1.5000, 2.2100)
(0.0000, 3.0000)
(0.5000, 0.0995)
(0.0000, 2.7774)
(-1.5000, 6.7900)
(0.0000, -3.0000)
(-0.5000, 1.1536)
(0.0000, 3.0000)
(1.5000, 2.2100)
(0.0000, 3.0000)
(-0.5000, 8.9005)
(0.0000, -2.7774)
(0.5000, 8.9005)
(0.0000, -2.7774)
(-0.5000, 0.0995)
(0.0000, 2.7774)
(-0.5000, 7.8464)
(0.0000, -3.0000)
(1.5000, 0.0995)
(0.0000, 2.7774)
(0.5000, 1.1536)
(0.0000, 3.0000)
(-1.5000, 7.8464)
(0.0000, -3.0000)
(0.5000, 6.7900)
(0.0000, -3.0000)
(-0.5000, 6.7900)
(0.0000, -3.0000)
(0.5000, 7.8464)
(0.0000, -3.0000)
(-1.5000, 8.9005)
(0.0000, -2.7774)
(1.5000, 6.7900)
(0.0000, -3.0000)
(-1.5000, 1.1536)
(0.0000, 3.0000)
(1.5000, 1.1536)
(0.0000, 3.0000)
(1.5000, 7.8464)
(0.0000, -3.0000)
(0.5000, 2.2400)
(0.0000, 3.0000)
(1.5000, 8.8713)
(0.0000, -2.9164)
(-0.5000, 2.2400)
(0.0000, 3.0000)
(-1.5000, 0.1287)
(0.0000, 2.9164)
(-1.5000, 2.2400)
(0.0000, 3.0000)
(0.5000, 0.1287)
(0.0000, 2.9164)
(-1.5000, 6.7600)
(0.0000, -3.0000)
(-0.5000, 1.1836)
(0.0000, 3.0000)
(1.5000, 2.2400)
(0.0000, 3.0000)
(-0.5000, 8.8713)
(0.0000, -2.9164)
(0.5000, 8.8713)
(0.0000, -2.9164)
(-0.5000, 0.1287)
(0.0000, 2.9164)
(-0.5000, 7.8164)
(0.0000, -3.0000)
(1.5000, 0.1287)
(0.0000, 2.9164)
(0.5000, 1.1836)
(0.0000, 3.0000)
(-1.5000, 7.8164)
(0.0000, -3.0000)
(0.5000, 6.7600)
(0.0000, -3.0000)
(-0.5000, 6.7600)
(0.0000, -3.0000)
(0.5000, 7.8164)
(0.0000, -3.0000)
(-1.5000, 8.8713)
(0.0000, -2.9164)
(1.5000, 6.7600)
(0.0000, -3.0000)
(-1.5000, 1.1836)
(0.0000, 3.0000)
(1.5000, 1.1836)
(0.0000, 3.0000)
(1.5000, 7.8164)
(0.0000, -3.0000)
(0.5000, 2.2700)
(0.0000, 3.0000)
(1.5000, 8.8414)
(0.0000, -2.9859)
(-0.5000, 2.2700)
(0.0000, 3.0000)
(-1.5000, 0.1586)
(0.0000, 2.9859)
(-1.5000, 2.2700)
(0.0000, 3.0000)
(0.5000, 0.1586)
(0.0000, 2.9859)
(-1.5000, 6.7300)
(0.0000, -3.0000)
(-0.5000, 1.2136)
(0.0000, 3.0000)
(1.5000, 2.2700)
(0.0000, 3.0000)
(-0.5000, 8.8414)
(0.0000, -2.9859)
(0.5000, 8.8414)
(0.0000, -2.9859)
(-0.5000, 0.1586)
(0.0000, 2.9859)
(-0.5000, 7.7864)
(0.0000, -3.0000)
(1.5000, 0.1586)
(0.0000, 2.9859)
(0.5000, 1.2136)
(0.0000, 3.0000)
(-1.5000, 7.7864)
(0.0000, -3.0000)
(0.5000, 6.7300)
(0.0000, -3.0000)
(-0.5000, 6.7300)
(0.0000, -3.0000)
(0.5000, 7.7864)
(0.0000, -3.0000)
(-1.5000, 8.8414)
(0.0000, -2.9859)
(1.5000, 6.7300)
(0.0000, -3.0000)
(-1.5000, 1.2136)
(0.0000, 3.0000)
(1.5000, 1.2136)
(0.0000, 3.0000)
(1.5000, 7.7864)
(0.0000, -3.0000)
(0.5000, 2.3000)
(0.0000, 3.0000)
(1.5000, 8.8114)
(0.0000, -3.0000)
(-0.5000, 2.3000)
(0.0000, 3.0000)
(-1.5000, 0.1886)
(0.0000, 3.0000)
(-1.5000, 2.3000)
(0.0000, 3.0000)
(0.5000, 0.1886)
(0.0000, 3.0000)
(-1.5000, 6.7000)
(0.0000, -3.0000)
(-0.5000, 1.2436)
(0.0000, 3.0000)
(1.5000, 2.3000)
(0.0000, 3.0000)
(-0.5000, 8.8114)
