Test 2.10/2.10 SF Oncoming-groups-trayectorias
(-1.5000, 9.0000)
(0.0000, 0.0000)
(-0.5000, 0.0000)
(0.0000, 0.0000)
(-1.5000, 12.0000)
(0.0000, 0.0000)
(-1.5000, 2.0000)
(0.0000, 0.0000)
(-0.5000, 12.0000)
(0.0000, 0.0000)
(0.5000, 11.0000)
(0.0000, 0.0000)
(0.5000, 3.0000)
(0.0000, 0.0000)
(0.5000, 0.0000)
(0.0000, 0.0000)
(-1.5000, 3.0000)
(0.0000, 0.0000)
(0.5000, -1.0000)
(0.0000, 0.0000)
(0.5000, 9.0000)
(0.0000, 0.0000)
(-1.5000, -1.0000)
(0.0000, 0.0000)
(-0.5000, 3.0000)
(0.0000, 0.0000)
(0.5000, 8.0000)
(0.0000, 0.0000)
(-0.5000, -1.0000)
(0.0000, 0.0000)
(0.5000, 1.0000)
(0.0000, 0.0000)
(0.5000, 12.0000)
(0.0000, 0.0000)
(-0.5000, 10.0000)
(0.0000, 0.0000)
(-1.5000, 10.0000)
(0.0000, 0.0000)
(-0.5000, 9.0000)
(0.0000, 0.0000)
(-1.5000, 0.0000)
(0.0000, 0.0000)
(-1.5000, 1.0000)
(0.0000, 0.0000)
(-0.5000, 1.0000)
(0.0000, 0.0000)
(-0.5000, 2.0000)
(0.0000, 0.0000)
(-1.5000, 11.0000)
(0.0000, 0.0000)
(-0.5000, 8.0000)
(0.0000, 0.0000)
(-0.5000, 11.0000)
(0.0000, 0.0000)
(-1.5000, 8.0000)
(0.0000, 0.0000)
(0.5000, 2.0000)
(0.0000, 0.0000)
(0.5000, 10.0000)
(0.0000, 0.0000)
(-1.5000, 8.9997)
(-0.0040, -0.0262)
(-0.5000, 0.0003)
(0.0000, 0.0256)
(-1.5000, 11.9998)
(-0.0034, -0.0225)
(-1.5000, 2.0003)
(-0.0041, 0.0261)
(-0.5000, 11.9998)
(0.0001, -0.0195)
(0.5000, 10.9998)
(0.0048, -0.0251)
(0.5000, 3.0003)
(0.0034, 0.0294)
(0.5000, 0.0003)
(0.0039, 0.0284)
(-1.5000, 3.0003)
(-0.0034, 0.0296)
(0.5000, -0.9998)
(0.0038, 0.0235)
(0.5000, 8.9997)
(0.0040, -0.0261)
(-1.5000, -0.9998)
(-0.0028, 0.0219)
(-0.5000, 3.0003)
(-0.0009, 0.0309)
(0.5000, 7.9997)
(0.0035, -0.0297)
(-0.5000, -0.9998)
(0.0003, 0.0222)
(0.5000, 1.0003)
(0.0035, 0.0273)
(0.5000, 11.9998)
(0.0035, -0.0202)
(-0.5000, 9.9997)
(-0.0002, -0.0270)
(-1.5000, 9.9997)
(-0.0039, -0.0293)
(-0.5000, 8.9997)
(0.0007, -0.0271)
(-1.5000, 0.0002)
(-0.0049, 0.0228)
(-1.5000, 1.0003)
(-0.0049, 0.0260)
(-0.5000, 1.0003)
(-0.0013, 0.0275)
(-0.5000, 2.0003)
(-0.0008, 0.0303)
(-1.5000, 10.9997)
(-0.0039, -0.0281)
(-0.5000, 7.9997)
(0.0016, -0.0333)
(-0.5000, 10.9997)
(0.0010, -0.0264)
(-1.5000, 7.9997)
(-0.0025, -0.0336)
(0.5000, 2.0003)
(0.0035, 0.0315)
(0.5000, 9.9998)
(0.0045, -0.0232)
(-1.5001, 8.9992)
(-0.0078, -0.0520)
(-0.5000, 0.0008)
(0.0000, 0.0508)
(-1.5001, 11.9993)
(-0.0067, -0.0447)
(-1.5001, 2.0008)
(-0.0081, 0.0519)
(-0.5000, 11.9994)
(0.0001, -0.0389)
(0.5001, 10.9993)
(0.0092, -0.0497)
(0.5001, 3.0009)
(0.0066, 0.0583)
(0.5001, 0.0008)
(0.0076, 0.0561)
(-1.5001, 3.0009)
(-0.0067, 0.0586)
(0.5001, -0.9993)
(0.0075, 0.0467)
(0.5001, 8.9992)
(0.0079, -0.0517)
(-1.5001, -0.9993)
(-0.0056, 0.0435)
(-0.5000, 3.0009)
(-0.0018, 0.0612)
(0.5001, 7.9991)
(0.0068, -0.0587)
(-0.5000, -0.9993)
(0.0006, 0.0441)
(0.5001, 1.0008)
(0.0069, 0.0542)
(0.5001, 11.9994)
(0.0069, -0.0403)
(-0.5000, 9.9992)
(-0.0003, -0.0533)
(-1.5001, 9.9991)
(-0.0077, -0.0578)
(-0.5000, 8.9992)
(0.0014, -0.0537)
(-1.5001, 0.0007)
(-0.0095, 0.0454)
(-1.5001, 1.0008)
(-0.0096, 0.0515)
(-0.5000, 1.0008)
(-0.0026, 0.0545)
(-0.5000, 2.0009)
(-0.0016, 0.0598)
(-1.5001, 10.9992)
(-0.0075, -0.0554)
(-0.5000, 7.9990)
(0.0031, -0.0657)
(-0.5000, 10.9992)
(0.0020, -0.0523)
(-1.5001, 7.9990)
(-0.0049, -0.0662)
(0.5001, 2.0009)
(0.0069, 0.0621)
(0.5001, 9.9993)
(0.0088, -0.0461)
(-1.5002, 8.9984)
(-0.0114, -0.0776)
(-0.5000, 0.0015)
(-0.0001, 0.0754)
(-1.5002, 11.9987)
(-0.0098, -0.0666)
(-1.5002, 2.0016)
(-0.0119, 0.0771)
(-0.5000, 11.9988)
(0.0002, -0.0582)
(0.5003, 10.9985)
(0.0135, -0.0737)
(0.5002, 3.0017)
(0.0096, 0.0867)
(0.5002, 0.0017)
(0.0112, 0.0833)
(-1.5002, 3.0018)
(-0.0099, 0.0870)
(0.5002, -0.9986)
(0.0110, 0.0694)
(0.5002, 8.9985)
(0.0116, -0.0769)
(-1.5002, -0.9987)
(-0.0082, 0.0648)
(-0.5001, 3.0018)
(-0.0025, 0.0909)
(0.5002, 7.9982)
(0.0100, -0.0872)
(-0.5000, -0.9987)
(0.0009, 0.0657)
(0.5002, 1.0016)
(0.0099, 0.0806)
(0.5002, 11.9988)
(0.0101, -0.0601)
(-0.5000, 9.9984)
(0.0005, -0.0791)
(-1.5002, 9.9983)
(-0.0112, -0.0857)
(-0.5000, 8.9984)
(0.0020, -0.0800)
(-1.5003, 0.0014)
(-0.0139, 0.0678)
(-1.5003, 1.0015)
(-0.0140, 0.0766)
(-0.5001, 1.0016)
(-0.0041, 0.0804)
(-0.5000, 2.0018)
(-0.0022, 0.0886)
(-1.5002, 10.9984)
(-0.0116, -0.0815)
(-0.4999, 7.9980)
(0.0044, -0.0972)
(-0.4999, 10.9984)
(0.0028, -0.0775)
(-1.5001, 7.9980)
(-0.0072, -0.0980)
(0.5002, 2.0019)
(0.0101, 0.0919)
(0.5003, 9.9986)
(0.0130, -0.0688)
(-1.5004, 8.9974)
(-0.0147, -0.1029)
(-0.5000, 0.0025)
(-0.0001, 0.0996)
(-1.5003, 11.9978)
(-0.0127, -0.0882)
(-1.5004, 2.0025)
(-0.0156, 0.0995)
(-0.5000, 11.9981)
(0.0003, -0.0774)
(0.5004, 10.9975)
(0.0175, -0.0973)
(0.5003, 3.0029)
(0.0126, 0.1145)
(0.5004, 0.0028)
(0.0151, 0.1103)
(-1.5003, 3.0029)
(-0.0130, 0.1148)
(0.5004, -0.9977)
(0.0143, 0.0919)
(0.5004, 8.9974)
(0.0151, -0.1016)
(-1.5003, -0.9978)
(-0.0108, 0.0858)
(-0.5001, 3.0030)
(-0.0032, 0.1198)
(0.5003, 7.9971)
(0.0132, -0.1124)
(-0.5000, -0.9978)
(0.0011, 0.0870)
(0.5003, 1.0027)
(0.0128, 0.1065)
(0.5003, 11.9980)
(0.0132, -0.0797)
(-0.5000, 9.9973)
(0.0018, -0.1063)
(-1.5004, 9.9971)
(-0.0151, -0.1134)
(-0.4999, 8.9973)
(0.0027, -0.1058)
(-1.5005, 0.0023)
(-0.0181, 0.0899)
(-1.5005, 1.0026)
(-0.0182, 0.1011)
(-0.5001, 1.0027)
(-0.0055, 0.1058)
(-0.5001, 2.0030)
(-0.0031, 0.1171)
(-1.5004, 10.9973)
(-0.0150, -0.1065)
(-0.4999, 7.9968)
(0.0054, -0.1280)
(-0.4999, 10.9974)
(0.0024, -0.1023)
(-1.5002, 7.9967)
(-0.0094, -0.1289)
(0.5003, 2.0031)
(0.0132, 0.1207)
(0.5004, 9.9977)
(0.0171, -0.0912)
(-1.5006, 8.9961)
(-0.0173, -0.1284)
(-0.5000, 0.0038)
(0.0004, 0.1238)
(-1.5005, 11.9967)
(-0.0156, -0.1119)
(-1.5006, 2.0038)
(-0.0197, 0.1211)
(-0.5000, 11.9971)
(0.0000, -0.0960)
(0.5007, 10.9963)
(0.0212, -0.1204)
(0.5005, 3.0043)
(0.0148, 0.1424)
(0.5006, 0.0041)
(0.0189, 0.1367)
(-1.5005, 3.0043)
(-0.0160, 0.1419)
(0.5005, -0.9965)
(0.0176, 0.1141)
(0.5006, 8.9962)
(0.0186, -0.1248)
(-1.5004, -0.9968)
(-0.0132, 0.1064)
(-0.5001, 3.0045)
(-0.0043, 0.1476)
(0.5005, 7.9957)
(0.0163, -0.1372)
(-0.5000, -0.9967)
(0.0019, 0.1086)
(0.5005, 1.0040)
(0.0155, 0.1319)
(0.5005, 11.9970)
(0.0160, -0.0991)
(-0.5000, 9.9960)
(0.0028, -0.1328)
(-1.5006, 9.9957)
(-0.0189, -0.1404)
(-0.4999, 8.9960)
(0.0033, -0.1312)
(-1.5007, 0.0034)
(-0.0220, 0.1117)
(-1.5007, 1.0038)
(-0.0223, 0.1252)
(-0.5002, 1.0040)
(-0.0068, 0.1308)
(-0.5001, 2.0044)
(-0.0043, 0.1421)
(-1.5006, 10.9960)
(-0.0182, -0.1311)
(-0.4998, 7.9952)
(0.0058, -0.1550)
(-0.4999, 10.9962)
(0.0020, -0.1264)
(-1.5004, 7.9951)
(-0.0117, -0.1589)
(0.5005, 2.0045)
(0.0157, 0.1483)
(0.5006, 9.9966)
(0.0209, -0.1134)
(-1.5008, 8.9946)
(-0.0198, -0.1534)
(-0.5000, 0.0052)
(0.0009, 0.1474)
(-1.5007, 11.9953)
(-0.0184, -0.1352)
(-1.5008, 2.0052)
(-0.0237, 0.1426)
(-0.5000, 11.9960)
(-0.0003, -0.1145)
(0.5009, 10.9949)
(0.0247, -0.1429)
(0.5006, 3.0060)
(0.0169, 0.1697)
(0.5008, 0.0058)
(0.0225, 0.1625)
(-1.5007, 3.0060)
(-0.0189, 0.1684)
(0.5007, -0.9952)
(0.0207, 0.1358)
(0.5008, 8.9947)
(0.0220, -0.1477)
(-1.5006, -0.9955)
(-0.0156, 0.1268)
(-0.5002, 3.0063)
(-0.0054, 0.1748)
(0.5007, 7.9941)
(0.0193, -0.1615)
(-0.4999, -0.9954)
(0.0026, 0.1298)
(0.5007, 1.0056)
(0.0181, 0.1569)
(0.5007, 11.9958)
(0.0188, -0.1182)
(-0.4999, 9.9944)
(0.0036, -0.1586)
(-1.5008, 9.9941)
(-0.0225, -0.1667)
(-0.4999, 8.9945)
(0.0038, -0.1561)
(-1.5009, 0.0047)
(-0.0257, 0.1332)
(-1.5010, 1.0053)
(-0.0262, 0.1488)
(-0.5003, 1.0055)
(-0.0079, 0.1553)
(-0.5002, 2.0060)
(-0.0055, 0.1667)
(-1.5008, 10.9944)
(-0.0213, -0.1551)
(-0.4997, 7.9934)
(0.0062, -0.1815)
(-0.4999, 10.9947)
(0.0017, -0.1501)
(-1.5005, 7.9933)
(-0.0142, -0.1876)
(0.5007, 2.0063)
(0.0181, 0.1753)
(0.5009, 9.9952)
(0.0247, -0.1353)
(-1.5010, 8.9928)
(-0.0221, -0.1781)
(-0.5000, 0.0069)
(0.0013, 0.1706)
(-1.5009, 11.9937)
(-0.0211, -0.1580)
(-1.5011, 2.0068)
(-0.0271, 0.1634)
(-0.5000, 11.9946)
(-0.0005, -0.1328)
(0.5012, 10.9933)
(0.0279, -0.1649)
(0.5008, 3.0080)
(0.0189, 0.1964)
(0.5011, 0.0076)
(0.0260, 0.1852)
(-1.5009, 3.0079)
(-0.0217, 0.1943)
(0.5010, -0.9936)
(0.0237, 0.1572)
(0.5010, 8.9930)
(0.0253, -0.1703)
(-1.5007, -0.9940)
(-0.0152, 0.1468)
(-0.5002, 3.0083)
(-0.0059, 0.2009)
(0.5009, 7.9923)
(0.0222, -0.1854)
(-0.4999, -0.9939)
(0.0035, 0.1507)
(0.5009, 1.0074)
(0.0210, 0.1819)
(0.5009, 11.9945)
(0.0191, -0.1366)
(-0.4999, 9.9926)
(0.0044, -0.1837)
(-1.5011, 9.9921)
(-0.0259, -0.1924)
(-0.4998, 8.9927)
(0.0043, -0.1797)
(-1.5013, 0.0063)
(-0.0320, 0.1545)
(-1.5013, 1.0070)
(-0.0300, 0.1719)
(-0.5004, 1.0073)
(-0.0091, 0.1793)
(-0.5002, 2.0080)
(-0.0066, 0.1908)
(-1.5010, 10.9926)
(-0.0242, -0.1788)
(-0.4997, 7.9913)
(0.0065, -0.2073)
(-0.4999, 10.9929)
(0.0013, -0.1732)
(-1.5007, 7.9911)
(-0.0165, -0.2156)
(0.5009, 2.0083)
(0.0205, 0.2016)
(0.5012, 9.9937)
(0.0283, -0.1570)
(-1.5012, 8.9908)
(-0.0244, -0.2024)
(-0.4999, 0.0089)
(0.0041, 0.1932)
(-1.5011, 11.9919)
(-0.0238, -0.1804)
(-1.5014, 2.0087)
(-0.0304, 0.1841)
(-0.5000, 11.9931)
(-0.0008, -0.1510)
(0.5015, 10.9914)
(0.0310, -0.1865)
(0.5010, 3.0102)
(0.0208, 0.2225)
(0.5013, 0.0097)
(0.0293, 0.2076)
(-1.5011, 3.0101)
(-0.0244, 0.2196)
(0.5013, -0.9918)
(0.0265, 0.1783)
(0.5013, 8.9911)
(0.0285, -0.1925)
(-1.5009, -0.9924)
(-0.0149, 0.1664)
(-0.5003, 3.0105)
(-0.0064, 0.2265)
(0.5012, 7.9902)
(0.0250, -0.2088)
(-0.4998, -0.9922)
(0.0043, 0.1712)
(0.5011, 1.0095)
(0.0238, 0.2064)
(0.5011, 11.9929)
(0.0194, -0.1548)
(-0.4998, 9.9905)
(0.0046, -0.2087)
(-1.5013, 9.9900)
(-0.0291, -0.2174)
(-0.4998, 8.9906)
(0.0048, -0.2030)
(-1.5016, 0.0080)
(-0.0379, 0.1756)
(-1.5016, 1.0090)
(-0.0337, 0.1945)
(-0.5005, 1.0094)
(-0.0124, 0.2033)
(-0.5003, 2.0101)
(-0.0078, 0.2122)
(-1.5013, 10.9906)
(-0.0270, -0.2019)
(-0.4996, 7.9890)
(0.0068, -0.2327)
(-0.4999, 10.9910)
(0.0009, -0.1958)
(-1.5009, 7.9887)
(-0.0189, -0.2429)
(0.5011, 2.0106)
(0.0227, 0.2273)
(0.5015, 9.9919)
(0.0317, -0.1783)
(-1.5015, 8.9885)
(-0.0266, -0.2263)
(-0.4999, 0.0110)
(0.0067, 0.2152)
(-1.5014, 11.9899)
(-0.0264, -0.2024)
(-1.5017, 2.0107)
(-0.0337, 0.2045)
(-0.5000, 11.9914)
(-0.0010, -0.1691)
(0.5019, 10.9893)
(0.0360, -0.2078)
(0.5013, 3.0127)
(0.0227, 0.2480)
(0.5017, 0.0120)
(0.0324, 0.2295)
(-1.5014, 3.0126)
(-0.0269, 0.2444)
(0.5015, -0.9898)
(0.0293, 0.1991)
(0.5016, 8.9890)
(0.0316, -0.2120)
(-1.5010, -0.9905)
(-0.0146, 0.1857)
(-0.5004, 3.0130)
(-0.0070, 0.2515)
(0.5014, 7.9879)
(0.0282, -0.2313)
(-0.4998, -0.9903)
(0.0050, 0.1915)
(0.5014, 1.0118)
(0.0265, 0.2304)
(0.5013, 11.9912)
(0.0197, -0.1727)
(-0.4998, 9.9882)
(0.0043, -0.2327)
(-1.5017, 9.9876)
(-0.0323, -0.2419)
(-0.4997, 8.9884)
(0.0052, -0.2237)
(-1.5021, 0.0100)
(-0.0434, 0.1965)
(-1.5020, 1.0111)
(-0.0372, 0.2167)
(-0.5007, 1.0116)
(-0.0154, 0.2269)
(-0.5004, 2.0124)
(-0.0090, 0.2335)
(-1.5016, 10.9884)
(-0.0297, -0.2245)
(-0.4995, 7.9864)
(0.0072, -0.2551)
(-0.4999, 10.9888)
(0.0006, -0.2180)
(-1.5011, 7.9860)
(-0.0211, -0.2696)
(0.5014, 2.0131)
(0.0249, 0.2502)
(0.5018, 9.9899)
(0.0351, -0.1993)
(-1.5018, 8.9860)
(-0.0286, -0.2498)
(-0.4998, 0.0134)
(0.0091, 0.2367)
(-1.5017, 11.9877)
(-0.0289, -0.2239)
(-1.5021, 2.0130)
(-0.0368, 0.2248)
(-0.5000, 11.9896)
(-0.0012, -0.1870)
(0.5023, 10.9871)
(0.0407, -0.2266)
(0.5015, 3.0154)
(0.0246, 0.2729)
(0.5020, 0.0145)
(0.0355, 0.2511)
(-1.5017, 3.0153)
(-0.0318, 0.2685)
(0.5019, -0.9876)
(0.0320, 0.2194)
(0.5020, 8.9867)
(0.0346, -0.2314)
(-1.5012, -0.9885)
(-0.0143, 0.2047)
(-0.5004, 3.0158)
(-0.0074, 0.2758)
(0.5018, 7.9853)
(0.0312, -0.2534)
(-0.4997, -0.9882)
(0.0058, 0.2114)
(0.5017, 1.0143)
(0.0290, 0.2539)
(0.5015, 11.9893)
(0.0199, -0.1903)
(-0.4997, 9.9856)
(0.0039, -0.2560)
(-1.5020, 9.9849)
(-0.0354, -0.2657)
(-0.4997, 8.9860)
(0.0056, -0.2442)
(-1.5026, 0.0121)
(-0.0485, 0.2171)
(-1.5024, 1.0135)
(-0.0432, 0.2361)
(-0.5008, 1.0141)
(-0.0177, 0.2475)
(-0.5005, 2.0150)
(-0.0101, 0.2544)
(-1.5019, 10.9859)
(-0.0323, -0.2467)
(-0.4995, 7.9837)
(0.0075, -0.2772)
(-0.4998, 10.9864)
(0.0005, -0.2379)
(-1.5013, 7.9831)
(-0.0233, -0.2935)
(0.5016, 2.0158)
(0.0269, 0.2727)
(0.5022, 9.9877)
(0.0384, -0.2200)
(-1.5021, 8.9833)
(-0.0306, -0.2728)
(-0.4997, 0.0160)
(0.0114, 0.2575)
(-1.5020, 11.9852)
(-0.0318, -0.2454)
(-1.5025, 2.0154)
(-0.0401, 0.2447)
(-0.5000, 11.9875)
(-0.0014, -0.2047)
(0.5027, 10.9846)
(0.0451, -0.2452)
(0.5018, 3.0184)
(0.0264, 0.2973)
(0.5024, 0.0172)
(0.0384, 0.2722)
(-1.5021, 3.0182)
(-0.0341, 0.2921)
(0.5022, -0.9853)
(0.0345, 0.2394)
(0.5024, 8.9841)
(0.0377, -0.2506)
(-1.5013, -0.9862)
(-0.0141, 0.2234)
(-0.5005, 3.0188)
(-0.0080, 0.2996)
(0.5021, 7.9826)
(0.0341, -0.2750)
(-0.4997, -0.9859)
(0.0066, 0.2310)
(0.5020, 1.0171)
(0.0314, 0.2768)
(0.5017, 11.9872)
(0.0202, -0.2076)
(-0.4997, 9.9829)
(0.0035, -0.2766)
(-1.5024, 9.9820)
(-0.0383, -0.2890)
(-0.4996, 8.9833)
(0.0061, -0.2644)
(-1.5031, 0.0145)
(-0.0533, 0.2375)
(-1.5029, 1.0160)
(-0.0484, 0.2549)
(-0.5010, 1.0168)
(-0.0198, 0.2678)
(-0.5006, 2.0177)
(-0.0108, 0.2775)
(-1.5023, 10.9832)
(-0.0347, -0.2685)
(-0.4994, 7.9807)
(0.0078, -0.2988)
(-0.4998, 10.9838)
(0.0006, -0.2575)
(-1.5016, 7.9799)
(-0.0255, -0.3168)
(0.5019, 2.0188)
(0.0288, 0.2947)
(0.5026, 9.9853)
(0.0419, -0.2406)
(-1.5024, 8.9803)
(-0.0326, -0.2954)
(-0.4995, 0.0187)
(0.0134, 0.2779)
(-1.5023, 11.9825)
(-0.0345, -0.2665)
(-1.5029, 2.0180)
(-0.0432, 0.2645)
(-0.5001, 11.9853)
(-0.0016, -0.2222)
(0.5032, 10.9820)
(0.0493, -0.2636)
(0.5021, 3.0216)
(0.0282, 0.3211)
(0.5028, 0.0202)
(0.0412, 0.2928)
(-1.5024, 3.0213)
(-0.0363, 0.3152)
(0.5026, -0.9827)
(0.0370, 0.2591)
(0.5028, 8.9815)
(0.0406, -0.2695)
(-1.5014, -0.9838)
(-0.0139, 0.2417)
(-0.5006, 3.0220)
(-0.0084, 0.3229)
(0.5025, 7.9796)
(0.0368, -0.2961)
(-0.4996, -0.9834)
(0.0073, 0.2502)
(0.5023, 1.0201)
(0.0337, 0.3010)
(0.5019, 11.9850)
(0.0205, -0.2247)
(-0.4997, 9.9799)
(0.0032, -0.2968)
(-1.5028, 9.9789)
(-0.0412, -0.3097)
(-0.4995, 8.9805)
(0.0065, -0.2843)
(-1.5037, 0.0171)
(-0.0577, 0.2575)
(-1.5034, 1.0188)
(-0.0509, 0.2736)
(-0.5012, 1.0197)
(-0.0218, 0.2878)
(-0.5008, 2.0207)
(-0.0145, 0.2997)
(-1.5026, 10.9803)
(-0.0368, -0.2923)
(-0.4993, 7.9775)
(0.0080, -0.3199)
(-0.4998, 10.9811)
(0.0007, -0.2767)
(-1.5018, 7.9765)
(-0.0276, -0.3396)
(0.5022, 2.0219)
(0.0306, 0.3163)
(0.5031, 9.9827)
(0.0451, -0.2608)
(-1.5027, 8.9771)
(-0.0349, -0.3198)
(-0.4994, 0.0217)
(0.0153, 0.2977)
(-1.5027, 11.9797)
(-0.0372, -0.2871)
(-1.5034, 2.0209)
(-0.0462, 0.2839)
(-0.5001, 11.9829)
(-0.0018, -0.2395)
(0.5037, 10.9792)
(0.0530, -0.2814)
(0.5024, 3.0250)
(0.0299, 0.3443)
(0.5033, 0.0233)
(0.0440, 0.3132)
(-1.5028, 3.0247)
(-0.0405, 0.3377)
(0.5030, -0.9799)
(0.0394, 0.2783)
(0.5032, 8.9786)
(0.0435, -0.2882)
(-1.5016, -0.9812)
(-0.0138, 0.2597)
(-0.5007, 3.0255)
(-0.0088, 0.3455)
(0.5029, 7.9765)
(0.0394, -0.3168)
(-0.4995, -0.9807)
(0.0080, 0.2669)
(0.5027, 1.0233)
(0.0332, 0.3246)
(0.5021, 11.9825)
(0.0208, -0.2414)
(-0.4996, 9.9767)
(0.0030, -0.3166)
(-1.5033, 9.9756)
(-0.0439, -0.3301)
(-0.4995, 8.9774)
(0.0073, -0.3043)
(-1.5043, 0.0199)
(-0.0618, 0.2773)
(-1.5039, 1.0217)
(-0.0563, 0.2923)
(-0.5015, 1.0227)
(-0.0238, 0.3076)
