Test 2.11/2.11 AM Lone vs Group in Similar Direction-trayectorias
(-0.5000, 12.7500)
(0.0000, 0.0000)
(0.5000, 9.7500)
(0.0000, 0.0000)
(-0.5000, 10.7500)
(0.0000, 0.0000)
(-1.5000, 11.7500)
(0.0000, 0.0000)
(-1.5000, 8.7500)
(0.0000, 0.0000)
(-0.5000, 8.7500)
(0.0000, 0.0000)
(-0.5000, 11.7500)
(0.0000, 0.0000)
(-1.5000, 12.7500)
(0.0000, 0.0000)
(-1.5000, 1.0000)
(0.0000, 0.0000)
(-1.5000, 9.7500)
(0.0000, 0.0000)
(0.5000, 3.0000)
(0.0000, 0.0000)
(0.5000, 12.7500)
(0.0000, 0.0000)
(-1.5000, 4.0000)
(0.0000, 0.0000)
(-0.5000, 9.7500)
(0.0000, 0.0000)
(-0.5000, 2.0000)
(0.0000, 0.0000)
(0.5000, 1.0000)
(0.0000, 0.0000)
(-1.5000, 2.0000)
(0.0000, 0.0000)
(-1.5000, 10.7500)
(0.0000, 0.0000)
(0.5000, 8.7500)
(0.0000, 0.0000)
(0.5000, 4.0000)
(0.0000, 0.0000)
(-0.5000, 0.0000)
(0.0000, 0.0000)
(0.5000, 11.7500)
(0.0000, 0.0000)
(0.5000, 0.0000)
(0.0000, 0.0000)
(-0.5000, 4.0000)
(0.0000, 0.0000)
(0.5000, 2.0000)
(0.0000, 0.0000)
(-0.5000, 3.0000)
(0.0000, 0.0000)
(-1.5000, 3.0000)
(0.0000, 0.0000)
(0.5000, 10.7500)
(0.0000, 0.0000)
(-0.5000, 1.0000)
(0.0000, 0.0000)
(-1.5000, 0.0000)
(0.0000, 0.0000)
(-0.4693, 12.7152)
(3.0662, -3.4814)
(0.5273, 9.7127)
(2.7273, -3.7331)
(-0.5291, 10.7143)
(-2.9134, -3.5718)
(-1.5298, 11.7147)
(-2.9828, -3.5301)
(-1.5000, 8.7000)
(0.0000, -5.0000)
(-0.5070, 8.7013)
(-0.7028, -4.8700)
(-0.4852, 11.7040)
(1.4771, -4.5983)
(-1.5155, 12.7045)
(-1.5488, -4.5463)
(-1.5037, 0.9881)
(-0.3679, -1.1870)
(-1.5000, 9.7000)
(0.0000, -5.0000)
(0.5044, 2.9889)
(0.4368, -1.1108)
(0.5325, 12.7144)
(3.2516, -3.5627)
(-1.5043, 3.9888)
(-0.4299, -1.1211)
(-0.5054, 9.7009)
(-0.5429, -4.9091)
(-0.5041, 1.9886)
(-0.4072, -1.1357)
(0.4963, 0.9881)
(-0.3679, -1.1870)
(-1.4987, 1.9867)
(0.1342, -1.3322)
(-1.5218, 10.7050)
(-2.1792, -4.5001)
(0.5000, 8.7000)
(0.0000, -5.0000)
(0.5015, 3.9869)
(0.1496, -1.3101)
(-0.5000, -0.0140)
(0.0000, -1.4000)
(0.5293, 11.7131)
(2.9307, -3.6867)
(0.5000, -0.0140)
(0.0000, -1.4000)
(-0.4960, 3.9884)
(0.3975, -1.1621)
(0.5000, 1.9860)
(0.0000, -1.4000)
(-0.4987, 2.9867)
(0.1342, -1.3322)
(-1.5009, 2.9867)
(-0.0940, -1.3334)
(0.5033, 10.7004)
(0.3348, -4.9562)
(-0.5009, 0.9860)
(-0.0928, -1.3969)
(-1.5000, -0.0140)
(0.0000, -1.4000)
(-0.4694, 12.6652)
(-0.0061, -5.0000)
(0.5312, 9.6631)
(0.3933, -4.9539)
(-0.5322, 10.6647)
(-0.3096, -4.9566)
(-1.5334, 11.6651)
(-0.3567, -4.9634)
(-1.5076, 8.6508)
(-0.7605, -4.9221)
(-0.5126, 8.6522)
(-0.5523, -4.9144)
(-0.4816, 11.6546)
(0.3619, -4.9455)
(-1.5155, 12.6545)
(0.0031, -5.0000)
(-1.5037, 0.9741)
(0.0005, -1.4000)
(-1.5059, 9.6505)
