Test 2.11/2.11 PL Lone vs Group in Similar Direction-trayectorias
(0.5000, 1.0000)
(0.0000, 0.0000)
(0.5000, 3.0000)
(0.0000, 0.0000)
(0.5000, 10.7500)
(0.0000, 0.0000)
(0.5000, 11.7500)
(0.0000, 0.0000)
(-1.5000, 11.7500)
(0.0000, 0.0000)
(-0.5000, 8.7500)
(0.0000, 0.0000)
(-0.5000, 0.0000)
(0.0000, 0.0000)
(-0.5000, 12.7500)
(0.0000, 0.0000)
(-1.5000, 0.0000)
(0.0000, 0.0000)
(0.5000, 2.0000)
(0.0000, 0.0000)
(-1.5000, 9.7500)
(0.0000, 0.0000)
(-1.5000, 12.7500)
(0.0000, 0.0000)
(0.5000, 4.0000)
(0.0000, 0.0000)
(-1.5000, 10.7500)
(0.0000, 0.0000)
(0.5000, 0.0000)
(0.0000, 0.0000)
(-0.5000, 10.7500)
(0.0000, 0.0000)
(-1.5000, 4.0000)
(0.0000, 0.0000)
(-1.5000, 3.0000)
(0.0000, 0.0000)
(0.5000, 12.7500)
(0.0000, 0.0000)
(-0.5000, 1.0000)
(0.0000, 0.0000)
(-0.5000, 9.7500)
(0.0000, 0.0000)
(-0.5000, 4.0000)
(0.0000, 0.0000)
(-1.5000, 1.0000)
(0.0000, 0.0000)
(-1.5000, 2.0000)
(0.0000, 0.0000)
(-0.5000, 11.7500)
(0.0000, 0.0000)
(-0.5000, 3.0000)
(0.0000, 0.0000)
(-0.5000, 2.0000)
(0.0000, 0.0000)
(-1.5000, 8.7500)
(0.0000, 0.0000)
(0.5000, 8.7500)
(0.0000, 0.0000)
(0.5000, 9.7500)
(0.0000, 0.0000)
(0.5000, 0.9998)
(0.0000, -0.0154)
(0.5000, 2.9998)
(0.0000, -0.0154)
(0.5000, 10.7496)
(0.0000, -0.0419)
(0.5000, 11.7496)
(0.0000, -0.0419)
(-1.5000, 11.7496)
(0.0000, -0.0419)
(-0.5000, 8.7496)
(0.0000, -0.0419)
(-0.5000, -0.0002)
(0.0000, -0.0154)
(-0.5000, 12.7496)
(0.0000, -0.0419)
(-1.5000, -0.0002)
(0.0000, -0.0154)
(0.5000, 1.9998)
(0.0000, -0.0154)
(-1.5000, 9.7496)
(0.0000, -0.0419)
(-1.5000, 12.7496)
(0.0000, -0.0419)
(0.5000, 3.9998)
(0.0000, -0.0154)
(-1.5000, 10.7496)
(0.0000, -0.0419)
(0.5000, -0.0002)
(0.0000, -0.0154)
(-0.5000, 10.7496)
(0.0000, -0.0419)
(-1.5000, 3.9998)
(0.0000, -0.0154)
(-1.5000, 2.9998)
(0.0000, -0.0154)
(0.5000, 12.7496)
(0.0000, -0.0419)
(-0.5000, 0.9998)
(0.0000, -0.0154)
(-0.5000, 9.7496)
(0.0000, -0.0419)
(-0.5000, 3.9998)
(0.0000, -0.0154)
(-1.5000, 0.9998)
(0.0000, -0.0154)
(-1.5000, 1.9998)
(0.0000, -0.0154)
(-0.5000, 11.7496)
(0.0000, -0.0419)
(-0.5000, 2.9998)
(0.0000, -0.0154)
(-0.5000, 1.9998)
(0.0000, -0.0154)
(-1.5000, 8.7496)
(0.0000, -0.0419)
(0.5000, 8.7496)
(0.0000, -0.0419)
(0.5000, 9.7496)
(0.0000, -0.0419)
(0.5000, 0.9995)
(0.0000, -0.0306)
(0.5000, 2.9995)
(0.0000, -0.0306)
(0.5000, 10.7487)
(0.0000, -0.0841)
(0.5000, 11.7487)
(0.0000, -0.0841)
(-1.5000, 11.7487)
(0.0000, -0.0841)
(-0.5000, 8.7487)
(0.0000, -0.0841)
(-0.5000, -0.0005)
(0.0000, -0.0306)
(-0.5000, 12.7487)
(0.0000, -0.0841)
(-1.5000, -0.0005)
(0.0000, -0.0306)
(0.5000, 1.9995)
(0.0000, -0.0306)
(-1.5000, 9.7487)
(0.0000, -0.0841)
(-1.5000, 12.7487)
(0.0000, -0.0841)
(0.5000, 3.9995)
(0.0000, -0.0306)
(-1.5000, 10.7487)
(0.0000, -0.0841)
(0.5000, -0.0005)
(0.0000, -0.0306)
(-0.5000, 10.7487)
(0.0000, -0.0841)
(-1.5000, 3.9995)
(0.0000, -0.0306)
(-1.5000, 2.9995)
(0.0000, -0.0306)
(0.5000, 12.7487)
(0.0000, -0.0841)
(-0.5000, 0.9995)
(0.0000, -0.0306)
(-0.5000, 9.7487)
(0.0000, -0.0841)
(-0.5000, 3.9995)
(0.0000, -0.0306)
(-1.5000, 0.9995)
(0.0000, -0.0306)
(-1.5000, 1.9995)
(0.0000, -0.0306)
(-0.5000, 11.7487)
(0.0000, -0.0841)
(-0.5000, 2.9995)
(0.0000, -0.0306)
(-0.5000, 1.9995)
(0.0000, -0.0306)
(-1.5000, 8.7487)
(0.0000, -0.0841)
(0.5000, 8.7487)
(0.0000, -0.0841)
(0.5000, 9.7487)
(0.0000, -0.0841)
(0.5000, 0.9991)
(0.0000, -0.0456)
(0.5000, 2.9991)
(0.0000, -0.0456)
(0.5000, 10.7475)
(0.0000, -0.1266)
(0.5000, 11.7475)
(0.0000, -0.1266)
(-1.5000, 11.7475)
(0.0000, -0.1266)
(-0.5000, 8.7475)
(0.0000, -0.1266)
(-0.5000, -0.0009)
(0.0000, -0.0456)
(-0.5000, 12.7475)
(0.0000, -0.1266)
(-1.5000, -0.0009)
(0.0000, -0.0456)
(0.5000, 1.9991)
(0.0000, -0.0456)
(-1.5000, 9.7475)
(0.0000, -0.1266)
(-1.5000, 12.7475)
(0.0000, -0.1266)
(0.5000, 3.9991)
(0.0000, -0.0456)
(-1.5000, 10.7475)
(0.0000, -0.1266)
(0.5000, -0.0009)
(0.0000, -0.0456)
(-0.5000, 10.7475)
(0.0000, -0.1266)
(-1.5000, 3.9991)
(0.0000, -0.0456)
(-1.5000, 2.9991)
(0.0000, -0.0456)
(0.5000, 12.7475)
(0.0000, -0.1266)
(-0.5000, 0.9991)
(0.0000, -0.0456)
(-0.5000, 9.7475)
(0.0000, -0.1266)
(-0.5000, 3.9991)
(0.0000, -0.0456)
(-1.5000, 0.9991)
(0.0000, -0.0456)
(-1.5000, 1.9991)
(0.0000, -0.0456)
(-0.5000, 11.7475)
(0.0000, -0.1266)
(-0.5000, 2.9991)
(0.0000, -0.0456)
(-0.5000, 1.9991)
(0.0000, -0.0456)
(-1.5000, 8.7475)
(0.0000, -0.1266)
(0.5000, 8.7475)
(0.0000, -0.1266)
(0.5000, 9.7475)
(0.0000, -0.1266)
(0.5000, 0.9985)
(0.0000, -0.0605)
(0.5000, 2.9985)
(0.0000, -0.0605)
(0.5000, 10.7458)
(0.0000, -0.1696)
(0.5000, 11.7458)
(0.0000, -0.1696)
(-1.5000, 11.7458)
(0.0000, -0.1696)
(-0.5000, 8.7458)
(0.0000, -0.1696)
(-0.5000, -0.0015)
(0.0000, -0.0605)
(-0.5000, 12.7458)
(0.0000, -0.1696)
(-1.5000, -0.0015)
(0.0000, -0.0605)
(0.5000, 1.9985)
(0.0000, -0.0605)
(-1.5000, 9.7458)
(0.0000, -0.1696)
(-1.5000, 12.7458)
(0.0000, -0.1696)
(0.5000, 3.9985)
(0.0000, -0.0605)
(-1.5000, 10.7458)
(0.0000, -0.1696)
(0.5000, -0.0015)
(0.0000, -0.0605)
(-0.5000, 10.7458)
(0.0000, -0.1696)
(-1.5000, 3.9985)
(0.0000, -0.0605)
(-1.5000, 2.9985)
(0.0000, -0.0605)
(0.5000, 12.7458)
(0.0000, -0.1696)
(-0.5000, 0.9985)
(0.0000, -0.0605)
(-0.5000, 9.7458)
(0.0000, -0.1696)
(-0.5000, 3.9985)
(0.0000, -0.0605)
(-1.5000, 0.9985)
(0.0000, -0.0605)
(-1.5000, 1.9985)
(0.0000, -0.0605)
(-0.5000, 11.7458)
(0.0000, -0.1696)
(-0.5000, 2.9985)
(0.0000, -0.0605)
(-0.5000, 1.9985)
(0.0000, -0.0605)
(-1.5000, 8.7458)
(0.0000, -0.1696)
(0.5000, 8.7458)
(0.0000, -0.1696)
(0.5000, 9.7458)
(0.0000, -0.1696)
(0.5000, 0.9977)
(0.0000, -0.0753)
(0.5000, 2.9977)
(0.0000, -0.0753)
(0.5000, 10.7437)
(0.0000, -0.2129)
(0.5000, 11.7437)
(0.0000, -0.2129)
(-1.5000, 11.7437)
(0.0000, -0.2129)
(-0.5000, 8.7436)
(0.0000, -0.2129)
(-0.5000, -0.0023)
(0.0000, -0.0753)
(-0.5000, 12.7437)
(0.0000, -0.2129)
(-1.5000, -0.0023)
(0.0000, -0.0753)
(0.5000, 1.9977)
(0.0000, -0.0753)
(-1.5000, 9.7436)
(0.0000, -0.2129)
(-1.5000, 12.7437)
(0.0000, -0.2129)
(0.5000, 3.9977)
(0.0000, -0.0753)
(-1.5000, 10.7437)
(0.0000, -0.2129)
(0.5000, -0.0023)
(0.0000, -0.0753)
(-0.5000, 10.7437)
(0.0000, -0.2129)
(-1.5000, 3.9977)
(0.0000, -0.0753)
(-1.5000, 2.9977)
(0.0000, -0.0753)
