Test 2.11/2.11 RVO2 Lone vs Group in Similar Direction-trayectorias
(0.5000, 3.9998)
(0.0000, -0.0250)
(-1.5000, -0.0140)
(0.0000, -1.4000)
(-1.5000, 0.9998)
(0.0000, -0.0250)
(-0.5000, 12.7498)
(0.0000, -0.0250)
(-0.5000, 11.7498)
(0.0000, -0.0250)
(0.5000, -0.0140)
(0.0000, -1.4000)
(0.5000, 9.7498)
(0.0000, -0.0250)
(-0.5000, 9.7498)
(0.0000, -0.0250)
(0.5000, 8.7000)
(0.0000, -5.0000)
(-1.5000, 8.7000)
(0.0000, -5.0000)
(-0.5000, 0.9998)
(0.0000, -0.0250)
(0.5000, 12.7498)
(0.0000, -0.0250)
(-1.5000, 10.7498)
(0.0000, -0.0250)
(-1.5000, 11.7498)
(0.0000, -0.0250)
(-0.5000, 1.9998)
(0.0000, -0.0250)
(-1.5000, 2.9998)
(0.0000, -0.0250)
(0.5000, 0.9998)
(0.0000, -0.0250)
(-1.5000, 1.9998)
(0.0000, -0.0250)
(-0.5000, -0.0140)
(0.0000, -1.4000)
(0.5000, 1.9998)
(0.0000, -0.0250)
(0.5000, 11.7498)
(0.0000, -0.0250)
(-1.5000, 3.9998)
(0.0000, -0.0250)
(-0.5000, 10.7498)
(0.0000, -0.0250)
(-0.5000, 3.9998)
(0.0000, -0.0250)
(-0.5000, 8.7000)
(0.0000, -5.0000)
(-0.5000, 2.9998)
(0.0000, -0.0250)
(0.5000, 10.7498)
(0.0000, -0.0250)
(-1.5000, 9.7498)
(0.0000, -0.0250)
(0.5000, 2.9998)
(0.0000, -0.0250)
(-1.5000, 12.7498)
(0.0000, -0.0250)
(0.5000, 3.9993)
(0.0000, -0.0500)
(-1.5000, -0.0280)
(0.0000, -1.4000)
(-1.5000, 0.9924)
(0.0000, -0.7382)
(-0.5000, 12.7493)
(0.0000, -0.0500)
(-0.5000, 11.7493)
(0.0000, -0.0500)
(0.5000, -0.0280)
(0.0000, -1.4000)
(0.5000, 9.7244)
(0.0000, -2.5400)
(-0.5000, 9.7244)
(0.0000, -2.5400)
(0.5000, 8.6500)
(0.0000, -5.0000)
(-1.5000, 8.6500)
(0.0000, -5.0000)
(-0.5000, 0.9924)
(0.0000, -0.7382)
(0.5000, 12.7493)
(0.0000, -0.0500)
(-1.5000, 10.7493)
(0.0000, -0.0500)
(-1.5000, 11.7493)
(0.0000, -0.0500)
(-0.5000, 1.9993)
(0.0000, -0.0500)
(-1.5000, 2.9993)
(0.0000, -0.0500)
(0.5000, 0.9924)
(0.0000, -0.7382)
