Test 2.11/2.11 SF Hallway two way-trayectorias
(-5.0000, 9.0000)
(0.0000, 0.0000)
(15.0000, 7.0000)
(0.0000, 0.0000)
(20.0000, 5.0000)
(0.0000, 0.0000)
(-2.5000, 7.0000)
(0.0000, 0.0000)
(20.0000, 7.0000)
(0.0000, 0.0000)
(17.5000, 11.0000)
(0.0000, 0.0000)
(-5.0000, 5.0000)
(0.0000, 0.0000)
(-2.5000, 9.0000)
(0.0000, 0.0000)
(0.0000, 5.0000)
(0.0000, 0.0000)
(20.0000, 9.0000)
(0.0000, 0.0000)
(2.5000, 9.0000)
(0.0000, 0.0000)
(17.5000, 5.0000)
(0.0000, 0.0000)
(15.0000, 11.0000)
(0.0000, 0.0000)
(15.0000, 5.0000)
(0.0000, 0.0000)
(2.5000, 7.0000)
(0.0000, 0.0000)
(2.5000, 11.0000)
(0.0000, 0.0000)
(20.0000, 11.0000)
(0.0000, 0.0000)
(0.0000, 9.0000)
(0.0000, 0.0000)
(0.0000, 7.0000)
(0.0000, 0.0000)
(22.5000, 7.0000)
(0.0000, 0.0000)
(-2.5000, 5.0000)
(0.0000, 0.0000)
(2.5000, 5.0000)
(0.0000, 0.0000)
(-5.0000, 11.0000)
(0.0000, 0.0000)
(17.5000, 9.0000)
(0.0000, 0.0000)
(22.5000, 5.0000)
(0.0000, 0.0000)
(22.5000, 9.0000)
(0.0000, 0.0000)
(-2.5000, 11.0000)
(0.0000, 0.0000)
(17.5000, 7.0000)
(0.0000, 0.0000)
(-5.0000, 7.0000)
(0.0000, 0.0000)
(22.5000, 11.0000)
(0.0000, 0.0000)
(0.0000, 11.0000)
(0.0000, 0.0000)
(15.0000, 9.0000)
(0.0000, 0.0000)
(-4.9994, 9.0000)
(0.0555, 0.0000)
(14.9994, 7.0000)
(-0.0556, 0.0000)
(19.9994, 5.0000)
(-0.0556, -0.0002)
(-2.4994, 7.0000)
(0.0556, 0.0000)
(19.9994, 7.0000)
(-0.0557, 0.0000)
(17.4994, 11.0000)
(-0.0556, 0.0002)
(-4.9994, 5.0000)
(0.0555, -0.0002)
(-2.4994, 9.0000)
(0.0555, 0.0000)
(0.0006, 5.0000)
(0.0556, -0.0001)
(19.9994, 9.0000)
(-0.0557, 0.0000)
(2.5006, 9.0000)
(0.0556, 0.0000)
(17.4994, 5.0000)
(-0.0556, -0.0002)
(14.9994, 11.0000)
(-0.0556, 0.0002)
(14.9994, 5.0000)
(-0.0555, -0.0002)
(2.5006, 7.0000)
(0.0558, 0.0000)
(2.5006, 11.0000)
(0.0555, 0.0002)
(19.9994, 11.0000)
(-0.0557, 0.0001)
(0.0006, 9.0000)
(0.0556, 0.0000)
(0.0006, 7.0000)
(0.0557, 0.0000)
(22.4994, 7.0000)
(-0.0555, 0.0000)
(-2.4994, 5.0000)
(0.0558, -0.0001)
(2.5006, 5.0000)
(0.0558, -0.0001)
(-4.9994, 11.0000)
(0.0554, 0.0002)
(17.4994, 9.0000)
(-0.0555, 0.0000)
(22.4995, 5.0000)
(-0.0554, -0.0002)
(22.4994, 9.0000)
(-0.0557, 0.0000)
(-2.4994, 11.0000)
(0.0555, 0.0002)
(17.4994, 7.0000)
(-0.0557, -0.0001)
(-4.9994, 7.0000)
(0.0556, 0.0000)
(22.4994, 11.0000)
(-0.0557, 0.0001)
(0.0006, 11.0000)
(0.0555, 0.0002)
(14.9994, 9.0000)
(-0.0557, 0.0000)
(-4.9983, 9.0000)
(0.1100, 0.0000)
(14.9983, 7.0000)
(-0.1102, 0.0000)
(19.9983, 5.0000)
(-0.1101, -0.0003)
(-2.4983, 7.0000)
(0.1101, 0.0000)
(19.9983, 7.0000)
(-0.1104, 0.0000)
(17.4983, 11.0000)
(-0.1101, 0.0003)
(-4.9983, 5.0000)
(0.1100, -0.0003)
(-2.4983, 9.0000)
(0.1099, 0.0000)
(0.0017, 5.0000)
(0.1101, -0.0003)
(19.9983, 9.0000)
(-0.1104, 0.0000)
(2.5017, 9.0000)
(0.1102, 0.0000)
(17.4983, 5.0000)
(-0.1102, -0.0003)
(14.9983, 11.0000)
(-0.1102, 0.0003)
(14.9984, 5.0000)
(-0.1100, -0.0003)
(2.5017, 7.0000)
(0.1105, 0.0000)
(2.5017, 11.0000)
(0.1099, 0.0003)
(19.9983, 11.0000)
(-0.1105, 0.0003)
(0.0017, 9.0000)
(0.1102, 0.0000)
(0.0017, 7.0000)
(0.1103, 0.0001)
(22.4983, 7.0000)
(-0.1100, 0.0000)
(-2.4983, 5.0000)
(0.1105, -0.0003)
(2.5017, 5.0000)
(0.1106, -0.0003)
(-4.9983, 11.0000)
(0.1097, 0.0003)
(17.4984, 9.0000)
(-0.1099, -0.0001)
(22.4984, 5.0000)
(-0.1098, -0.0003)
(22.4983, 9.0000)
(-0.1104, 0.0000)
(-2.4983, 11.0000)
(0.1099, 0.0004)
(17.4983, 7.0000)
(-0.1103, -0.0001)
(-4.9983, 7.0000)
(0.1101, 0.0001)
(22.4983, 11.0000)
(-0.1104, 0.0003)
(0.0017, 11.0000)
(0.1099, 0.0004)
(14.9983, 9.0000)
(-0.1103, -0.0001)
(-4.9967, 9.0000)
(0.1635, 0.0000)
(14.9967, 7.0000)
(-0.1637, 0.0000)
(19.9967, 5.0000)
