Test 2.12/2.12 PL Hallway two way-trayectorias
(15.0000, 5.0000)
(0.0000, 0.0000)
(17.5000, 7.0000)
(0.0000, 0.0000)
(-5.0000, 9.0000)
(0.0000, 0.0000)
(22.5000, 11.0000)
(0.0000, 0.0000)
(0.0000, 9.0000)
(0.0000, 0.0000)
(22.5000, 5.0000)
(0.0000, 0.0000)
(15.0000, 7.0000)
(0.0000, 0.0000)
(-5.0000, 7.0000)
(0.0000, 0.0000)
(22.5000, 9.0000)
(0.0000, 0.0000)
(2.5000, 9.0000)
(0.0000, 0.0000)
(2.5000, 11.0000)
(0.0000, 0.0000)
(-2.5000, 9.0000)
(0.0000, 0.0000)
(0.0000, 7.0000)
(0.0000, 0.0000)
(-2.5000, 5.0000)
(0.0000, 0.0000)
(15.0000, 11.0000)
(0.0000, 0.0000)
(20.0000, 11.0000)
(0.0000, 0.0000)
(20.0000, 9.0000)
(0.0000, 0.0000)
(15.0000, 9.0000)
(0.0000, 0.0000)
(2.5000, 5.0000)
(0.0000, 0.0000)
(17.5000, 5.0000)
(0.0000, 0.0000)
(-5.0000, 11.0000)
(0.0000, 0.0000)
(20.0000, 7.0000)
(0.0000, 0.0000)
(-2.5000, 11.0000)
(0.0000, 0.0000)
(0.0000, 5.0000)
(0.0000, 0.0000)
(-5.0000, 5.0000)
(0.0000, 0.0000)
(22.5000, 7.0000)
(0.0000, 0.0000)
(20.0000, 5.0000)
(0.0000, 0.0000)
(0.0000, 11.0000)
(0.0000, 0.0000)
(17.5000, 9.0000)
(0.0000, 0.0000)
(17.5000, 11.0000)
(0.0000, 0.0000)
(-2.5000, 7.0000)
(0.0000, 0.0000)
(2.5000, 7.0000)
(0.0000, 0.0000)
(14.9999, 5.0000)
(-0.0154, 0.0000)
(17.4999, 7.0000)
(-0.0154, 0.0000)
(-4.9998, 9.0000)
(0.0154, 0.0000)
(22.4999, 11.0000)
(-0.0154, 0.0000)
(0.0002, 9.0000)
(0.0154, 0.0000)
(22.4999, 5.0000)
(-0.0154, 0.0000)
(14.9999, 7.0000)
(-0.0154, 0.0000)
(-4.9998, 7.0000)
(0.0154, 0.0000)
(22.4999, 9.0000)
(-0.0154, 0.0000)
(2.5002, 9.0000)
(0.0154, 0.0000)
(2.5002, 11.0000)
(0.0154, 0.0000)
(-2.4998, 9.0000)
(0.0154, 0.0000)
(0.0002, 7.0000)
(0.0154, 0.0000)
(-2.4998, 5.0000)
(0.0154, 0.0000)
(14.9999, 11.0000)
(-0.0154, 0.0000)
(19.9999, 11.0000)
(-0.0154, 0.0000)
(19.9999, 9.0000)
(-0.0154, 0.0000)
(14.9999, 9.0000)
(-0.0154, 0.0000)
(2.5002, 5.0000)
(0.0154, 0.0000)
(17.4999, 5.0000)
(-0.0154, 0.0000)
(-4.9998, 11.0000)
(0.0154, 0.0000)
(19.9999, 7.0000)
(-0.0154, 0.0000)
(-2.4998, 11.0000)
(0.0154, 0.0000)
(0.0002, 5.0000)
(0.0154, 0.0000)
(-4.9998, 5.0000)
(0.0154, 0.0000)
(22.4999, 7.0000)
(-0.0154, 0.0000)
(19.9999, 5.0000)
(-0.0154, 0.0000)
(0.0002, 11.0000)
(0.0154, 0.0000)
(17.4999, 9.0000)
(-0.0154, 0.0000)
(17.4999, 11.0000)
(-0.0154, 0.0000)
(-2.4998, 7.0000)
(0.0154, 0.0000)
(2.5002, 7.0000)
(0.0154, 0.0000)
(14.9995, 5.0000)
(-0.0306, 0.0000)
(17.4995, 7.0000)
(-0.0306, 0.0000)
(-4.9995, 9.0000)
(0.0306, 0.0000)
(22.4995, 11.0000)
(-0.0306, 0.0000)
(0.0005, 9.0000)
(0.0306, 0.0000)
(22.4995, 5.0000)
(-0.0306, 0.0000)
(14.9995, 7.0000)
(-0.0306, 0.0000)
(-4.9995, 7.0000)
(0.0306, 0.0000)
(22.4995, 9.0000)
(-0.0306, 0.0000)
(2.5005, 9.0000)
(0.0306, 0.0000)
(2.5005, 11.0000)
(0.0306, 0.0000)
(-2.4995, 9.0000)
(0.0306, 0.0000)
(0.0005, 7.0000)
(0.0306, 0.0000)
(-2.4995, 5.0000)
(0.0306, 0.0000)
(14.9995, 11.0000)
(-0.0306, 0.0000)
(19.9995, 11.0000)
(-0.0306, 0.0000)
(19.9995, 9.0000)
(-0.0306, 0.0000)
(14.9995, 9.0000)
(-0.0306, 0.0000)
(2.5005, 5.0000)
(0.0306, 0.0000)
(17.4995, 5.0000)
(-0.0306, 0.0000)
(-4.9995, 11.0000)
(0.0306, 0.0000)
(19.9995, 7.0000)
(-0.0306, 0.0000)
(-2.4995, 11.0000)
(0.0306, 0.0000)
(0.0005, 5.0000)
(0.0306, 0.0000)
(-4.9995, 5.0000)
(0.0306, 0.0000)
(22.4995, 7.0000)
(-0.0306, 0.0000)
(19.9995, 5.0000)
(-0.0306, 0.0000)
(0.0005, 11.0000)
(0.0306, 0.0000)
(17.4995, 9.0000)
(-0.0306, 0.0000)
(17.4995, 11.0000)
(-0.0306, 0.0000)
(-2.4995, 7.0000)
(0.0306, 0.0000)
(2.5005, 7.0000)
(0.0306, 0.0000)
(14.9991, 5.0000)
(-0.0456, 0.0000)
(17.4991, 7.0000)
(-0.0456, 0.0000)
(-4.9991, 9.0000)
(0.0456, 0.0000)
(22.4991, 11.0000)
(-0.0456, 0.0000)
(0.0009, 9.0000)
(0.0456, 0.0000)
(22.4991, 5.0000)
(-0.0456, 0.0000)
(14.9991, 7.0000)
(-0.0456, 0.0000)
(-4.9991, 7.0000)
(0.0456, 0.0000)
(22.4991, 9.0000)
(-0.0456, 0.0000)
(2.5009, 9.0000)
(0.0456, 0.0000)
(2.5009, 11.0000)
(0.0456, 0.0000)
(-2.4991, 9.0000)
(0.0456, 0.0000)
(0.0009, 7.0000)
(0.0456, 0.0000)
(-2.4991, 5.0000)
(0.0456, 0.0000)
(14.9991, 11.0000)
(-0.0456, 0.0000)
(19.9991, 11.0000)
(-0.0456, 0.0000)
(19.9991, 9.0000)
(-0.0456, 0.0000)
(14.9991, 9.0000)
(-0.0456, 0.0000)
(2.5009, 5.0000)
(0.0456, 0.0000)
(17.4991, 5.0000)
(-0.0456, 0.0000)
(-4.9991, 11.0000)
(0.0456, 0.0000)
(19.9991, 7.0000)
(-0.0456, 0.0000)
(-2.4991, 11.0000)
(0.0456, 0.0000)
(0.0009, 5.0000)
(0.0456, 0.0000)
(-4.9991, 5.0000)
(0.0456, 0.0000)
(22.4991, 7.0000)
(-0.0456, 0.0000)
(19.9991, 5.0000)
(-0.0456, 0.0000)
(0.0009, 11.0000)
(0.0456, 0.0000)
(17.4991, 9.0000)
(-0.0456, 0.0000)
(17.4991, 11.0000)
(-0.0456, 0.0000)
(-2.4991, 7.0000)
(0.0456, 0.0000)
(2.5009, 7.0000)
(0.0456, 0.0000)
(14.9985, 5.0000)
(-0.0605, 0.0000)
(17.4985, 7.0000)
(-0.0605, 0.0000)
(-4.9985, 9.0000)
(0.0605, 0.0000)
(22.4985, 11.0000)
(-0.0605, 0.0000)
(0.0015, 9.0000)
(0.0605, 0.0000)
(22.4985, 5.0000)
(-0.0605, 0.0000)
(14.9985, 7.0000)
(-0.0605, 0.0000)
(-4.9985, 7.0000)
(0.0605, 0.0000)
(22.4985, 9.0000)
(-0.0605, 0.0000)
(2.5015, 9.0000)
(0.0605, 0.0000)
(2.5015, 11.0000)
(0.0605, 0.0000)
(-2.4985, 9.0000)
(0.0605, 0.0000)
(0.0015, 7.0000)
(0.0605, 0.0000)
(-2.4985, 5.0000)
(0.0605, 0.0000)
(14.9985, 11.0000)
(-0.0605, 0.0000)
(19.9985, 11.0000)
(-0.0605, 0.0000)
(19.9985, 9.0000)
(-0.0605, 0.0000)
(14.9985, 9.0000)
(-0.0605, 0.0000)
(2.5015, 5.0000)
(0.0605, 0.0000)
(17.4985, 5.0000)
(-0.0605, 0.0000)
(-4.9985, 11.0000)
(0.0605, 0.0000)
(19.9985, 7.0000)
(-0.0605, 0.0000)
(-2.4985, 11.0000)
(0.0605, 0.0000)
(0.0015, 5.0000)
(0.0605, 0.0000)
(-4.9985, 5.0000)
(0.0605, 0.0000)
(22.4985, 7.0000)
(-0.0605, 0.0000)
(19.9985, 5.0000)
