Test 2.2/2.2 PL Four agent crossing-trayectorias
(0.3500, 10.0000)
(0.0000, 0.0000)
(0.3500, -10.0000)
(0.0000, 0.0000)
(-0.3500, 10.0000)
(0.0000, 0.0000)
(-0.3500, -10.0000)
(0.0000, 0.0000)
(0.3500, 9.9994)
(0.0000, -0.0556)
(0.3500, -9.9994)
(0.0000, 0.0556)
(-0.3500, 9.9994)
(0.0000, -0.0556)
(-0.3500, -9.9994)
(0.0000, 0.0556)
(0.3500, 9.9983)
(0.0000, -0.1101)
(0.3500, -9.9983)
(0.0000, 0.1101)
(-0.3500, 9.9983)
(0.0000, -0.1101)
(-0.3500, -9.9983)
(0.0000, 0.1101)
(0.3500, 9.9967)
(0.0000, -0.1636)
(0.3500, -9.9967)
(0.0000, 0.1636)
(-0.3500, 9.9967)
(0.0000, -0.1636)
(-0.3500, -9.9967)
(0.0000, 0.1636)
(0.3500, 9.9945)
(0.0000, -0.2161)
(0.3500, -9.9945)
(0.0000, 0.2161)
(-0.3500, 9.9945)
(0.0000, -0.2161)
(-0.3500, -9.9945)
(0.0000, 0.2161)
(0.3500, 9.9919)
(0.0000, -0.2677)
(0.3500, -9.9919)
(0.0000, 0.2677)
(-0.3500, 9.9919)
(0.0000, -0.2677)
(-0.3500, -9.9919)
(0.0000, 0.2677)
(0.3500, 9.9887)
(0.0000, -0.3183)
(0.3500, -9.9887)
(0.0000, 0.3183)
(-0.3500, 9.9887)
(0.0000, -0.3183)
(-0.3500, -9.9887)
(0.0000, 0.3183)
(0.3500, 9.9850)
(0.0000, -0.3679)
(0.3500, -9.9850)
(0.0000, 0.3679)
(-0.3500, 9.9850)
(0.0000, -0.3679)
(-0.3500, -9.9850)
(0.0000, 0.3679)
(0.3500, 9.9808)
(0.0000, -0.4167)
(0.3500, -9.9808)
(0.0000, 0.4167)
(-0.3500, 9.9808)
(0.0000, -0.4167)
(-0.3500, -9.9808)
(0.0000, 0.4167)
(0.3500, 9.9762)
(0.0000, -0.4645)
(0.3500, -9.9762)
(0.0000, 0.4645)
(-0.3500, 9.9762)
(0.0000, -0.4645)
(-0.3500, -9.9762)
(0.0000, 0.4645)
(0.3500, 9.9711)
(0.0000, -0.5115)
(0.3500, -9.9711)
(0.0000, 0.5115)
(-0.3500, 9.9711)
(0.0000, -0.5115)
(-0.3500, -9.9711)
(0.0000, 0.5115)
(0.3500, 9.9655)
(0.0000, -0.5576)
(0.3500, -9.9655)
(0.0000, 0.5576)
(-0.3500, 9.9655)
(0.0000, -0.5576)
(-0.3500, -9.9655)
(0.0000, 0.5576)
(0.3500, 9.9595)
(0.0000, -0.6028)
(0.3500, -9.9595)
(0.0000, 0.6028)
(-0.3500, 9.9595)
