Test 2.3/2.3 PL Three way confusion-trayectorias
(0.0000, 5.0000)
(0.0000, 0.0000)
(0.0000, -5.0000)
(0.0000, 0.0000)
(5.0000, 0.0000)
(0.0000, 0.0000)
(0.0000, 4.9994)
(0.0000, -0.0556)
(0.0000, -4.9994)
(0.0000, 0.0556)
(4.9994, 0.0000)
(-0.0556, 0.0000)
(0.0000, 4.9983)
(0.0000, -0.1101)
(0.0000, -4.9983)
(0.0000, 0.1101)
(4.9983, 0.0000)
(-0.1101, 0.0000)
(0.0000, 4.9967)
(0.0000, -0.1636)
(0.0000, -4.9967)
(0.0000, 0.1636)
(4.9967, 0.0000)
(-0.1636, 0.0000)
(0.0000, 4.9945)
(0.0000, -0.2161)
(0.0000, -4.9945)
(0.0000, 0.2161)
(4.9945, 0.0000)
(-0.2161, 0.0000)
(0.0000, 4.9919)
(0.0000, -0.2677)
(0.0000, -4.9919)
(0.0000, 0.2677)
(4.9919, 0.0000)
(-0.2677, 0.0000)
(0.0000, 4.9887)
(0.0000, -0.3183)
(0.0000, -4.9887)
(0.0000, 0.3183)
(4.9887, 0.0000)
(-0.3182, 0.0000)
(0.0000, 4.9850)
(0.0000, -0.3679)
(0.0000, -4.9850)
(0.0000, 0.3679)
(4.9850, 0.0000)
(-0.3678, 0.0000)
(0.0000, 4.9808)
(-0.0001, -0.4166)
(0.0000, -4.9808)
(-0.0001, 0.4166)
(4.9808, 0.0000)
(-0.4164, 0.0000)
(0.0000, 4.9762)
(-0.0001, -0.4643)
(0.0000, -4.9762)
(-0.0001, 0.4643)
(4.9762, 0.0000)
(-0.4640, 0.0000)
(0.0000, 4.9711)
(-0.0002, -0.5111)
(0.0000, -4.9711)
(-0.0002, 0.5110)
(4.9711, 0.0000)
(-0.5106, 0.0000)
(0.0000, 4.9655)
(-0.0004, -0.5568)
(0.0000, -4.9655)
(-0.0004, 0.5567)
(4.9655, 0.0000)
(-0.5562, 0.0000)
(0.0000, 4.9595)
(-0.0006, -0.6016)
(0.0000, -4.9595)
(-0.0006, 0.6015)
(4.9595, 0.0000)
(-0.6007, 0.0000)
(0.0000, 4.9531)
(-0.0010, -0.6454)
(0.0000, -4.9531)
(-0.0010, 0.6452)
(4.9531, 0.0000)
(-0.6441, 0.0000)
(0.0000, 4.9462)
(-0.0014, -0.6882)
(0.0000, -4.9462)
(-0.0014, 0.6880)
(4.9462, 0.0000)
(-0.6865, 0.0000)
(-0.0001, 4.9389)
(-0.0020, -0.7300)
(-0.0001, -4.9389)
(-0.0020, 0.7297)
(4.9389, 0.0000)
(-0.7277, 0.0000)
(-0.0001, 4.9312)
(-0.0027, -0.7707)
(-0.0001, -4.9312)
