Test 2.3/2.3 RVO2 Three way confusion-trayectorias
(4.9954, 0.0000)
(-0.4646, 0.0000)
(-0.0001, 4.9953)
(-0.0104, -0.4750)
(-0.0001, -4.9953)
(-0.0104, 0.4750)
(4.9907, 0.0000)
(-0.4655, 0.0000)
(-0.0002, 4.9905)
(-0.0093, -0.4745)
(-0.0002, -4.9905)
(-0.0093, 0.4745)
(4.9860, 0.0000)
(-0.4651, 0.0000)
(-0.0003, 4.9858)
(-0.0093, -0.4741)
(-0.0003, -4.9858)
(-0.0093, 0.4741)
(4.9814, 0.0000)
(-0.4648, 0.0000)
(-0.0004, 4.9810)
(-0.0094, -0.4736)
(-0.0004, -4.9810)
(-0.0094, 0.4736)
(4.9768, 0.0000)
(-0.4644, 0.0000)
(-0.0005, 4.9763)
(-0.0095, -0.4731)
(-0.0005, -4.9763)
(-0.0095, 0.4731)
(4.9721, 0.0000)
(-0.4640, 0.0000)
(-0.0006, 4.9716)
(-0.0096, -0.4726)
(-0.0006, -4.9716)
(-0.0096, 0.4726)
(4.9675, 0.0000)
(-0.4637, 0.0000)
(-0.0007, 4.9668)
(-0.0097, -0.4722)
(-0.0007, -4.9668)
(-0.0097, 0.4722)
(4.9628, 0.0000)
(-0.4633, 0.0000)
(-0.0008, 4.9621)
(-0.0098, -0.4717)
(-0.0008, -4.9621)
(-0.0098, 0.4717)
(4.9582, 0.0000)
(-0.4630, 0.0000)
(-0.0009, 4.9574)
(-0.0099, -0.4712)
(-0.0009, -4.9574)
(-0.0099, 0.4712)
(4.9536, 0.0000)
(-0.4626, 0.0000)
(-0.0010, 4.9527)
(-0.0100, -0.4707)
(-0.0010, -4.9527)
(-0.0100, 0.4707)
(4.9490, 0.0000)
(-0.4622, 0.0000)
(-0.0011, 4.9480)
(-0.0101, -0.4703)
(-0.0011, -4.9480)
(-0.0101, 0.4703)
(4.9443, 0.0000)
(-0.4619, 0.0000)
(-0.0012, 4.9433)
(-0.0102, -0.4698)
(-0.0012, -4.9433)
(-0.0102, 0.4698)
(4.9397, 0.0000)
(-0.4615, 0.0000)
(-0.0013, 4.9386)
(-0.0103, -0.4693)
(-0.0013, -4.9386)
(-0.0103, 0.4693)
(4.9351, 0.0000)
(-0.4612, 0.0000)
(-0.0014, 4.9339)
(-0.0104, -0.4689)
(-0.0014, -4.9339)
(-0.0104, 0.4689)
(4.9305, 0.0000)
(-0.4608, 0.0000)
(-0.0015, 4.9292)
(-0.0104, -0.4684)
(-0.0015, -4.9292)
(-0.0104, 0.4684)
(4.9259, 0.0000)
(-0.4604, 0.0000)
(-0.0016, 4.9246)
(-0.0105, -0.4679)
(-0.0016, -4.9246)
(-0.0105, 0.4679)
(4.9213, 0.0000)
(-0.4601, 0.0000)
(-0.0017, 4.9199)
(-0.0106, -0.4675)
(-0.0017, -4.9199)
(-0.0106, 0.4675)
(4.9167, 0.0000)
(-0.4597, 0.0000)
(-0.0018, 4.9152)
(-0.0107, -0.4670)
(-0.0018, -4.9152)
(-0.0107, 0.4670)
(4.9121, 0.0000)
(-0.4594, 0.0000)
(-0.0019, 4.9106)
(-0.0108, -0.4665)
(-0.0019, -4.9106)
(-0.0108, 0.4665)
(4.9075, 0.0000)
(-0.4590, 0.0000)
(-0.0020, 4.9059)
(-0.0109, -0.4661)
(-0.0020, -4.9059)
(-0.0109, 0.4661)
(4.9029, 0.0000)
(-0.4586, 0.0000)
(-0.0021, 4.9012)
(-0.0110, -0.4656)
(-0.0021, -4.9012)
(-0.0110, 0.4656)
(4.8984, 0.0000)
(-0.4583, 0.0000)
(-0.0022, 4.8966)
(-0.0111, -0.4651)
(-0.0022, -4.8966)
(-0.0111, 0.4651)
(4.8938, 0.0000)
(-0.4579, 0.0000)
(-0.0024, 4.8919)
(-0.0112, -0.4647)
(-0.0024, -4.8919)
(-0.0112, 0.4647)
(4.8892, 0.0000)
(-0.4576, 0.0000)
(-0.0025, 4.8873)
(-0.0113, -0.4642)
(-0.0025, -4.8873)
(-0.0113, 0.4642)
(4.8846, 0.0000)
(-0.4572, 0.0000)
(-0.0026, 4.8827)
(-0.0113, -0.4637)
(-0.0026, -4.8827)
(-0.0113, 0.4637)
(4.8801, 0.0000)
(-0.4569, 0.0000)
(-0.0027, 4.8780)
(-0.0114, -0.4633)
(-0.0027, -4.8780)
(-0.0114, 0.4633)
(4.8755, 0.0000)
(-0.4565, 0.0000)
(-0.0028, 4.8734)
(-0.0115, -0.4628)
(-0.0028, -4.8734)
(-0.0115, 0.4628)
(4.8709, 0.0000)
(-0.4561, 0.0000)
(-0.0029, 4.8688)
(-0.0116, -0.4623)
(-0.0029, -4.8688)
(-0.0116, 0.4623)
(4.8664, 0.0000)
(-0.4558, 0.0000)
(-0.0030, 4.8642)
(-0.0117, -0.4619)
(-0.0030, -4.8642)
(-0.0117, 0.4619)
(4.8618, 0.0000)
(-0.4554, 0.0000)
(-0.0032, 4.8595)
(-0.0118, -0.4614)
(-0.0032, -4.8595)
(-0.0118, 0.4614)
(4.8573, 0.0000)
(-0.4551, 0.0000)
(-0.0033, 4.8549)
(-0.0119, -0.4610)
(-0.0033, -4.8549)
(-0.0119, 0.4610)
(4.8527, 0.0000)
(-0.4547, 0.0000)
(-0.0034, 4.8503)
(-0.0120, -0.4605)
(-0.0034, -4.8503)
(-0.0120, 0.4605)
(4.8482, 0.0000)
(-0.4544, 0.0000)
(-0.0035, 4.8457)
(-0.0121, -0.4600)
(-0.0035, -4.8457)
(-0.0121, 0.4600)
(4.8436, 0.0000)
(-0.4540, 0.0000)
(-0.0036, 4.8411)
(-0.0122, -0.4596)
(-0.0036, -4.8411)
(-0.0122, 0.4596)
(4.8391, 0.0000)
(-0.4537, 0.0000)
(-0.0038, 4.8365)
(-0.0122, -0.4591)
