Test 2.4 AM Four way confusion-trayectorias
(0.0000, -5.0000)
(0.0000, 0.0000)
(5.0000, 0.0000)
(0.0000, 0.0000)
(0.0000, 5.0000)
(0.0000, 0.0000)
(-5.0000, 0.0000)
(0.0000, 0.0000)
(0.0000, -4.9970)
(0.0000, 0.3000)
(4.9970, 0.0000)
(-0.3000, 0.0000)
(0.0000, 4.9970)
(0.0000, -0.3000)
(-4.9970, 0.0000)
(0.3000, 0.0000)
(0.0000, -4.9910)
(0.0000, 0.6001)
(4.9910, 0.0000)
(-0.6001, 0.0000)
(0.0000, 4.9910)
(0.0000, -0.6001)
(-4.9910, 0.0000)
(0.6001, 0.0000)
(0.0000, -4.9820)
(0.0000, 0.9004)
(4.9820, 0.0000)
(-0.9004, 0.0000)
(0.0000, 4.9820)
(0.0000, -0.9004)
(-4.9820, 0.0000)
(0.9004, 0.0000)
(0.0000, -4.9700)
(0.0000, 1.2009)
(4.9700, 0.0000)
(-1.2009, 0.0000)
(0.0000, 4.9700)
(0.0000, -1.2009)
(-4.9700, 0.0000)
(1.2009, 0.0000)
(0.0000, -4.9550)
(0.0000, 1.5018)
(4.9550, 0.0000)
(-1.5005, 0.0000)
(0.0000, 4.9550)
(0.0000, -1.5018)
(-4.9550, 0.0000)
(1.5018, 0.0000)
(0.0000, -4.9402)
(-0.0001, 1.4749)
(4.9372, 0.0000)
(-1.7819, 0.0000)
(0.0000, 4.9402)
(0.0004, -1.4768)
(-4.9369, 0.0000)
(1.8032, 0.0000)
(0.0013, -4.9225)
(0.1306, 1.7765)
(4.9163, 0.0000)
(-2.0848, 0.0000)
(-0.0014, 4.9224)
(-0.1359, -1.7782)
(-4.9171, 0.0000)
(1.9834, 0.0000)
(0.0026, -4.9050)
(0.1300, 1.7435)
(4.8925, 0.0018)
(-2.3861, 0.1766)
(-0.0010, 4.9015)
(0.0359, -2.0906)
(-4.8965, 0.0000)
(2.0583, 0.0000)
(0.0038, -4.8857)
(0.1228, 1.9338)
(4.8692, 0.0034)
(-2.3283, 0.1679)
(0.0014, 4.8776)
(0.2416, -2.3881)
(-4.8754, 0.0000)
(2.1148, 0.0000)
(0.0049, -4.8656)
(0.1099, 2.0050)
(4.8465, 0.0050)
(-2.2657, 0.1597)
(0.0063, 4.8510)
(0.4835, -2.6663)
(-4.8538, 0.0000)
(2.1605, 0.0000)
(0.0042, -4.8425)
(-0.0688, 2.3163)
(4.8246, 0.0067)
(-2.1914, 0.1626)
(0.0139, 4.8220)
(0.7617, -2.9017)
(-4.8327, 0.0000)
(2.1098, 0.0000)
(0.0015, -4.8163)
(-0.2773, 2.6134)
(4.8033, 0.0082)
(-2.1255, 0.1541)
