Test 2.5/2.5 AM Circle-6-trayectorias
(-5.1962, -3.0000)
(0.0000, 0.0000)
(0.0000, 6.0000)
(0.0000, 0.0000)
(-5.1962, 3.0000)
(0.0000, 0.0000)
(5.1962, -3.0000)
(0.0000, 0.0000)
(5.1962, 3.0000)
(0.0000, 0.0000)
(0.0000, -6.0000)
(0.0000, 0.0000)
(-5.1940, -2.9987)
(0.2165, 0.1250)
(0.0000, 5.9975)
(0.0000, -0.2500)
(-5.1940, 2.9987)
(0.2165, -0.1250)
(5.1940, -2.9988)
(-0.2165, 0.1250)
(5.1940, 2.9988)
(-0.2165, -0.1250)
(0.0000, -5.9975)
(0.0000, 0.2500)
(-5.1897, -2.9962)
(0.4331, 0.2500)
(0.0000, 5.9925)
(0.0000, -0.5001)
(-5.1897, 2.9962)
(0.4331, -0.2500)
(5.1897, -2.9963)
(-0.4331, 0.2500)
(5.1897, 2.9962)
(-0.4331, -0.2500)
(0.0000, -5.9925)
(0.0000, 0.5001)
(-5.1832, -2.9925)
(0.6497, 0.3751)
(0.0000, 5.9850)
(0.0000, -0.7502)
(-5.1832, 2.9925)
(0.6497, -0.3751)
(5.1832, -2.9925)
(-0.6497, 0.3751)
(5.1832, 2.9925)
(-0.6497, -0.3751)
(0.0000, -5.9850)
(0.0000, 0.7502)
(-5.1745, -2.9875)
(0.8665, 0.5003)
(0.0000, 5.9750)
(0.0000, -1.0005)
(-5.1745, 2.9875)
(0.8665, -0.5003)
(5.1745, -2.9875)
(-0.8665, 0.5003)
(5.1745, 2.9875)
(-0.8665, -0.5003)
(0.0000, -5.9750)
(0.0000, 1.0005)
(-5.1637, -2.9812)
(1.0834, 0.6255)
(0.0000, 5.9625)
(0.0000, -1.2510)
(-5.1637, 2.9812)
(1.0834, -0.6255)
(5.1637, -2.9812)
(-1.0834, 0.6255)
(5.1637, 2.9812)
(-1.0834, -0.6255)
(0.0000, -5.9625)
(0.0000, 1.2510)
(-5.1507, -2.9737)
(1.3006, 0.7509)
(0.0000, 5.9475)
(0.0000, -1.5018)
(-5.1507, 2.9737)
(1.3006, -0.7509)
(5.1507, -2.9737)
(-1.3006, 0.7509)
(5.1507, 2.9737)
(-1.3006, -0.7509)
(0.0000, -5.9475)
(0.0000, 1.5018)
(-5.1355, -2.9650)
(1.5181, 0.8765)
(0.0000, 5.9299)
(0.0000, -1.7529)
(-5.1379, 2.9664)
(1.2761, -0.7359)
(5.1355, -2.9650)
(-1.5181, 0.8765)
(5.1355, 2.9650)
(-1.5181, -0.8765)
(0.0000, -5.9299)
(0.0000, 1.7529)
(-5.1181, -2.9549)
(1.7359, 1.0022)
(0.0000, 5.9099)
(0.0000, -2.0044)
(-5.1223, 2.9588)
(1.5558, -0.7538)
(5.1206, -2.9564)
(-1.4880, 0.8603)
(5.1181, 2.9549)
(-1.7359, -1.0022)
(0.0000, -5.9099)
(0.0000, 2.0044)
(-5.0986, -2.9437)
(1.9540, 1.1281)
(0.0000, 5.8953)
(0.0000, -1.4624)
(-5.1040, 2.9513)
(1.8341, -0.7574)
(5.1035, -2.9465)
(-1.7061, 0.9862)
(5.0986, 2.9437)
(-1.9540, -1.1281)
(0.0000, -5.8902)
(-0.0012, 1.9671)
(-5.0769, -2.9311)
(2.1726, 1.2543)
(0.0000, 5.8781)
(0.0000, -1.7146)
(-5.0829, 2.9439)
(2.1141, -0.7387)
(5.0835, -2.9367)
(-2.0001, 0.9803)
(5.0769, 2.9311)
(-2.1726, -1.2543)
(-0.0017, -5.8680)
(-0.1645, 2.2184)
(-5.0529, -2.9173)
(2.3916, 1.3808)
(0.0016, 5.8585)
(0.1587, -1.9663)
(-5.0589, 2.9369)
(2.3940, -0.6964)
(5.0606, -2.9272)
(-2.2939, 0.9544)
(5.0529, 2.9173)
(-2.3916, -1.3808)
(-0.0052, -5.8435)
(-0.3552, 2.4568)
(-5.0411, -2.9105)
(1.1882, 0.6860)
(0.0051, 5.8364)
(0.3471, -2.2040)
(-5.0328, 2.9287)
(2.6131, -0.8232)
(5.0381, -2.9178)
(-2.2504, 0.9331)
(5.0270, 2.9023)
(-2.5981, -1.5000)
(-0.0087, -5.8194)
(-0.3507, 2.4092)
(-5.0270, -2.9023)
(1.4080, 0.8129)
(0.0106, 5.8122)
(0.5506, -2.4264)
(-5.0045, 2.9192)
(2.8327, -0.9505)
(5.0127, -2.9088)
(-2.5349, 0.9072)
(5.0010, 2.8873)
(-2.5981, -1.5000)
(-0.0143, -5.7930)
(-0.5562, 2.6338)
(-5.0107, -2.8929)
(1.6281, 0.9400)
(0.0182, 5.7858)
(0.7663, -2.6333)
(-4.9762, 2.9092)
(2.8288, -0.9991)
(4.9845, -2.9003)
(-2.8249, 0.8433)
(4.9750, 2.8723)
(-2.5981, -1.5000)
(-0.0198, -5.7642)
(-0.5559, 2.8881)
(-4.9922, -2.8823)
(1.8486, 1.0673)
(0.0259, 5.7569)
(0.7659, -2.8879)
(-4.9480, 2.8988)
(2.8139, -1.0402)
(4.9553, -2.8932)
(-2.9148, 0.7097)
(4.9490, 2.8573)
(-2.5981, -1.5000)
(-0.0251, -5.7346)
(-0.5221, 2.9542)
(-4.9715, -2.8703)
(2.0694, 1.1948)
(0.0330, 5.7278)
(0.7098, -2.9148)
(-4.9200, 2.8880)
(2.7996, -1.0781)
(4.9264, -2.8855)
(-2.8983, 0.7745)
(4.9242, 2.8405)
(-2.4853, -1.6802)
(-0.0324, -5.7055)
(-0.7362, 2.9083)
(-4.9512, -2.8586)
(2.0285, 1.1746)
(0.0395, 5.6985)
(0.6548, -2.9277)
(-4.8922, 2.8769)
(2.7859, -1.1130)
(4.8975, -2.8771)
(-2.8816, 0.8344)
(4.8992, 2.8238)
(-2.4947, -1.6663)
(-0.0419, -5.6771)
(-0.9522, 2.8449)
(-4.9313, -2.8470)
(1.9885, 1.1564)
(0.0456, 5.6691)
(0.6035, -2.9387)
(-4.8644, 2.8654)
(2.7728, -1.1452)
(4.8689, -2.8682)
(-2.8651, 0.8896)
