Test 2.5/2.5 PL Circle-6-trayectorias
(-5.1962, 3.0000)
(0.0000, 0.0000)
(5.1962, 3.0000)
(0.0000, 0.0000)
(0.0000, 6.0000)
(0.0000, 0.0000)
(-5.1962, -3.0000)
(0.0000, 0.0000)
(5.1962, -3.0000)
(0.0000, 0.0000)
(0.0000, -6.0000)
(0.0000, 0.0000)
(-5.1957, 2.9997)
(0.0481, -0.0278)
(5.1957, 2.9997)
(-0.0481, -0.0278)
(0.0000, 5.9994)
(0.0000, -0.0556)
(-5.1957, -2.9997)
(0.0481, 0.0278)
(5.1957, -2.9997)
(-0.0481, 0.0278)
(0.0000, -5.9994)
(0.0000, 0.0556)
(-5.1947, 2.9992)
(0.0953, -0.0550)
(5.1947, 2.9992)
(-0.0953, -0.0550)
(0.0000, 5.9983)
(0.0000, -0.1101)
(-5.1947, -2.9992)
(0.0953, 0.0550)
(5.1947, -2.9992)
(-0.0953, 0.0550)
(0.0000, -5.9983)
(0.0000, 0.1101)
(-5.1933, 2.9984)
(0.1417, -0.0818)
(5.1933, 2.9984)
(-0.1417, -0.0818)
(0.0000, 5.9967)
(0.0000, -0.1636)
(-5.1933, -2.9984)
(0.1417, 0.0818)
(5.1933, -2.9984)
(-0.1417, 0.0818)
(0.0000, -5.9967)
(0.0000, 0.1636)
(-5.1914, 2.9973)
(0.1872, -0.1081)
(5.1914, 2.9973)
(-0.1872, -0.1081)
(0.0000, 5.9945)
(0.0000, -0.2161)
(-5.1914, -2.9973)
(0.1872, 0.1081)
(5.1914, -2.9973)
(-0.1872, 0.1081)
(0.0000, -5.9945)
(0.0000, 0.2161)
(-5.1891, 2.9959)
(0.2318, -0.1338)
(5.1891, 2.9959)
(-0.2318, -0.1338)
(0.0000, 5.9919)
(0.0000, -0.2677)
(-5.1891, -2.9959)
(0.2318, 0.1338)
(5.1891, -2.9959)
(-0.2318, 0.1338)
(0.0000, -5.9919)
(0.0000, 0.2677)
(-5.1864, 2.9943)
(0.2756, -0.1591)
(5.1864, 2.9943)
(-0.2756, -0.1591)
(0.0000, 5.9887)
(0.0000, -0.3183)
(-5.1864, -2.9943)
(0.2756, 0.1591)
(5.1864, -2.9943)
(-0.2756, 0.1591)
(0.0000, -5.9887)
(0.0000, 0.3183)
(-5.1832, 2.9925)
(0.3186, -0.1840)
(5.1832, 2.9925)
(-0.3186, -0.1840)
(0.0000, 5.9850)
(0.0000, -0.3679)
(-5.1832, -2.9925)
(0.3186, 0.1840)
(5.1832, -2.9925)
(-0.3186, 0.1840)
(0.0000, -5.9850)
(0.0000, 0.3679)
(-5.1796, 2.9904)
(0.3608, -0.2083)
(5.1796, 2.9904)
(-0.3608, -0.2083)
(0.0000, 5.9808)
(0.0000, -0.4165)
(-5.1796, -2.9904)
(0.3607, 0.2083)
(5.1796, -2.9904)
(-0.3607, 0.2083)
(0.0000, -5.9808)
(0.0000, 0.4165)
(-5.1755, 2.9881)
(0.4021, -0.2322)
(5.1755, 2.9881)
(-0.4021, -0.2322)
(0.0000, 5.9762)
(0.0000, -0.4642)
(-5.1755, -2.9881)
(0.4020, 0.2322)
(5.1755, -2.9881)
(-0.4020, 0.2321)
(0.0000, -5.9762)
(0.0000, 0.4641)
(-5.1711, 2.9855)
(0.4426, -0.2556)
(5.1711, 2.9855)
(-0.4426, -0.2555)
(0.0000, 5.9711)
(0.0000, -0.5108)
(-5.1711, -2.9855)
(0.4424, 0.2555)
(5.1711, -2.9855)
(-0.4424, 0.2555)
(0.0000, -5.9711)
(0.0000, 0.5107)
(-5.1663, 2.9828)
(0.4823, -0.2785)
(5.1663, 2.9828)
(-0.4823, -0.2784)
(0.0000, 5.9655)
(0.0000, -0.5565)
(-5.1663, -2.9828)
(0.4820, 0.2784)
(5.1663, -2.9828)
(-0.4819, 0.2783)
(0.0000, -5.9655)
(0.0000, 0.5563)
(-5.1611, 2.9797)
(0.5211, -0.3009)
(5.1611, 2.9798)
(-0.5211, -0.3008)
(0.0000, 5.9595)
(0.0000, -0.6010)
(-5.1611, -2.9798)
(0.5206, 0.3008)
(5.1611, -2.9798)
(-0.5206, 0.3007)
(0.0000, -5.9595)
(0.0000, 0.6008)
(-5.1555, 2.9765)
(0.5590, -0.3228)
(5.1555, 2.9765)
(-0.5590, -0.3227)
(0.0000, 5.9531)
(0.0000, -0.6446)
(-5.1555, -2.9765)
(0.5584, 0.3226)
(5.1555, -2.9765)
(-0.5583, 0.3225)
(0.0000, -5.9531)
(0.0000, 0.6443)
(-5.1495, 2.9731)
(0.5961, -0.3441)
(5.1495, 2.9731)
(-0.5960, -0.3440)
(0.0000, 5.9462)
(0.0000, -0.6870)
(-5.1496, -2.9731)
(0.5952, 0.3439)
(5.1496, -2.9731)
(-0.5951, 0.3438)
(0.0000, -5.9462)
(0.0000, 0.6866)
(-5.1432, 2.9694)
(0.6322, -0.3650)
(5.1432, 2.9694)
(-0.6321, -0.3648)
(0.0000, 5.9389)
(0.0000, -0.7283)
(-5.1432, -2.9694)
(0.6310, 0.3647)
(5.1433, -2.9694)
(-0.6309, 0.3645)
(0.0000, -5.9389)
(0.0000, 0.7278)
(-5.1365, 2.9656)
(0.6674, -0.3853)
(5.1365, 2.9656)
(-0.6673, -0.3851)
(0.0000, 5.9312)
(0.0000, -0.7685)
(-5.1366, -2.9656)
(0.6659, 0.3850)
(5.1366, -2.9656)
(-0.6658, 0.3847)
(0.0000, -5.9313)
(0.0000, 0.7679)
(-5.1295, 2.9615)
(0.7017, -0.4051)
(5.1295, 2.9615)
(-0.7015, -0.4048)
(0.0000, 5.9232)
(0.0000, -0.8076)
(-5.1296, -2.9615)
(0.6999, 0.4047)
(5.1296, -2.9616)
(-0.6997, 0.4044)
(0.0000, -5.9232)
(0.0000, 0.8069)
(-5.1222, 2.9573)
(0.7350, -0.4244)
(5.1222, 2.9573)
(-0.7348, -0.4240)
(0.0000, 5.9147)
(0.0000, -0.8455)
(-5.1223, -2.9573)
(0.7328, 0.4239)
(5.1223, -2.9573)
