Test 2.7/2.7 RVO2 Circle-16-trayectorias
(-9.2307, -3.8235)
(0.8055, 0.3336)
(7.0649, -7.0649)
(-0.6165, 0.6165)
(-7.0649, -7.0649)
(0.6165, 0.6165)
(7.0649, 7.0649)
(-0.6165, -0.6165)
(9.2307, -3.8235)
(-0.8055, 0.3336)
(9.2307, 3.8235)
(-0.8055, -0.3336)
(-9.2307, 3.8235)
(0.8055, -0.3336)
(3.8235, 9.2307)
(-0.3336, -0.8055)
(0.0000, -9.9913)
(0.0000, 0.8719)
(-3.8235, -9.2307)
(0.3336, 0.8055)
(-9.9913, 0.0000)
(0.8719, 0.0000)
(3.8235, -9.2307)
(-0.3336, 0.8055)
(9.9913, 0.0000)
(-0.8719, 0.0000)
(0.0000, 9.9913)
(0.0000, -0.8719)
(-7.0649, 7.0649)
(0.6165, -0.6165)
(-3.8235, 9.2307)
(0.3336, -0.8055)
(-9.2227, -3.8202)
(0.8047, 0.3333)
(7.0587, -7.0587)
(-0.6159, 0.6159)
(-7.0587, -7.0587)
(0.6159, 0.6159)
(7.0587, 7.0587)
(-0.6159, -0.6159)
(9.2227, -3.8202)
(-0.8047, 0.3333)
(9.2227, 3.8202)
(-0.8047, -0.3333)
(-9.2227, 3.8202)
(0.8047, -0.3333)
(3.8202, 9.2227)
(-0.3333, -0.8047)
(0.0000, -9.9826)
(0.0000, 0.8710)
(-3.8202, -9.2227)
(0.3333, 0.8047)
(-9.9826, 0.0000)
(0.8710, 0.0000)
(3.8202, -9.2227)
(-0.3333, 0.8047)
(9.9826, 0.0000)
(-0.8710, 0.0000)
(0.0000, 9.9826)
(0.0000, -0.8710)
(-7.0587, 7.0587)
(0.6159, -0.6159)
(-3.8202, 9.2227)
(0.3333, -0.8047)
(-9.2147, -3.8168)
(0.8039, 0.3330)
(7.0526, -7.0526)
(-0.6153, 0.6153)
(-7.0526, -7.0526)
(0.6153, 0.6153)
(7.0526, 7.0526)
(-0.6153, -0.6153)
(9.2147, -3.8168)
(-0.8039, 0.3330)
(9.2147, 3.8168)
(-0.8039, -0.3330)
(-9.2147, 3.8168)
(0.8039, -0.3330)
(3.8168, 9.2147)
(-0.3330, -0.8039)
(0.0000, -9.9739)
(0.0000, 0.8701)
(-3.8168, -9.2147)
(0.3330, 0.8039)
(-9.9739, 0.0000)
(0.8701, 0.0000)
(3.8168, -9.2147)
(-0.3330, 0.8039)
(9.9739, 0.0000)
(-0.8701, 0.0000)
(0.0000, 9.9739)
(0.0000, -0.8701)
(-7.0526, 7.0526)
(0.6153, -0.6153)
(-3.8168, 9.2147)
(0.3330, -0.8039)
(-9.2066, -3.8135)
(0.8031, 0.3326)
(7.0464, -7.0464)
(-0.6146, 0.6146)
(-7.0464, -7.0464)
(0.6146, 0.6146)
(7.0464, 7.0464)
(-0.6146, -0.6146)
(9.2066, -3.8135)
(-0.8031, 0.3326)
(9.2066, 3.8135)
(-0.8031, -0.3326)
(-9.2066, 3.8135)
(0.8031, -0.3326)
(3.8135, 9.2066)
(-0.3326, -0.8031)
(0.0000, -9.9652)
(0.0000, 0.8692)
(-3.8135, -9.2066)
(0.3326, 0.8031)
(-9.9652, 0.0000)
(0.8692, 0.0000)
(3.8135, -9.2066)
(-0.3326, 0.8031)
(9.9652, 0.0000)
(-0.8692, 0.0000)
(0.0000, 9.9652)
(0.0000, -0.8692)
(-7.0464, 7.0464)
(0.6146, -0.6146)
(-3.8135, 9.2066)
(0.3326, -0.8031)
(-9.1986, -3.8102)
(0.8023, 0.3323)
(7.0403, -7.0403)
(-0.6140, 0.6140)
(-7.0403, -7.0403)
(0.6140, 0.6140)
(7.0403, 7.0403)
(-0.6140, -0.6140)
(9.1986, -3.8102)
(-0.8023, 0.3323)
(9.1986, 3.8102)
(-0.8023, -0.3323)
(-9.1986, 3.8102)
(0.8023, -0.3323)
(3.8102, 9.1986)
(-0.3323, -0.8023)
(0.0000, -9.9565)
(0.0000, 0.8684)
(-3.8102, -9.1986)
(0.3323, 0.8023)
(-9.9565, 0.0000)
(0.8684, 0.0000)
(3.8102, -9.1986)
(-0.3323, 0.8023)
(9.9565, 0.0000)
(-0.8684, 0.0000)
(0.0000, 9.9565)
(0.0000, -0.8684)
(-7.0403, 7.0403)
(0.6140, -0.6140)
(-3.8102, 9.1986)
(0.3323, -0.8023)
(-9.1906, -3.8069)
(0.8015, 0.3320)
(7.0342, -7.0342)
(-0.6134, 0.6134)
(-7.0342, -7.0342)
(0.6134, 0.6134)
(7.0342, 7.0342)
(-0.6134, -0.6134)
(9.1906, -3.8069)
(-0.8015, 0.3320)
(9.1906, 3.8069)
(-0.8015, -0.3320)
(-9.1906, 3.8069)
(0.8015, -0.3320)
(3.8069, 9.1906)
(-0.3320, -0.8015)
(0.0000, -9.9478)
(0.0000, 0.8675)
(-3.8069, -9.1906)
(0.3320, 0.8015)
(-9.9478, 0.0000)
(0.8675, 0.0000)
(3.8069, -9.1906)
(-0.3320, 0.8015)
(9.9478, 0.0000)
(-0.8675, 0.0000)
(0.0000, 9.9478)
(0.0000, -0.8675)
(-7.0342, 7.0342)
(0.6134, -0.6134)
(-3.8069, 9.1906)
(0.3320, -0.8015)
(-9.1826, -3.8036)
(0.8007, 0.3316)
(7.0280, -7.0280)
(-0.6128, 0.6128)
(-7.0280, -7.0280)
(0.6128, 0.6128)
(7.0280, 7.0280)
(-0.6128, -0.6128)
(9.1826, -3.8035)
(-0.8007, 0.3316)
(9.1826, 3.8035)
(-0.8007, -0.3316)
(-9.1826, 3.8036)
(0.8007, -0.3316)
(3.8036, 9.1826)
(-0.3316, -0.8007)
(0.0000, -9.9392)
(0.0000, 0.8666)
(-3.8035, -9.1826)
(0.3316, 0.8007)
(-9.9392, 0.0000)
(0.8666, 0.0000)
