Test 2.7/2.7 SF Circle-16-trayectorias
(-7.0711, -7.0711)
(0.0000, 0.0000)
(7.0711, -7.0711)
(0.0000, 0.0000)
(-9.2388, 3.8268)
(0.0000, 0.0000)
(-9.2388, -3.8268)
(0.0000, 0.0000)
(7.0711, 7.0711)
(0.0000, 0.0000)
(3.8268, -9.2388)
(0.0000, 0.0000)
(0.0000, 10.0000)
(0.0000, 0.0000)
(-3.8268, 9.2388)
(0.0000, 0.0000)
(-10.0000, 0.0000)
(0.0000, 0.0000)
(-7.0711, 7.0711)
(0.0000, 0.0000)
(9.2388, -3.8268)
(0.0000, 0.0000)
(3.8268, 9.2388)
(0.0000, 0.0000)
(9.2388, 3.8268)
(0.0000, 0.0000)
(10.0000, 0.0000)
(0.0000, 0.0000)
(0.0000, -10.0000)
(0.0000, 0.0000)
(-3.8268, -9.2388)
(0.0000, 0.0000)
(-7.0709, -7.0709)
(0.0183, 0.0183)
(7.0709, -7.0709)
(-0.0183, 0.0183)
(-9.2386, 3.8267)
(0.0240, -0.0099)
(-9.2386, -3.8267)
(0.0240, 0.0099)
(7.0709, 7.0709)
(-0.0183, -0.0183)
(3.8267, -9.2386)
(-0.0099, 0.0240)
(0.0000, 9.9997)
(0.0000, -0.0259)
(-3.8267, 9.2386)
(0.0099, -0.0240)
(-9.9997, 0.0000)
(0.0259, 0.0000)
(-7.0709, 7.0709)
(0.0183, -0.0183)
(9.2386, -3.8267)
(-0.0240, 0.0099)
(3.8267, 9.2386)
(-0.0099, -0.0240)
(9.2386, 3.8267)
(-0.0240, -0.0099)
(9.9997, 0.0000)
(-0.0259, 0.0000)
(0.0000, -9.9997)
(0.0000, 0.0259)
(-3.8267, -9.2386)
(0.0099, 0.0240)
(-7.0705, -7.0705)
(0.0363, 0.0363)
(7.0705, -7.0705)
(-0.0363, 0.0363)
(-9.2381, 3.8265)
(0.0475, -0.0197)
(-9.2381, -3.8265)
(0.0475, 0.0197)
(7.0705, 7.0705)
(-0.0363, -0.0363)
(3.8265, -9.2381)
(-0.0197, 0.0475)
(0.0000, 9.9992)
(0.0000, -0.0514)
(-3.8265, 9.2381)
(0.0197, -0.0475)
(-9.9992, 0.0000)
(0.0514, 0.0000)
(-7.0705, 7.0705)
(0.0363, -0.0363)
(9.2381, -3.8265)
(-0.0475, 0.0197)
(3.8265, 9.2381)
(-0.0197, -0.0475)
(9.2381, 3.8265)
(-0.0475, -0.0197)
(9.9992, 0.0000)
(-0.0514, 0.0000)
(0.0000, -9.9992)
(0.0000, 0.0514)
(-3.8265, -9.2381)
(0.0197, 0.0475)
(-7.0700, -7.0700)
(0.0540, 0.0540)
(7.0700, -7.0700)
(-0.0540, 0.0540)
(-9.2374, 3.8262)
(0.0705, -0.0292)
(-9.2374, -3.8262)
(0.0705, 0.0292)
(7.0700, 7.0700)
(-0.0540, -0.0540)
(3.8262, -9.2374)
(-0.0292, 0.0705)
(0.0000, 9.9985)
(0.0000, -0.0763)
(-3.8262, 9.2374)
(0.0292, -0.0705)
(-9.9985, 0.0000)
(0.0763, 0.0000)
(-7.0700, 7.0700)
(0.0540, -0.0540)
(9.2374, -3.8262)
(-0.0705, 0.0292)
(3.8262, 9.2374)
(-0.0292, -0.0705)
(9.2374, 3.8262)
(-0.0705, -0.0292)
(9.9985, 0.0000)
(-0.0763, 0.0000)
(0.0000, -9.9985)
(0.0000, 0.0763)
(-3.8262, -9.2374)
(0.0292, 0.0705)
(-7.0693, -7.0693)
(0.0713, 0.0713)
(7.0693, -7.0693)
(-0.0713, 0.0713)
(-9.2364, 3.8259)
(0.0932, -0.0386)
(-9.2364, -3.8259)
(0.0932, 0.0386)
(7.0693, 7.0693)
(-0.0713, -0.0713)
(3.8259, -9.2364)
(-0.0386, 0.0932)
(0.0000, 9.9975)
(0.0000, -0.1009)
(-3.8259, 9.2364)
(0.0386, -0.0932)
(-9.9975, 0.0000)
(0.1009, 0.0000)
(-7.0693, 7.0693)
(0.0713, -0.0713)
(9.2364, -3.8259)
(-0.0932, 0.0386)
(3.8259, 9.2364)
(-0.0386, -0.0932)
(9.2364, 3.8259)
(-0.0932, -0.0386)
(9.9975, 0.0000)
(-0.1009, 0.0000)
(0.0000, -9.9975)
(0.0000, 0.1009)
(-3.8259, -9.2364)
(0.0386, 0.0932)
(-7.0684, -7.0684)
(0.0883, 0.0883)
(7.0684, -7.0684)
(-0.0883, 0.0883)
(-9.2353, 3.8254)
(0.1154, -0.0478)
(-9.2353, -3.8254)
(0.1154, 0.0478)
(7.0684, 7.0684)
(-0.0883, -0.0883)
(3.8254, -9.2353)
(-0.0478, 0.1154)
(0.0000, 9.9962)
(0.0000, -0.1249)
(-3.8254, 9.2353)
(0.0478, -0.1154)
(-9.9962, 0.0000)
(0.1249, 0.0000)
(-7.0684, 7.0684)
(0.0883, -0.0883)
(9.2353, -3.8254)
(-0.1154, 0.0478)
(3.8254, 9.2353)
(-0.0478, -0.1154)
(9.2353, 3.8254)
(-0.1154, -0.0478)
(9.9962, 0.0000)
(-0.1249, 0.0000)
(0.0000, -9.9962)
(0.0000, 0.1249)
(-3.8254, -9.2353)
(0.0478, 0.1154)
(-7.0673, -7.0673)
(0.1050, 0.1050)
(7.0673, -7.0673)
(-0.1050, 0.1050)
(-9.2339, 3.8248)
(0.1372, -0.0568)
(-9.2339, -3.8248)
(0.1372, 0.0568)
(7.0673, 7.0673)
(-0.1050, -0.1050)
(3.8248, -9.2339)
(-0.0568, 0.1372)
(0.0000, 9.9947)
(0.0000, -0.1485)
(-3.8248, 9.2339)
(0.0568, -0.1372)
(-9.9947, 0.0000)
(0.1485, 0.0000)
(-7.0673, 7.0673)
(0.1050, -0.1050)
(9.2339, -3.8248)
(-0.1372, 0.0568)
(3.8248, 9.2339)
(-0.0568, -0.1372)
(9.2339, 3.8248)
(-0.1372, -0.0568)
(9.9947, 0.0000)
(-0.1485, 0.0000)
(0.0000, -9.9947)
(0.0000, 0.1485)
(-3.8248, -9.2339)
