Test 2.8/2.8 SF Lone vs Group-trayectorias
(-0.5000, 10.0000)
(0.0000, 0.0000)
(-0.5000, 1.0000)
(0.0000, 0.0000)
(-0.5000, -1.0000)
(0.0000, 0.0000)
(0.5000, 2.0000)
(0.0000, 0.0000)
(-0.5000, 3.0000)
(0.0000, 0.0000)
(-1.5000, 0.0000)
(0.0000, 0.0000)
(-1.5000, 3.0000)
(0.0000, 0.0000)
(-0.5000, 0.0000)
(0.0000, 0.0000)
(-1.5000, 2.0000)
(0.0000, 0.0000)
(0.5000, -1.0000)
(0.0000, 0.0000)
(0.5000, 3.0000)
(0.0000, 0.0000)
(-1.5000, 1.0000)
(0.0000, 0.0000)
(-1.5000, -1.0000)
(0.0000, 0.0000)
(-0.5000, 2.0000)
(0.0000, 0.0000)
(0.5000, 0.0000)
(0.0000, 0.0000)
(0.5000, 1.0000)
(0.0000, 0.0000)
(-0.5000, 9.9997)
(0.0000, -0.0259)
(-0.5000, 1.0003)
(0.0000, 0.0259)
(-0.5000, -0.9998)
(0.0000, 0.0220)
(0.5000, 2.0003)
(0.0034, 0.0269)
(-0.5000, 3.0003)
(-0.0007, 0.0295)
(-1.5000, 0.0002)
(-0.0042, 0.0248)
(-1.5000, 3.0003)
(-0.0037, 0.0268)
(-0.5000, 0.0003)
(-0.0002, 0.0290)
(-1.5000, 2.0003)
(-0.0044, 0.0256)
(0.5000, -0.9997)
(0.0037, 0.0259)
(0.5000, 3.0003)
(0.0031, 0.0328)
(-1.5000, 1.0002)
(-0.0049, 0.0237)
(-1.5000, -0.9998)
(-0.0030, 0.0199)
(-0.5000, 2.0003)
(-0.0001, 0.0284)
(0.5000, 0.0003)
(0.0037, 0.0305)
(0.5000, 1.0003)
(0.0038, 0.0313)
(-0.5000, 9.9992)
(0.0000, -0.0514)
(-0.5000, 1.0008)
(0.0000, 0.0515)
(-0.5000, -0.9993)
(0.0000, 0.0437)
(0.5001, 2.0008)
(0.0067, 0.0535)
(-0.5000, 3.0009)
(-0.0014, 0.0584)
(-1.5001, 0.0007)
(-0.0082, 0.0490)
(-1.5001, 3.0008)
(-0.0073, 0.0532)
(-0.5000, 0.0009)
(-0.0003, 0.0572)
(-1.5001, 2.0008)
(-0.0085, 0.0507)
(0.5001, -0.9992)
(0.0073, 0.0513)
(0.5001, 3.0010)
(0.0061, 0.0647)
(-1.5001, 1.0007)
(-0.0098, 0.0470)
(-1.5001, -0.9994)
(-0.0058, 0.0397)
(-0.5000, 2.0008)
(-0.0002, 0.0561)
(0.5001, 0.0009)
(0.0072, 0.0601)
(0.5001, 1.0009)
(0.0073, 0.0618)
(-0.5000, 9.9985)
(0.0000, -0.0763)
(-0.5000, 1.0015)
(-0.0007, 0.0736)
(-0.5000, -0.9987)
(0.0001, 0.0652)
(0.5002, 2.0016)
(0.0098, 0.0796)
(-0.5000, 3.0017)
(-0.0020, 0.0866)
(-1.5002, 0.0015)
(-0.0120, 0.0727)
(-1.5002, 3.0016)
(-0.0108, 0.0789)
(-0.5000, 0.0017)
(0.0002, 0.0851)
(-1.5003, 2.0015)
(-0.0126, 0.0753)
(0.5002, -0.9985)
(0.0106, 0.0764)
(0.5002, 3.0019)
(0.0090, 0.0958)
(-1.5003, 1.0014)
(-0.0144, 0.0700)
(-1.5002, -0.9988)
(-0.0086, 0.0592)
(-0.5000, 2.0017)
(-0.0006, 0.0827)
(0.5002, 0.0018)
(0.0108, 0.0878)
(0.5002, 1.0018)
(0.0103, 0.0907)
(-0.5000, 9.9975)
(0.0000, -0.1009)
(-0.5000, 1.0025)
(-0.0015, 0.0957)
(-0.5000, -0.9979)
(0.0001, 0.0841)
(0.5003, 2.0027)
(0.0127, 0.1055)
(-0.5001, 3.0029)
(-0.0027, 0.1143)
(-1.5004, 0.0024)
(-0.0161, 0.0939)
(-1.5004, 3.0026)
(-0.0141, 0.1042)
(-0.5000, 0.0028)
(0.0003, 0.1103)
(-1.5004, 2.0025)
(-0.0164, 0.0996)
(0.5004, -0.9975)
(0.0139, 0.0985)
(0.5003, 3.0032)
(0.0118, 0.1260)
(-1.5005, 1.0023)
(-0.0187, 0.0926)
(-1.5003, -0.9980)
(-0.0111, 0.0785)
(-0.5000, 2.0028)
(-0.0017, 0.1081)
(0.5004, 0.0029)
(0.0141, 0.1147)
