Test 2.9/2.9 SF Lone vs Group in Similar Direction-trayectorias
(-0.5000, 10.0000)
(0.0000, 0.0000)
(0.5000, 2.0000)
(0.0000, 0.0000)
(0.5000, 3.0000)
(0.0000, 0.0000)
(-0.5000, 3.0000)
(0.0000, 0.0000)
(0.5000, 0.0000)
(0.0000, 0.0000)
(0.5000, 1.0000)
(0.0000, 0.0000)
(-0.5000, 2.0000)
(0.0000, 0.0000)
(-1.5000, 1.0000)
(0.0000, 0.0000)
(-1.5000, 4.0000)
(0.0000, 0.0000)
(-0.5000, 4.0000)
(0.0000, 0.0000)
(0.5000, 4.0000)
(0.0000, 0.0000)
(-1.5000, 2.0000)
(0.0000, 0.0000)
(-1.5000, 3.0000)
(0.0000, 0.0000)
(-0.5000, 0.0000)
(0.0000, 0.0000)
(-1.5000, 0.0000)
(0.0000, 0.0000)
(-0.5000, 1.0000)
(0.0000, 0.0000)
(-0.5000, 9.9991)
(0.0000, -0.0926)
(0.5000, 1.9997)
(0.0041, -0.0259)
(0.5000, 2.9997)
(0.0041, -0.0261)
(-0.5000, 2.9997)
(-0.0002, -0.0289)
(0.5000, -0.0003)
(0.0034, -0.0294)
(0.5000, 0.9997)
(0.0042, -0.0270)
(-0.5000, 1.9997)
(0.0004, -0.0304)
(-1.5000, 0.9997)
(-0.0033, -0.0273)
(-1.5000, 3.9998)
(-0.0038, -0.0232)
(-0.5000, 3.9998)
(-0.0003, -0.0206)
(0.5000, 3.9998)
(0.0030, -0.0199)
(-1.5000, 1.9997)
(-0.0033, -0.0302)
(-1.5000, 2.9997)
(-0.0037, -0.0309)
(-0.5000, -0.0003)
(0.0017, -0.0329)
(-1.5000, -0.0003)
(-0.0031, -0.0329)
(-0.5000, 0.9997)
(0.0010, -0.0280)
(-0.5000, 9.9972)
(0.0000, -0.1835)
(0.5001, 1.9992)
(0.0080, -0.0514)
(0.5001, 2.9992)
(0.0079, -0.0516)
(-0.5000, 2.9991)
(-0.0004, -0.0570)
(0.5001, -0.0009)
(0.0067, -0.0582)
(0.5001, 0.9992)
(0.0082, -0.0536)
(-0.5000, 1.9991)
(0.0008, -0.0599)
(-1.5001, 0.9992)
(-0.0064, -0.0542)
(-1.5001, 3.9993)
(-0.0075, -0.0461)
(-0.5000, 3.9994)
(-0.0006, -0.0410)
(0.5001, 3.9994)
(0.0058, -0.0397)
(-1.5001, 1.9991)
(-0.0064, -0.0597)
(-1.5001, 2.9991)
(-0.0078, -0.0602)
(-0.4999, -0.0010)
(0.0033, -0.0651)
(-1.5001, -0.0010)
(-0.0060, -0.0649)
(-0.5000, 0.9992)
(0.0019, -0.0556)
(-0.5000, 9.9945)
(0.0000, -0.2727)
(0.5002, 1.9985)
(0.0117, -0.0765)
(0.5002, 2.9985)
(0.0115, -0.0765)
(-0.5000, 2.9983)
(-0.0001, -0.0839)
(0.5002, -0.0017)
(0.0099, -0.0864)
(0.5002, 0.9984)
(0.0120, -0.0796)
(-0.5000, 1.9982)
(0.0016, -0.0882)
(-1.5002, 0.9984)
(-0.0093, -0.0808)
(-1.5002, 3.9986)
(-0.0109, -0.0687)
(-0.5000, 3.9988)
(-0.0008, -0.0613)
(0.5002, 3.9988)
(0.0085, -0.0593)
(-1.5002, 1.9982)
(-0.0094, -0.0884)
(-1.5002, 2.9982)
(-0.0118, -0.0887)
(-0.4999, -0.0019)
(0.0046, -0.0964)
(-1.5002, -0.0019)
(-0.0088, -0.0961)
(-0.4999, 0.9983)
(0.0027, -0.0827)
(-0.5000, 9.9909)
(0.0000, -0.3602)
(0.5004, 1.9975)
(0.0159, -0.0980)
(0.5004, 2.9975)
(0.0149, -0.1008)
(-0.5000, 2.9972)
(0.0005, -0.1106)
(0.5003, -0.0029)
(0.0130, -0.1115)
(0.5004, 0.9974)
(0.0163, -0.1046)
(-0.5000, 1.9971)
(0.0017, -0.1152)
(-1.5003, 0.9973)
(-0.0121, -0.1069)
(-1.5004, 3.9977)
(-0.0142, -0.0910)
(-0.5000, 3.9980)
(-0.0015, -0.0809)
(0.5003, 3.9980)
(0.0111, -0.0787)
(-1.5003, 1.9970)
(-0.0128, -0.1169)
(-1.5004, 2.9970)
(-0.0151, -0.1159)
(-0.4998, -0.0032)
(0.0058, -0.1269)
(-1.5003, -0.0032)
(-0.0114, -0.1266)
