Test 1.2/1.2 AM Crossing-trayectorias
(0.1500, -5.0000)
(0.0000, 0.0000)
(5.0000, 0.0000)
(0.0000, 0.0000)
(0.1500, -4.9700)
(0.0000, 3.0000)
(4.9700, 0.0000)
(-3.0000, 0.0000)
(0.1526, -4.9401)
(0.2594, 2.9888)
(4.9401, -0.0027)
(-2.9879, -0.2690)
(0.1568, -4.9104)
(0.4236, 2.9699)
(4.9104, -0.0071)
(-2.9681, -0.4362)
(0.1621, -4.8809)
(0.5277, 2.9532)
(4.8809, -0.0125)
(-2.9510, -0.5399)
(0.1681, -4.8515)
(0.5944, 2.9405)
(4.8515, -0.0185)
(-2.9383, -0.6052)
(0.1744, -4.8222)
(0.6381, 2.9314)
(4.8223, -0.0250)
(-2.9293, -0.6475)
(0.1811, -4.7929)
(0.6679, 2.9247)
(4.7930, -0.0317)
(-2.9228, -0.6761)
(0.1880, -4.7637)
(0.6893, 2.9197)
(4.7638, -0.0387)
(-2.9180, -0.6966)
(0.1951, -4.7346)
(0.7057, 2.9158)
(4.7347, -0.0458)
(-2.9142, -0.7124)
(0.2023, -4.7054)
(0.7192, 2.9125)
(4.7056, -0.0531)
(-2.9110, -0.7255)
(0.2096, -4.6763)
(0.7310, 2.9096)
(4.6765, -0.0605)
(-2.9080, -0.7371)
(0.2170, -4.6473)
(0.7418, 2.9068)
(4.6475, -0.0679)
(-2.9053, -0.7479)
(0.2245, -4.6182)
(0.7523, 2.9041)
(4.6184, -0.0755)
(-2.9026, -0.7583)
(0.2321, -4.5892)
(0.7626, 2.9015)
(4.5894, -0.0832)
(-2.8998, -0.7687)
(0.2399, -4.5602)
(0.7729, 2.8987)
(4.5605, -0.0910)
(-2.8971, -0.7791)
(0.2477, -4.5313)
(0.7833, 2.8959)
(4.5315, -0.0989)
(-2.8942, -0.7896)
(0.2556, -4.5023)
(0.7940, 2.8930)
(4.5026, -0.1069)
(-2.8912, -0.8004)
(0.2637, -4.4734)
(0.8049, 2.8900)
(4.4737, -0.1150)
(-2.8882, -0.8115)
(0.2718, -4.4446)
(0.8160, 2.8869)
(4.4449, -0.1232)
(-2.8850, -0.8228)
