Test 1.2/1.2 PL Crossing-trayectorias
(0.0000, -5.0000)
(0.0000, 0.0000)
(5.0000, 0.0000)
(0.0000, 0.0000)
(0.0000, -4.9994)
(0.0000, 0.0556)
(4.9994, 0.0000)
(-0.0556, 0.0000)
(0.0000, -4.9983)
(0.0000, 0.1101)
(4.9983, 0.0000)
(-0.1101, 0.0000)
(0.0000, -4.9967)
(0.0000, 0.1636)
(4.9967, 0.0000)
(-0.1636, 0.0000)
(0.0000, -4.9945)
(0.0000, 0.2161)
(4.9945, 0.0000)
(-0.2161, 0.0000)
(0.0000, -4.9919)
(0.0000, 0.2677)
(4.9919, 0.0000)
(-0.2677, 0.0000)
(0.0000, -4.9887)
(0.0000, 0.3183)
(4.9887, 0.0000)
(-0.3183, 0.0000)
(0.0000, -4.9850)
(0.0000, 0.3679)
(4.9850, 0.0000)
(-0.3679, 0.0000)
(0.0000, -4.9808)
(-0.0001, 0.4166)
(4.9808, 0.0000)
(-0.4166, 0.0000)
(0.0000, -4.9762)
(-0.0001, 0.4644)
(4.9762, 0.0000)
(-0.4643, 0.0001)
(0.0000, -4.9711)
(-0.0002, 0.5112)
(4.9711, 0.0000)
(-0.5110, 0.0002)
(0.0000, -4.9655)
(-0.0004, 0.5572)
(4.9655, 0.0000)
(-0.5569, 0.0003)
(0.0000, -4.9595)
(-0.0006, 0.6021)
(4.9595, 0.0000)
(-0.6017, 0.0005)
(0.0000, -4.9530)
(-0.0010, 0.6462)
(4.9530, 0.0000)
(-0.6456, 0.0008)
(0.0000, -4.9461)
(-0.0014, 0.6893)
(4.9462, 0.0000)
(-0.6886, 0.0011)
(-0.0001, -4.9388)
(-0.0020, 0.7316)
(4.9389, 0.0000)
(-0.7306, 0.0016)
(-0.0001, -4.9311)
(-0.0026, 0.7729)
(4.9311, 0.0001)
(-0.7717, 0.0021)
(-0.0001, -4.9230)
(-0.0035, 0.8133)
(4.9230, 0.0001)
(-0.8118, 0.0028)
(-0.0002, -4.9144)
(-0.0044, 0.8527)
(4.9145, 0.0001)
(-0.8510, 0.0037)
(-0.0002, -4.9055)
(-0.0056, 0.8913)
(4.9056, 0.0002)
(-0.8893, 0.0047)
(-0.0003, -4.8962)
(-0.0069, 0.9290)
(4.8964, 0.0002)
(-0.9266, 0.0058)
(-0.0004, -4.8866)
(-0.0084, 0.9657)
(4.8867, 0.0003)
(-0.9630, 0.0071)
(-0.0005, -4.8766)
(-0.0101, 1.0016)
(4.8767, 0.0004)
(-0.9985, 0.0086)
(-0.0006, -4.8662)
(-0.0119, 1.0366)
(4.8664, 0.0005)
(-1.0331, 0.0102)
(-0.0007, -4.8555)
(-0.0140, 1.0708)
