Test 1.2/1.2 RVO2 Crossing-trayectorias
(4.9827, 0.0127)
(-1.7323, 1.2677)
(-0.0127, -4.9827)
(-1.2677, 1.7323)
(4.9654, 0.0253)
(-1.7302, 1.2660)
(-0.0253, -4.9654)
(-1.2660, 1.7302)
(4.9481, 0.0380)
(-1.7274, 1.2637)
(-0.0380, -4.9481)
(-1.2650, 1.7287)
(4.9313, 0.0501)
(-1.6810, 1.2142)
(-0.0511, -4.9303)
(-1.3077, 1.7742)
(4.9066, 0.0473)
(-2.4709, -0.2776)
(-0.0580, -4.9011)
(-0.6896, 2.9197)
(4.8781, 0.0459)
(-2.8526, -0.1425)
(-0.0592, -4.8712)
(-0.1228, 2.9975)
(4.8495, 0.0445)
(-2.8524, -0.1423)
(-0.0604, -4.8412)
(-0.1228, 2.9975)
(4.8210, 0.0431)
(-2.8522, -0.1420)
(-0.0616, -4.8112)
(-0.1228, 2.9975)
(4.7925, 0.0417)
(-2.8520, -0.1418)
(-0.0629, -4.7813)
(-0.1228, 2.9975)
(4.7640, 0.0402)
(-2.8518, -0.1416)
(-0.0641, -4.7513)
(-0.1228, 2.9975)
(4.7355, 0.0388)
(-2.8516, -0.1414)
(-0.0653, -4.7213)
(-0.1228, 2.9975)
(4.7069, 0.0374)
(-2.8514, -0.1411)
(-0.0666, -4.6913)
(-0.1228, 2.9975)
(4.6784, 0.0360)
(-2.8512, -0.1409)
(-0.0678, -4.6614)
(-0.1228, 2.9975)
(4.6499, 0.0346)
(-2.8510, -0.1407)
(-0.0690, -4.6314)
(-0.1228, 2.9975)
(4.6214, 0.0332)
(-2.8508, -0.1405)
(-0.0702, -4.6014)
(-0.1228, 2.9975)
(4.5929, 0.0318)
(-2.8506, -0.1402)
(-0.0715, -4.5714)
(-0.1228, 2.9975)
(4.5644, 0.0304)
(-2.8504, -0.1400)
(-0.0727, -4.5415)
(-0.1228, 2.9975)
(4.5359, 0.0290)
(-2.8502, -0.1398)
(-0.0739, -4.5115)
(-0.1228, 2.9975)
(4.5074, 0.0276)
(-2.8500, -0.1395)
(-0.0752, -4.4815)
(-0.1228, 2.9975)
(4.4789, 0.0262)
(-2.8498, -0.1393)
(-0.0764, -4.4515)
(-0.1228, 2.9975)
(4.4504, 0.0248)
(-2.8496, -0.1391)
(-0.0776, -4.4216)
(-0.1228, 2.9975)
(4.4219, 0.0234)
(-2.8494, -0.1388)
(-0.0788, -4.3916)
(-0.1228, 2.9975)
(4.3934, 0.0220)
(-2.8492, -0.1386)
(-0.0801, -4.3616)
(-0.1228, 2.9975)
(4.3649, 0.0207)
(-2.8490, -0.1383)
(-0.0813, -4.3316)
(-0.1228, 2.9975)
(4.3364, 0.0193)
(-2.8487, -0.1381)
(-0.0825, -4.3017)
(-0.1228, 2.9975)
(4.3080, 0.0179)
(-2.8485, -0.1379)
(-0.0837, -4.2717)
(-0.1228, 2.9975)
(4.2795, 0.0165)
(-2.8483, -0.1376)
(-0.0850, -4.2417)
(-0.1228, 2.9975)
(4.2510, 0.0151)
(-2.8481, -0.1374)
(-0.0862, -4.2117)
(-0.1228, 2.9975)
(4.2225, 0.0138)
(-2.8479, -0.1371)
