Test 2.3 AM Three way confusion-trayectorias
(0.0000, -5.0000)
(0.0000, 0.0000)
(5.0000, 0.0000)
(0.0000, 0.0000)
(0.0000, 5.0000)
(0.0000, 0.0000)
(0.0000, -4.9970)
(0.0000, 0.3000)
(4.9970, 0.0000)
(-0.3000, 0.0000)
(0.0000, 4.9970)
(0.0000, -0.3000)
(0.0000, -4.9910)
(0.0000, 0.6001)
(4.9910, 0.0000)
(-0.6001, 0.0000)
(0.0000, 4.9910)
(0.0000, -0.6001)
(0.0000, -4.9820)
(0.0000, 0.9004)
(4.9820, 0.0000)
(-0.9004, 0.0000)
(0.0000, 4.9820)
(0.0000, -0.9004)
(0.0000, -4.9700)
(0.0000, 1.2009)
(4.9700, 0.0000)
(-1.2009, 0.0000)
(0.0000, 4.9700)
(0.0000, -1.2009)
(0.0000, -4.9550)
(0.0000, 1.5018)
(4.9550, 0.0000)
(-1.5018, 0.0000)
(0.0000, 4.9550)
(0.0000, -1.5018)
(0.0000, -4.9369)
(0.0000, 1.8032)
(4.9402, 0.0000)
(-1.4753, -0.0025)
(0.0000, 4.9373)
(0.0000, -1.7697)
(0.0000, -4.9166)
(0.0000, 2.0347)
(4.9257, 0.0000)
(-1.4484, -0.0011)
(0.0000, 4.9176)
(0.0000, -1.9669)
(0.0000, -4.8948)
(0.0000, 2.1780)
(4.9082, 0.0000)
(-1.7506, -0.0011)
(0.0000, 4.8968)
(0.0000, -2.0816)
(0.0000, -4.8724)
(0.0000, 2.2443)
(4.8911, 0.0000)
(-1.7156, 0.0007)
(0.0000, 4.8754)
(0.0000, -2.1375)
(0.0000, -4.8497)
(0.0000, 2.2655)
(4.8709, 0.0000)
(-2.0189, 0.0007)
(0.0000, 4.8538)
(0.0000, -2.1617)
(0.0000, -4.8271)
(0.0000, 2.2656)
(4.8511, -0.0001)
(-1.9748, -0.0031)
(0.0000, 4.8321)
(0.0000, -2.1708)
(0.0000, -4.8045)
(0.0000, 2.2573)
(4.8319, -0.0001)
(-1.9258, -0.0083)
(0.0000, 4.8104)
(0.0000, -2.1731)
(0.0000, -4.7820)
(0.0000, 2.2459)
(4.8130, -0.0002)
(-1.8853, -0.0095)
(0.0000, 4.7886)
(0.0000, -2.1721)
(0.0000, -4.7597)
(0.0000, 2.2338)
(4.7945, -0.0003)
(-1.8514, -0.0094)
(0.0000, 4.7669)
(0.0000, -2.1694)
(0.0000, -4.7375)
(0.0000, 2.2218)
(4.7764, -0.0004)
(-1.8128, -0.0085)
(0.0000, 4.7453)
(0.0000, -2.1656)
(0.0000, -4.7154)
(0.0000, 2.2101)
(4.7586, -0.0005)
(-1.7756, -0.0064)
(0.0000, 4.7237)
