Test 2.4/2.4 AM Four way confusion-trayectorias
(0.0000, -5.0000)
(0.0000, 0.0000)
(5.0000, 0.0000)
(0.0000, 0.0000)
(0.0000, 5.0000)
(0.0000, 0.0000)
(-5.0000, 0.0000)
(0.0000, 0.0000)
(0.0000, -4.9700)
(0.0000, 3.0000)
(4.9700, 0.0000)
(-3.0000, 0.0000)
(0.0000, 4.9700)
(0.0000, -3.0000)
(-4.9700, 0.0015)
(2.9961, 0.1520)
(-0.0025, -4.9401)
(-0.2528, 2.9893)
(4.9401, -0.0025)
(-2.9892, -0.2545)
(0.0027, 4.9401)
(0.2662, -2.9882)
(-4.9402, 0.0048)
(2.9819, 0.3287)
(-0.0038, -4.9101)
(-0.1261, 2.9973)
(4.9103, -0.0063)
(-2.9762, -0.3770)
(0.0040, 4.9101)
(0.1328, -2.9971)
(-4.9105, 0.0090)
(2.9706, 0.4192)
(-0.0069, -4.8803)
(-0.3070, 2.9843)
(4.8804, -0.0082)
(-2.9941, -0.1879)
(0.0071, 4.8803)
(0.3143, -2.9835)
(-4.8806, 0.0111)
(2.9927, 0.2088)
(-0.0108, -4.8506)
(-0.3956, 2.9738)
(4.8504, -0.0091)
(-2.9986, -0.0928)
(0.0113, 4.8506)
(0.4167, -2.9709)
(-4.8508, 0.0145)
(2.9802, 0.3442)
(-0.0128, -4.8206)
(-0.1966, 2.9936)
(4.8206, -0.0121)
(-2.9855, -0.2946)
(0.0134, 4.8207)
(0.2071, -2.9928)
(-4.8211, 0.0185)
(2.9732, 0.3999)
(-0.0137, -4.7906)
(-0.0964, 2.9985)
(4.7908, -0.0161)
(-2.9721, -0.4079)
(0.0169, 4.7909)
(0.3503, -2.9795)
(-4.7914, 0.0228)
(2.9693, 0.4282)
(-0.0164, -4.7608)
(-0.2664, 2.9881)
(4.7609, -0.0182)
(-2.9932, -0.2019)
(0.0186, 4.7609)
(0.1729, -2.9950)
(-4.7614, 0.0249)
(2.9926, 0.2112)
(-0.0203, -4.7310)
(-0.3869, 2.9749)
(4.7311, -0.0217)
(-2.9787, -0.3566)
(0.0221, 4.7311)
(0.3512, -2.9794)
(-4.7315, 0.0259)
(2.9983, 0.1018)
(-0.0249, -4.7014)
(-0.4611, 2.9644)
(4.7012, -0.0235)
(-2.9949, -0.1753)
(0.0263, 4.7014)
(0.4182, -2.9707)
(-4.7016, 0.0290)
(2.9848, 0.3017)
(-0.0272, -4.6714)
(-0.2274, 2.9914)
(4.6714, -0.0269)
(-2.9808, -0.3391)
(0.0284, 4.6715)
(0.2055, -2.9930)
(-4.6719, 0.0330)
(2.9721, 0.4081)
(-0.0283, -4.6415)
(-0.1096, 2.9980)
