Test 2.4/2.4 PL Four way confusion-trayectorias
(-5.0000, 0.0000)
(0.0000, 0.0000)
(0.0000, 5.0000)
(0.0000, 0.0000)
(0.0000, -5.0000)
(0.0000, 0.0000)
(5.0000, 0.0000)
(0.0000, 0.0000)
(-4.9994, 0.0000)
(0.0556, 0.0000)
(0.0000, 4.9994)
(0.0000, -0.0556)
(0.0000, -4.9994)
(0.0000, 0.0556)
(4.9994, 0.0000)
(-0.0556, 0.0000)
(-4.9983, 0.0000)
(0.1101, 0.0000)
(0.0000, 4.9983)
(0.0000, -0.1101)
(0.0000, -4.9983)
(0.0000, 0.1101)
(4.9983, 0.0000)
(-0.1101, 0.0000)
(-4.9967, 0.0000)
(0.1636, 0.0000)
(0.0000, 4.9967)
(0.0000, -0.1636)
(0.0000, -4.9967)
(0.0000, 0.1636)
(4.9967, 0.0000)
(-0.1636, 0.0000)
(-4.9945, 0.0000)
(0.2161, 0.0000)
(0.0000, 4.9945)
(0.0000, -0.2161)
(0.0000, -4.9945)
(0.0000, 0.2161)
(4.9945, 0.0000)
(-0.2161, 0.0000)
(-4.9919, 0.0000)
(0.2677, 0.0000)
(0.0000, 4.9919)
(0.0000, -0.2677)
(0.0000, -4.9919)
(0.0000, 0.2677)
(4.9919, 0.0000)
(-0.2677, 0.0000)
(-4.9887, 0.0000)
(0.3183, 0.0000)
(0.0000, 4.9887)
(0.0000, -0.3182)
(0.0000, -4.9887)
(0.0000, 0.3182)
(4.9887, 0.0000)
(-0.3182, 0.0000)
(-4.9850, 0.0000)
(0.3679, 0.0000)
(0.0000, 4.9850)
(0.0000, -0.3678)
(0.0000, -4.9850)
(0.0000, 0.3678)
(4.9850, 0.0000)
(-0.3678, 0.0000)
(-4.9808, 0.0000)
(0.4165, 0.0000)
(0.0000, 4.9808)
(0.0000, -0.4165)
(0.0000, -4.9808)
(0.0000, 0.4164)
(4.9808, 0.0000)
(-0.4164, 0.0000)
(-4.9762, 0.0000)
(0.4642, 0.0000)
(0.0000, 4.9762)
(0.0000, -0.4641)
(0.0000, -4.9762)
(0.0000, 0.4640)
(4.9762, 0.0000)
(-0.4639, 0.0000)
(-4.9711, 0.0000)
(0.5108, 0.0000)
(0.0000, 4.9711)
(-0.0001, -0.5106)
(0.0000, -4.9711)
(-0.0001, 0.5106)
(4.9711, 0.0000)
(-0.5104, 0.0000)
(-4.9655, 0.0000)
(0.5564, 0.0000)
(0.0000, 4.9655)
(-0.0001, -0.5561)
(0.0000, -4.9655)
(-0.0001, 0.5560)
(4.9655, 0.0000)
(-0.5557, 0.0000)
(-4.9595, 0.0000)
(0.6010, 0.0000)
(0.0000, 4.9595)
(-0.0002, -0.6006)
(0.0000, -4.9595)
(-0.0002, 0.6004)
(4.9595, 0.0000)
(-0.6000, 0.0000)
(-4.9531, 0.0000)
(0.6444, 0.0000)
(0.0000, 4.9531)
(-0.0002, -0.6439)
(0.0000, -4.9531)
(-0.0002, 0.6437)
(4.9531, 0.0000)
(-0.6432, 0.0000)
(-4.9462, 0.0000)
(0.6868, 0.0000)
(0.0000, 4.9462)
(-0.0003, -0.6861)
(0.0000, -4.9462)
(-0.0003, 0.6859)
(4.9463, 0.0000)
(-0.6851, 0.0000)
(-4.9389, 0.0000)
(0.7280, 0.0000)
(0.0000, 4.9390)
(-0.0004, -0.7271)
(0.0000, -4.9390)
(-0.0004, 0.7268)
(4.9390, 0.0000)
(-0.7259, 0.0000)
(-4.9312, 0.0000)
(0.7681, 0.0000)
(0.0000, 4.9313)
(-0.0005, -0.7670)
(0.0000, -4.9313)
(-0.0005, 0.7667)
(4.9313, 0.0000)
(-0.7655, 0.0000)
(-4.9232, 0.0000)
(0.8070, 0.0000)
(0.0000, 4.9232)
(-0.0006, -0.8057)
(0.0000, -4.9233)
(-0.0006, 0.8053)
(4.9233, 0.0000)
(-0.8039, 0.0000)
(-4.9147, 0.0000)
(0.8448, 0.0000)
(0.0000, 4.9148)
(-0.0007, -0.8432)
(0.0000, -4.9148)
(-0.0007, 0.8427)
(4.9149, 0.0000)
(-0.8411, 0.0000)
(-4.9059, 0.0000)
(0.8814, 0.0000)
(0.0000, 4.9060)
(-0.0008, -0.8794)
(0.0000, -4.9060)
(-0.0008, 0.8789)
(4.9061, 0.0000)
(-0.8770, 0.0000)
(-4.8967, 0.0000)
(0.9167, 0.0000)
(0.0000, 4.8969)
(-0.0009, -0.9145)
(0.0000, -4.8969)
(-0.0009, 0.9139)
(4.8970, 0.0000)
(-0.9117, 0.0000)
(-4.8872, 0.0000)
(0.9509, 0.0000)
(-0.0001, 4.8874)
(-0.0011, -0.9484)
(-0.0001, -4.8874)
(-0.0011, 0.9477)
(4.8876, 0.0000)
(-0.9452, 0.0000)
(-4.8774, 0.0000)
(0.9838, 0.0000)
