Test 2.5/2.5 SF Circle-6-trayectorias
(-5.1962, -3.0000)
(0.0000, 0.0000)
(5.1962, 3.0000)
(0.0000, 0.0000)
(0.0000, -6.0000)
(0.0000, 0.0000)
(0.0000, 6.0000)
(0.0000, 0.0000)
(5.1962, -3.0000)
(0.0000, 0.0000)
(-5.1962, 3.0000)
(0.0000, 0.0000)
(-5.1957, -2.9997)
(0.0481, 0.0278)
(5.1957, 2.9997)
(-0.0481, -0.0278)
(0.0000, -5.9994)
(0.0000, 0.0556)
(0.0000, 5.9994)
(0.0000, -0.0556)
(5.1957, -2.9997)
(-0.0481, 0.0278)
(-5.1957, 2.9997)
(0.0481, -0.0278)
(-5.1947, -2.9992)
(0.0953, 0.0550)
(5.1947, 2.9992)
(-0.0953, -0.0550)
(0.0000, -5.9983)
(0.0000, 0.1101)
(0.0000, 5.9983)
(0.0000, -0.1101)
(5.1947, -2.9992)
(-0.0953, 0.0550)
(-5.1947, 2.9992)
(0.0953, -0.0550)
(-5.1933, -2.9984)
(0.1417, 0.0818)
(5.1933, 2.9984)
(-0.1417, -0.0818)
(0.0000, -5.9967)
(0.0000, 0.1636)
(0.0000, 5.9967)
(0.0000, -0.1636)
(5.1933, -2.9984)
(-0.1417, 0.0818)
(-5.1933, 2.9984)
(0.1417, -0.0818)
(-5.1914, -2.9973)
(0.1872, 0.1081)
(5.1914, 2.9973)
(-0.1872, -0.1081)
(0.0000, -5.9945)
(0.0000, 0.2161)
(0.0000, 5.9945)
(0.0000, -0.2161)
(5.1914, -2.9973)
(-0.1872, 0.1081)
(-5.1914, 2.9973)
(0.1872, -0.1081)
(-5.1891, -2.9959)
(0.2318, 0.1338)
(5.1891, 2.9959)
(-0.2318, -0.1338)
(0.0000, -5.9919)
(0.0000, 0.2677)
(0.0000, 5.9919)
(0.0000, -0.2677)
(5.1891, -2.9959)
(-0.2318, 0.1338)
(-5.1891, 2.9959)
(0.2318, -0.1338)
(-5.1864, -2.9943)
(0.2756, 0.1591)
(5.1864, 2.9943)
(-0.2756, -0.1591)
(0.0000, -5.9887)
(0.0000, 0.3183)
(0.0000, 5.9887)
(0.0000, -0.3183)
(5.1864, -2.9943)
(-0.2756, 0.1591)
(-5.1864, 2.9943)
(0.2756, -0.1591)
(-5.1832, -2.9925)
(0.3186, 0.1840)
(5.1832, 2.9925)
(-0.3186, -0.1840)
(0.0000, -5.9850)
(0.0000, 0.3679)
(0.0000, 5.9850)
(0.0000, -0.3679)
(5.1832, -2.9925)
(-0.3186, 0.1840)
(-5.1832, 2.9925)
(0.3186, -0.1840)
(-5.1796, -2.9904)
(0.3609, 0.2083)
(5.1796, 2.9904)
(-0.3609, -0.2083)
(0.0000, -5.9808)
(0.0000, 0.4167)
(0.0000, 5.9808)
(0.0000, -0.4167)
(5.1796, -2.9904)
(-0.3608, 0.2083)
(-5.1796, 2.9904)
(0.3608, -0.2083)
(-5.1755, -2.9881)
(0.4023, 0.2323)
(5.1755, 2.9881)
(-0.4023, -0.2323)
(0.0000, -5.9762)
(0.0000, 0.4645)
(0.0000, 5.9762)
(0.0000, -0.4645)
(5.1755, -2.9881)
(-0.4023, 0.2323)
(-5.1755, 2.9881)
(0.4023, -0.2323)
(-5.1711, -2.9855)
(0.4429, 0.2557)
(5.1711, 2.9855)
(-0.4429, -0.2557)
(0.0000, -5.9711)
(0.0000, 0.5115)
(0.0000, 5.9711)
(0.0000, -0.5115)
(5.1711, -2.9855)
(-0.4429, 0.2557)
(-5.1711, 2.9855)
(0.4429, -0.2557)
(-5.1663, -2.9828)
(0.4828, 0.2788)
(5.1663, 2.9828)
(-0.4828, -0.2788)
(0.0000, -5.9655)
(0.0000, 0.5576)
(0.0000, 5.9655)
(0.0000, -0.5576)
(5.1663, -2.9828)
(-0.4828, 0.2788)
(-5.1663, 2.9828)
(0.4828, -0.2788)
(-5.1611, -2.9797)
(0.5220, 0.3014)
(5.1611, 2.9797)
(-0.5220, -0.3014)
(0.0000, -5.9595)
(0.0000, 0.6028)
(0.0000, 5.9595)
(0.0000, -0.6028)
(5.1611, -2.9797)
(-0.5220, 0.3014)
(-5.1611, 2.9797)
(0.5220, -0.3014)
(-5.1555, -2.9765)
(0.5604, 0.3236)
(5.1555, 2.9765)
(-0.5604, -0.3236)
(0.0000, -5.9530)
(0.0000, 0.6472)
(0.0000, 5.9530)
(0.0000, -0.6472)
(5.1555, -2.9765)
(-0.5604, 0.3236)
(-5.1555, 2.9765)
(0.5604, -0.3236)
(-5.1495, -2.9731)
(0.5981, 0.3453)
(5.1495, 2.9731)
(-0.5981, -0.3453)
(0.0000, -5.9461)
(0.0001, 0.6907)
(0.0000, 5.9461)
(-0.0001, -0.6907)
(5.1495, -2.9730)
(-0.5981, 0.3454)
(-5.1495, 2.9730)
(0.5980, -0.3454)
(-5.1431, -2.9694)
(0.6351, 0.3667)
(5.1431, 2.9694)
(-0.6351, -0.3667)
(0.0000, -5.9388)
(0.0001, 0.7335)
(0.0000, 5.9388)
(-0.0001, -0.7335)
(5.1431, -2.9694)
(-0.6350, 0.3668)
(-5.1431, 2.9694)
(0.6350, -0.3668)
(-5.1364, -2.9655)
(0.6714, 0.3876)
(5.1364, 2.9655)
(-0.6714, -0.3876)
(0.0000, -5.9310)
(0.0001, 0.7754)
(0.0000, 5.9310)
(-0.0001, -0.7754)
(5.1364, -2.9655)
(-0.6713, 0.3878)
(-5.1364, 2.9655)
(0.6713, -0.3878)
(-5.1293, -2.9614)
(0.7070, 0.4082)
(5.1293, 2.9614)
(-0.7070, -0.4082)
(0.0000, -5.9228)
(0.0001, 0.8166)
(0.0000, 5.9228)
(-0.0001, -0.8165)
(5.1293, -2.9614)
(-0.7068, 0.4084)
(-5.1293, 2.9614)
(0.7068, -0.4084)
(-5.1219, -2.9571)
(0.7419, 0.4283)
(5.1219, 2.9571)
(-0.7419, -0.4283)
(0.0000, -5.9143)
(0.0002, 0.8569)
(0.0000, 5.9143)
(-0.0002, -0.8569)
(5.1219, -2.9571)
