Test 2.6/2.6 PL Circle-12-trayectorias
(4.0000, 6.9282)
(0.0000, 0.0000)
(0.0000, -8.0000)
(0.0000, 0.0000)
(-6.9282, 4.0000)
(0.0000, 0.0000)
(-4.0000, 6.9282)
(0.0000, 0.0000)
(-6.9282, -4.0000)
(0.0000, 0.0000)
(6.9282, -4.0000)
(0.0000, 0.0000)
(6.9282, 4.0000)
(0.0000, 0.0000)
(4.0000, -6.9282)
(0.0000, 0.0000)
(-8.0000, 0.0000)
(0.0000, 0.0000)
(-4.0000, -6.9282)
(0.0000, 0.0000)
(0.0000, 8.0000)
(0.0000, 0.0000)
(8.0000, 0.0000)
(0.0000, 0.0000)
(3.9997, 6.9277)
(-0.0278, -0.0481)
(0.0000, -7.9994)
(0.0000, 0.0556)
(-6.9277, 3.9997)
(0.0481, -0.0278)
(-3.9997, 6.9277)
(0.0278, -0.0481)
(-6.9277, -3.9997)
(0.0481, 0.0278)
(6.9277, -3.9997)
(-0.0481, 0.0278)
(6.9277, 3.9997)
(-0.0481, -0.0278)
(3.9997, -6.9277)
(-0.0278, 0.0481)
(-7.9994, 0.0000)
(0.0556, 0.0000)
(-3.9997, -6.9277)
(0.0278, 0.0481)
(0.0000, 7.9994)
(0.0000, -0.0556)
(7.9994, 0.0000)
(-0.0556, 0.0000)
(3.9992, 6.9268)
(-0.0550, -0.0953)
(0.0000, -7.9983)
(0.0000, 0.1101)
(-6.9268, 3.9992)
(0.0953, -0.0550)
(-3.9992, 6.9268)
(0.0550, -0.0953)
(-6.9268, -3.9992)
(0.0953, 0.0550)
(6.9268, -3.9992)
(-0.0953, 0.0550)
(6.9268, 3.9992)
(-0.0953, -0.0550)
(3.9992, -6.9268)
(-0.0550, 0.0953)
(-7.9983, 0.0000)
(0.1101, 0.0000)
(-3.9992, -6.9268)
(0.0550, 0.0953)
(0.0000, 7.9983)
(0.0000, -0.1101)
(7.9983, 0.0000)
(-0.1101, 0.0000)
(3.9984, 6.9254)
(-0.0818, -0.1417)
(0.0000, -7.9967)
(0.0000, 0.1636)
(-6.9254, 3.9984)
(0.1417, -0.0818)
(-3.9984, 6.9254)
(0.0818, -0.1417)
(-6.9254, -3.9984)
(0.1417, 0.0818)
(6.9254, -3.9984)
(-0.1417, 0.0818)
(6.9254, 3.9984)
(-0.1417, -0.0818)
(3.9984, -6.9254)
(-0.0818, 0.1417)
(-7.9967, 0.0000)
(0.1636, 0.0000)
(-3.9984, -6.9254)
(0.0818, 0.1417)
(0.0000, 7.9967)
(0.0000, -0.1636)
(7.9967, 0.0000)
(-0.1636, 0.0000)
(3.9973, 6.9235)
(-0.1081, -0.1872)
(0.0000, -7.9945)
(0.0000, 0.2161)
(-6.9235, 3.9973)
(0.1872, -0.1081)
(-3.9973, 6.9235)
(0.1081, -0.1872)
(-6.9235, -3.9973)
(0.1872, 0.1081)
(6.9235, -3.9973)
(-0.1872, 0.1081)
(6.9235, 3.9973)
(-0.1872, -0.1081)
(3.9973, -6.9235)
(-0.1081, 0.1872)
(-7.9945, 0.0000)
(0.2161, 0.0000)
(-3.9973, -6.9235)
(0.1081, 0.1872)
(0.0000, 7.9945)
(0.0000, -0.2161)
(7.9945, 0.0000)
(-0.2161, 0.0000)
(3.9959, 6.9212)
(-0.1338, -0.2318)
(0.0000, -7.9919)
(0.0000, 0.2677)
(-6.9212, 3.9959)
(0.2318, -0.1338)
(-3.9959, 6.9212)
(0.1338, -0.2318)
(-6.9212, -3.9959)
(0.2318, 0.1338)
(6.9212, -3.9959)
(-0.2318, 0.1338)
(6.9212, 3.9959)
(-0.2318, -0.1338)
(3.9959, -6.9212)
(-0.1338, 0.2318)
(-7.9919, 0.0000)
(0.2677, 0.0000)
(-3.9959, -6.9212)
(0.1338, 0.2318)
(0.0000, 7.9919)
(0.0000, -0.2677)
(7.9919, 0.0000)
(-0.2677, 0.0000)
(3.9943, 6.9184)
(-0.1591, -0.2756)
(0.0000, -7.9887)
(0.0000, 0.3183)
(-6.9184, 3.9943)
(0.2756, -0.1591)
(-3.9943, 6.9184)
(0.1591, -0.2756)
(-6.9184, -3.9943)
(0.2756, 0.1591)
(6.9184, -3.9943)
(-0.2756, 0.1591)
(6.9184, 3.9943)
(-0.2756, -0.1591)
(3.9943, -6.9184)
(-0.1591, 0.2756)
(-7.9887, 0.0000)
(0.3183, 0.0000)
(-3.9943, -6.9184)
(0.1591, 0.2756)
(0.0000, 7.9887)
(0.0000, -0.3183)
(7.9887, 0.0000)
(-0.3183, 0.0000)
(3.9925, 6.9152)
(-0.1840, -0.3186)
(0.0000, -7.9850)
(0.0000, 0.3679)
(-6.9152, 3.9925)
(0.3186, -0.1840)
(-3.9925, 6.9152)
(0.1840, -0.3186)
(-6.9152, -3.9925)
(0.3186, 0.1840)
(6.9152, -3.9925)
(-0.3186, 0.1840)
(6.9152, 3.9925)
(-0.3186, -0.1840)
(3.9925, -6.9152)
(-0.1840, 0.3186)
(-7.9850, 0.0000)
(0.3679, 0.0000)
(-3.9925, -6.9152)
(0.1840, 0.3186)
(0.0000, 7.9850)
(0.0000, -0.3679)
(7.9850, 0.0000)
(-0.3679, 0.0000)
(3.9904, 6.9116)
(-0.2083, -0.3608)
(0.0000, -7.9808)
(0.0000, 0.4167)
(-6.9116, 3.9904)
(0.3608, -0.2083)
(-3.9904, 6.9116)
(0.2083, -0.3609)
(-6.9116, -3.9904)
(0.3608, 0.2083)
(6.9116, -3.9904)
(-0.3608, 0.2083)
(6.9116, 3.9904)
(-0.3608, -0.2083)
(3.9904, -6.9116)
(-0.2083, 0.3608)
(-7.9808, 0.0000)
(0.4167, 0.0000)
(-3.9904, -6.9116)
(0.2083, 0.3608)
(0.0000, 7.9808)
(0.0000, -0.4167)
(7.9808, 0.0000)
(-0.4167, 0.0000)
(3.9881, 6.9076)
(-0.2322, -0.4022)
(0.0000, -7.9762)
(0.0000, 0.4645)
(-6.9076, 3.9881)
(0.4022, -0.2322)
(-3.9881, 6.9076)
(0.2322, -0.4022)
(-6.9076, -3.9881)
(0.4022, 0.2322)
(6.9076, -3.9881)
(-0.4022, 0.2322)
(6.9076, 3.9881)
(-0.4022, -0.2322)
(3.9881, -6.9076)
(-0.2322, 0.4022)
(-7.9762, 0.0000)
(0.4644, 0.0000)
(-3.9881, -6.9076)
(0.2322, 0.4021)
(0.0000, 7.9762)
(0.0000, -0.4644)
(7.9762, 0.0000)
(-0.4644, 0.0000)
(3.9855, 6.9032)
(-0.2557, -0.4429)
(0.0000, -7.9711)
(0.0000, 0.5114)
(-6.9032, 3.9855)
(0.4428, -0.2557)
(-3.9855, 6.9032)
(0.2556, -0.4428)
(-6.9032, -3.9855)
(0.4428, 0.2557)
(6.9032, -3.9855)
(-0.4428, 0.2557)
(6.9032, 3.9855)
(-0.4428, -0.2556)
(3.9855, -6.9032)
(-0.2556, 0.4427)
(-7.9711, 0.0000)
(0.5111, 0.0000)
(-3.9855, -6.9032)
(0.2556, 0.4426)
(0.0000, 7.9711)
(0.0000, -0.5111)
(7.9711, 0.0000)
(-0.5111, 0.0000)
(3.9828, 6.8983)
(-0.2787, -0.4827)
(0.0000, -7.9655)
(0.0000, 0.5573)
(-6.8983, 3.9828)
(0.4827, -0.2787)
(-3.9828, 6.8983)
(0.2785, -0.4825)
(-6.8983, -3.9828)
(0.4826, 0.2786)
(6.8983, -3.9828)
(-0.4826, 0.2786)
(6.8983, 3.9828)
(-0.4825, -0.2785)
(3.9828, -6.8983)
(-0.2785, 0.4824)
(-7.9655, 0.0000)
(0.5570, 0.0000)
(-3.9828, -6.8983)
(0.2785, 0.4823)
(0.0000, 7.9655)
(0.0000, -0.5569)
(7.9655, 0.0000)
(-0.5569, 0.0000)
(3.9797, 6.8931)
(-0.3012, -0.5217)
(0.0000, -7.9595)
(0.0000, 0.6024)
(-6.8931, 3.9797)
(0.5217, -0.3012)
(-3.9797, 6.8931)
(0.3010, -0.5215)
(-6.8931, -3.9797)
(0.5216, 0.3012)
(6.8931, -3.9797)
(-0.5216, 0.3011)
(6.8931, 3.9797)
(-0.5214, -0.3010)
(3.9797, -6.8931)
(-0.3009, 0.5212)
(-7.9595, 0.0000)
(0.6018, 0.0000)
(-3.9798, -6.8931)
(0.3009, 0.5211)
(0.0000, 7.9595)
(0.0000, -0.6017)
(7.9595, 0.0000)
(-0.6017, 0.0000)
(3.9765, 6.8875)
(-0.3233, -0.5599)
(0.0000, -7.9530)
(0.0000, 0.6465)
(-6.8875, 3.9765)
(0.5599, -0.3232)
(-3.9765, 6.8875)
(0.3230, -0.5596)
(-6.8875, -3.9765)
(0.5597, 0.3232)
(6.8875, -3.9765)
(-0.5598, 0.3232)
(6.8875, 3.9765)
(-0.5595, -0.3229)
(3.9765, -6.8875)
(-0.3228, 0.5592)
(-7.9530, 0.0000)
(0.6456, 0.0000)
(-3.9765, -6.8875)
(0.3228, 0.5590)
(0.0000, 7.9530)
(0.0000, -0.6455)
(7.9530, 0.0000)
(-0.6455, 0.0000)
(3.9731, 6.8815)
(-0.3449, -0.5974)
(0.0000, -7.9461)
(0.0000, 0.6898)
(-6.8815, 3.9731)
(0.5973, -0.3448)
(-3.9731, 6.8816)
(0.3445, -0.5968)
(-6.8816, -3.9731)
(0.5971, 0.3448)
(6.8815, -3.9731)
(-0.5972, 0.3447)
(6.8816, 3.9731)
(-0.5967, -0.3444)
(3.9731, -6.8816)
(-0.3443, 0.5963)
(-7.9462, 0.0000)
(0.6885, 0.0000)
(-3.9731, -6.8816)
(0.3442, 0.5961)
(0.0000, 7.9462)
(0.0000, -0.6883)
(7.9462, 0.0000)
(-0.6883, 0.0000)
(3.9694, 6.8752)
(-0.3660, -0.6340)
(0.0000, -7.9388)
(0.0000, 0.7320)
(-6.8752, 3.9694)
(0.6339, -0.3659)
(-3.9694, 6.8752)
(0.3655, -0.6333)
(-6.8752, -3.9694)
(0.6335, 0.3658)
(6.8752, -3.9694)
(-0.6337, 0.3658)
(6.8752, 3.9694)
(-0.6331, -0.3654)
(3.9694, -6.8752)
(-0.3652, 0.6326)
(-7.9389, 0.0000)
(0.7303, 0.0000)
(-3.9694, -6.8753)
(0.3650, 0.6323)
(0.0000, 7.9389)
(0.0000, -0.7301)
(7.9389, 0.0000)
(-0.7300, 0.0000)
(3.9655, 6.8685)
(-0.3867, -0.6698)
(0.0000, -7.9311)
(0.0000, 0.7733)
(-6.8685, 3.9655)
(0.6696, -0.3866)
(-3.9656, 6.8685)
(0.3860, -0.6688)
(-6.8685, -3.9655)
(0.6692, 0.3865)
(6.8685, -3.9655)
(-0.6694, 0.3864)
(6.8685, 3.9656)
(-0.6687, -0.3858)
(3.9656, -6.8686)
(-0.3856, 0.6679)
(-7.9311, 0.0000)
(0.7711, 0.0000)
(-3.9656, -6.8686)
(0.3854, 0.6675)
(0.0000, 7.9312)
(-0.0001, -0.7708)
(7.9312, 0.0000)
(-0.7707, 0.0000)
(3.9615, 6.8615)
(-0.4069, -0.7047)
(0.0000, -7.9229)
(0.0000, 0.8137)
(-6.8615, 3.9615)
(0.7046, -0.4067)
(-3.9615, 6.8615)
(0.4060, -0.7035)
(-6.8615, -3.9615)
(0.7040, 0.4066)
(6.8615, -3.9615)
(-0.7043, 0.4065)
(6.8615, 3.9615)
(-0.7033, -0.4058)
(3.9615, -6.8615)
(-0.4055, 0.7024)
(-7.9230, 0.0000)
(0.8108, 0.0000)
(-3.9615, -6.8616)
(0.4052, 0.7019)
(0.0000, 7.9230)
(-0.0001, -0.8104)
(7.9231, 0.0000)
(-0.8103, 0.0000)
(3.9572, 6.8541)
(-0.4266, -0.7389)
(0.0000, -7.9144)
(0.0000, 0.8531)
(-6.8541, 3.9572)
(0.7386, -0.4264)
(-3.9572, 6.8541)
(0.4255, -0.7373)
(-6.8541, -3.9572)
(0.7380, 0.4262)
(6.8541, -3.9572)
(-0.7383, 0.4262)
(6.8541, 3.9573)
(-0.7371, -0.4253)
(3.9573, -6.8542)
(-0.4248, 0.7359)
(-7.9145, 0.0000)
(0.8494, 0.0000)
(-3.9573, -6.8542)
(0.4245, 0.7353)
(0.0000, 7.9146)
(-0.0001, -0.8490)
(7.9146, 0.0000)
(-0.8489, 0.0000)
(3.9527, 6.8463)
(-0.4458, -0.7722)
(0.0000, -7.9055)
(0.0000, 0.8916)
(-6.8464, 3.9527)
(0.7719, -0.4456)
(-3.9528, 6.8464)
(0.4445, -0.7703)
(-6.8464, -3.9528)
(0.7710, 0.4453)
(6.8464, -3.9528)
(-0.7714, 0.4453)
(6.8464, 3.9528)
(-0.7699, -0.4442)
(3.9528, -6.8465)
(-0.4437, 0.7685)
(-7.9057, 0.0000)
(0.8870, 0.0001)
(-3.9528, -6.8465)
(0.4432, 0.7677)
(0.0000, 7.9057)
(-0.0001, -0.8865)
(7.9057, 0.0000)
(-0.8863, 0.0000)
(3.9481, 6.8383)
(-0.4646, -0.8046)
(0.0000, -7.8962)
(0.0000, 0.9291)
(-6.8383, 3.9481)
(0.8043, -0.4643)
(-3.9482, 6.8384)
(0.4630, -0.8023)
(-6.8384, -3.9481)
(0.8033, 0.4640)
(6.8383, -3.9481)
(-0.8037, 0.4639)
(6.8384, 3.9482)
(-0.8019, -0.4626)
(3.9482, -6.8385)
(-0.4620, 0.8002)
(-7.8964, 0.0000)
(0.9235, 0.0001)
(-3.9482, -6.8385)
(0.4614, 0.7992)
(0.0000, 7.8965)
(-0.0001, -0.9229)
(7.8965, 0.0000)
(-0.9227, 0.0000)
(3.9433, 6.8299)
(-0.4828, -0.8363)
(0.0000, -7.8865)
(0.0001, 0.9656)
(-6.8300, 3.9433)
(0.8358, -0.4825)
(-3.9434, 6.8301)
(0.4810, -0.8335)
(-6.8300, -3.9433)
(0.8346, 0.4821)
(6.8300, -3.9433)
(-0.8352, 0.4821)
(6.8301, 3.9434)
(-0.8330, -0.4805)
(3.9434, -6.8302)
(-0.4797, 0.8310)
(-7.8868, 0.0000)
(0.9590, 0.0001)
(-3.9434, -6.8302)
(0.4790, 0.8298)
(0.0000, 7.8869)
(-0.0001, -0.9582)
(7.8869, 0.0000)
(-0.9580, 0.0000)
(3.9383, 6.8213)
(-0.5006, -0.8671)
(0.0000, -7.8765)
(0.0001, 1.0011)
(-6.8213, 3.9383)
(0.8665, -0.5002)
(-3.9384, 6.8214)
(0.4984, -0.8637)
(-6.8214, -3.9383)
(0.8651, 0.4998)
(6.8213, -3.9383)
(-0.8658, 0.4997)
(6.8215, 3.9384)
(-0.8632, -0.4979)
(3.9384, -6.8216)
(-0.4969, 0.8608)
(-7.8769, 0.0000)
(0.9933, 0.0001)
(-3.9385, -6.8216)
(0.4961, 0.8594)
(0.0000, 7.8770)
(-0.0002, -0.9924)
(7.8770, 0.0000)
(-0.9921, 0.0000)
(3.9331, 6.8123)
(-0.5179, -0.8970)
(0.0000, -7.8662)
(0.0001, 1.0357)
(-6.8123, 3.9331)
(0.8964, -0.5175)
(-3.9332, 6.8125)
(0.5153, -0.8931)
(-6.8124, -3.9331)
(0.8948, 0.5169)
(6.8124, -3.9331)
(-0.8955, 0.5169)
(6.8125, 3.9333)
(-0.8924, -0.5148)
(3.9333, -6.8127)
(-0.5136, 0.8896)
(-7.8666, 0.0000)
(1.0265, 0.0001)
(-3.9334, -6.8128)
(0.5126, 0.8880)
(0.0000, 7.8667)
(-0.0002, -1.0255)
(7.8667, 0.0000)
(-1.0252, 0.0000)
(3.9277, 6.8030)
(-0.5348, -0.9261)
(0.0000, -7.8555)
(0.0001, 1.0694)
(-6.8031, 3.9278)
(0.9254, -0.5342)
(-3.9279, 6.8033)
(0.5318, -0.9216)
(-6.8032, -3.9278)
(0.9236, 0.5336)
(6.8031, -3.9278)
(-0.9244, 0.5335)
(6.8033, 3.9279)
(-0.9208, -0.5311)
(3.9280, -6.8035)
(-0.5297, 0.9175)
(-7.8561, 0.0000)
(1.0586, 0.0001)
(-3.9281, -6.8036)
(0.5286, 0.9157)
(0.0000, 7.8561)
(-0.0002, -1.0575)
(7.8561, 0.0000)
(-1.0571, 0.0000)
(3.9222, 6.7935)
(-0.5511, -0.9544)
(0.0000, -7.8445)
(0.0001, 1.1021)
(-6.7935, 3.9223)
(0.9536, -0.5505)
(-3.9224, 6.7938)
(0.5477, -0.9491)
(-6.7937, -3.9223)
(0.9515, 0.5498)
(6.7936, -3.9223)
(-0.9525, 0.5497)
(6.7938, 3.9225)
(-0.9483, -0.5469)
(3.9226, -6.7941)
(-0.5452, 0.9445)
(-7.8452, 0.0000)
(1.0896, 0.0001)
(-3.9226, -6.7942)
(0.5440, 0.9424)
(0.0000, 7.8452)
(-0.0002, -1.0883)
(7.8453, 0.0000)
(-1.0880, 0.0000)
(3.9166, 6.7837)
(-0.5670, -0.9819)
(0.0000, -7.8331)
(0.0001, 1.1338)
(-6.7837, 3.9166)
(0.9810, -0.5663)
(-3.9168, 6.7840)
(0.5631, -0.9758)
(-6.7839, -3.9166)
(0.9786, 0.5655)
(6.7838, -3.9166)
(-0.9797, 0.5654)
(6.7841, 3.9168)
(-0.9748, -0.5622)
(3.9170, -6.7844)
(-0.5603, 0.9705)
(-7.8340, 0.0000)
(1.1195, 0.0002)
(-3.9170, -6.7845)
(0.5588, 0.9681)
(0.0000, 7.8341)
(-0.0003, -1.1180)
(7.8341, 0.0000)
(-1.1177, 0.0000)
(3.9107, 6.7736)
(-0.5825, -1.0086)
(0.0000, -7.8215)
(0.0001, 1.1647)
(-6.7737, 3.9108)
(1.0075, -0.5816)
(-3.9110, 6.7740)
(0.5780, -1.0017)
(-6.7738, -3.9108)
(1.0048, 0.5807)
(6.7737, -3.9108)
(-1.0061, 0.5807)
(6.7741, 3.9111)
(-1.0005, -0.5770)
(3.9112, -6.7744)
(-0.5747, 0.9955)
(-7.8225, 0.0000)
(1.1483, 0.0002)
(-3.9113, -6.7746)
(0.5731, 0.9928)
(0.0000, 7.8226)
(-0.0003, -1.1466)
(7.8226, 0.0000)
(-1.1462, 0.0000)
(3.9048, 6.7632)
(-0.5974, -1.0345)
(0.0000, -7.8095)
(0.0001, 1.1946)
(-6.7633, 3.9048)
(1.0332, -0.5965)
(-3.9051, 6.7638)
(0.5923, -1.0266)
(-6.7635, -3.9049)
(1.0303, 0.5954)
(6.7634, -3.9049)
(-1.0318, 0.5954)
(6.7638, 3.9052)
(-1.0253, -0.5912)
(3.9053, -6.7642)
(-0.5886, 1.0196)
(-7.8107, 0.0000)
(1.1759, 0.0002)
(-3.9054, -6.7644)
(0.5868, 1.0166)
(0.0000, 7.8109)
(-0.0003, -1.1741)
(7.8109, 0.0000)
(-1.1737, 0.0000)
(3.8986, 6.7526)
(-0.6120, -1.0597)
(0.0000, -7.7973)
(0.0001, 1.2237)
(-6.7527, 3.8987)
(1.0582, -0.6109)
(-3.8990, 6.7532)
(0.6062, -1.0507)
(-6.7530, -3.8988)
(1.0550, 0.6097)
(6.7529, -3.8988)
(-1.0566, 0.6097)
(6.7533, 3.8991)
(-1.0492, -0.6050)
(3.8993, -6.7538)
(-0.6020, 1.0427)
(-7.7987, 0.0000)
(1.2025, 0.0002)
(-3.8994, -6.7540)
(0.5999, 1.0393)
(0.0000, 7.7989)
(-0.0003, -1.2004)
(7.7989, 0.0000)
(-1.2001, 0.0000)
(3.8924, 6.7418)
(-0.6261, -1.0841)
(0.0000, -7.7848)
(0.0001, 1.2520)
(-6.7419, 3.8925)
(1.0824, -0.6248)
(-3.8928, 6.7425)
(0.6196, -1.0739)
(-6.7422, -3.8925)
(1.0788, 0.6236)
(6.7421, -3.8926)
(-1.0806, 0.6236)
(6.7426, 3.8929)
(-1.0722, -0.6182)
(3.8932, -6.7431)
(-0.6148, 1.0649)
(-7.7864, 0.0000)
(1.2279, 0.0003)
(-3.8933, -6.7434)
(0.6125, 1.0611)
(0.0000, 7.7866)
(-0.0004, -1.2255)
(7.7866, 0.0000)
(-1.2253, 0.0000)
(3.8860, 6.7307)
(-0.6398, -1.1078)
(0.0000, -7.7720)
(0.0001, 1.2794)
(-6.7309, 3.8861)
(1.1058, -0.6384)
(-3.8865, 6.7315)
(0.6325, -1.0962)
(-6.7312, -3.8862)
(1.1020, 0.6370)
(6.7310, -3.8862)
(-1.1040, 0.6371)
(6.7317, 3.8866)
(-1.0944, -0.6310)
(3.8869, -6.7323)
(-0.6270, 1.0860)
(-7.7739, 0.0000)
(1.2521, 0.0003)
(-3.8871, -6.7326)
(0.6245, 1.0818)
(0.0000, 7.7741)
(-0.0004, -1.2496)
(7.7741, 0.0000)
(-1.2494, 0.0000)
(3.8794, 6.7194)
(-0.6532, -1.1308)
(0.0000, -7.7589)
(0.0001, 1.3061)
(-6.7196, 3.8796)
(1.1285, -0.6515)
(-3.8801, 6.7204)
(0.6449, -1.1178)
(-6.7199, -3.8797)
(1.1244, 0.6500)
(6.7198, -3.8797)
(-1.1266, 0.6501)
(6.7205, 3.8802)
(-1.1157, -0.6432)
(3.8805, -6.7212)
(-0.6387, 1.1062)
(-7.7612, 0.0000)
(1.2753, 0.0004)
(-3.8807, -6.7216)
(0.6359, 1.1015)
(0.0000, 7.7614)
(-0.0004, -1.2725)
(7.7614, 0.0000)
(-1.2723, 0.0000)
(3.8728, 6.7079)
(-0.6661, -1.1531)
(0.0000, -7.7456)
(0.0001, 1.3320)
(-6.7081, 3.8729)
(1.1505, -0.6642)
