Test 2.7/2.7 AM Circle-24-trayectorias
(2.0706, 7.7274)
(0.0000, 0.0000)
(8.0000, 0.0000)
(0.0000, 0.0000)
(-7.7274, -2.0706)
(0.0000, 0.0000)
(-4.0000, -6.9282)
(0.0000, 0.0000)
(0.0000, -8.0000)
(0.0000, 0.0000)
(7.7274, -2.0706)
(0.0000, 0.0000)
(4.0000, -6.9282)
(0.0000, 0.0000)
(-4.0000, 6.9282)
(0.0000, 0.0000)
(2.0706, -7.7274)
(0.0000, 0.0000)
(-8.0000, 0.0000)
(0.0000, 0.0000)
(-5.6569, 5.6569)
(0.0000, 0.0000)
(6.9282, -4.0000)
(0.0000, 0.0000)
(4.0000, 6.9282)
(0.0000, 0.0000)
(-2.0706, 7.7274)
(0.0000, 0.0000)
(-5.6569, -5.6569)
(0.0000, 0.0000)
(-6.9282, 4.0000)
(0.0000, 0.0000)
(-6.9282, -4.0000)
(0.0000, 0.0000)
(5.6569, 5.6569)
(0.0000, 0.0000)
(6.9282, 4.0000)
(0.0000, 0.0000)
(-7.7274, 2.0706)
(0.0000, 0.0000)
(0.0000, 8.0000)
(0.0000, 0.0000)
(5.6569, -5.6569)
(0.0000, 0.0000)
(7.7274, 2.0706)
(0.0000, 0.0000)
(-2.0706, -7.7274)
(0.0000, 0.0000)
(2.0628, 7.6984)
(-0.7765, -2.8978)
(7.9700, 0.0000)
(-3.0000, 0.0000)
(-7.6984, -2.0628)
(2.8978, 0.7765)
(-3.9850, -6.9022)
(1.5000, 2.5981)
(0.0000, -7.9700)
(0.0000, 3.0000)
(7.6984, -2.0628)
(-2.8978, 0.7765)
(3.9850, -6.9022)
(-1.5000, 2.5981)
(-3.9850, 6.9022)
(1.5000, -2.5981)
(2.0628, -7.6984)
(-0.7765, 2.8978)
(-7.9700, 0.0000)
(3.0000, 0.0000)
(-5.6356, 5.6356)
(2.1213, -2.1213)
(6.9022, -3.9850)
(-2.5981, 1.5000)
(3.9850, 6.9022)
(-1.5000, -2.5981)
(-2.0628, 7.6984)
(0.7765, -2.8978)
(-5.6356, -5.6356)
(2.1213, 2.1213)
(-6.9022, 3.9850)
(2.5981, -1.5000)
(-6.9022, -3.9850)
(2.5981, 1.5000)
(5.6356, 5.6356)
(-2.1213, -2.1213)
(6.9022, 3.9850)
(-2.5981, -1.5000)
(-7.6984, 2.0628)
(2.8978, -0.7765)
(0.0000, 7.9700)
(0.0000, -3.0000)
(5.6356, -5.6356)
(-2.1213, 2.1213)
(7.6984, 2.0628)
(-2.8978, -0.7765)
(-2.0628, -7.6984)
(0.7765, 2.8978)
(2.0565, 7.6691)
(-0.6324, -2.9326)
(7.9401, -0.0018)
(-2.9946, -0.1797)
(-7.6698, -2.0537)
(2.8599, 0.9060)
(-3.9700, -6.8762)
(1.5000, 2.5981)
(0.0000, -7.9400)
(0.0000, 3.0000)
(7.6695, -2.0550)
(-2.8978, 0.7765)
(3.9688, -6.8770)
(-1.6187, 2.5258)
(-3.9700, 6.8762)
(1.5000, -2.5981)
(2.0537, -7.6698)
(-0.9075, 2.8594)
(-7.9400, 0.0000)
(3.0000, 0.0000)
(-5.6144, 5.6144)
(2.1213, -2.1213)
(6.8756, -3.9712)
(-2.6631, 1.3812)
(3.9717, 6.8753)
(-1.3322, -2.6880)
(-2.0550, 7.6695)
(0.7765, -2.8978)
(-5.6144, -5.6144)
(2.1213, 2.1213)
(-6.8788, 3.9715)
(2.3444, -1.3536)
(-6.8769, -3.9688)
(2.5277, 1.6158)
(5.6165, 5.6165)
(-1.9142, -1.9142)
(6.8772, 3.9685)
(-2.5055, -1.6500)
(-7.6695, 2.0550)
(2.8978, -0.7765)
(0.0013, 7.9400)
(0.1348, -2.9970)
(5.6134, -5.6155)
(-2.2227, 2.0148)
(7.6701, 2.0528)
(-2.8284, -1.0002)
(-2.0550, -7.6695)
(0.7765, 2.8978)
(2.0508, 7.6396)
(-0.5702, -2.9453)
(7.9102, -0.0047)
(-2.9864, -0.2853)
(-7.6410, -2.0453)
(2.8796, 0.8413)
(-3.9562, -6.8496)
(1.3782, 2.6647)
(0.0000, -7.9100)
(0.0000, 3.0000)
(7.6433, -2.0480)
(-2.6149, 0.7007)
(3.9532, -6.8513)
(-1.5596, 2.5627)
(-3.9539, 6.8510)
(1.6145, -2.5285)
(2.0453, -7.6410)
(-0.8421, 2.8794)
(-7.9100, 0.0000)
(3.0000, 0.0000)
(-5.5923, 5.5942)
(2.2179, -2.0201)
(6.8486, -3.9580)
(-2.6951, 1.3177)
(3.9593, 6.8480)
(-1.2348, -2.7341)
(-2.0473, 7.6405)
(0.7765, -2.8978)
(-5.5932, -5.5932)
(2.1213, 2.1213)
(-6.8528, 3.9565)
(2.5981, -1.5000)
(-6.8521, -3.9520)
(2.4830, 1.6837)
(5.5953, 5.5953)
(-2.1213, -2.1213)
(6.8525, 3.9514)
(-2.4663, -1.7081)
(-7.6405, 2.0473)
(2.8978, -0.7765)
(0.0035, 7.9101)
(0.2143, -2.9923)
(5.5907, -5.5959)
(-2.2722, 1.9588)
(7.6421, 2.0422)
(-2.8069, -1.0590)
(-2.0487, -7.6401)
(0.6364, 2.9317)
(2.0457, 7.6101)
(-0.5022, -2.9577)
(7.8804, -0.0079)
(-2.9825, -0.3232)
(-7.6126, -2.0359)
(2.8473, 0.9449)
(-3.9431, -6.8226)
(1.3137, 2.6971)
(0.0000, -7.8800)
(0.0000, 3.0000)
(7.6169, -2.0409)
(-2.6395, 0.7072)
(3.9379, -6.8255)
(-1.5298, 2.5807)
(-3.9371, 6.8261)
(1.6731, -2.4901)
(2.0372, -7.6122)
(-0.8091, 2.8888)
(-7.8800, 0.0000)
(3.0000, 0.0000)
(-5.5696, 5.5745)
(2.2612, -1.9716)
(6.8215, -3.9452)
(-2.7131, 1.2804)
(3.9484, 6.8201)
(-1.0914, -2.7945)
(-2.0395, 7.6115)
(0.7765, -2.8978)
(-5.5720, -5.5720)
(2.1213, 2.1213)
(-6.8268, 3.9415)
(2.5981, -1.5000)
(-6.8275, -3.9348)
(2.4566, 1.7219)
(5.5752, 5.5730)
(-2.0106, -2.2265)
(6.8281, 3.9340)
(-2.4440, -1.7398)
(-7.6118, 2.0396)
(2.8710, -0.7693)
(0.0059, 7.8802)
(0.2458, -2.9899)
(5.5677, -5.5766)
(-2.2998, 1.9264)
(7.6141, 2.0314)
(-2.7984, -1.0813)
(-2.0429, -7.6107)
(0.5714, 2.9451)
(2.0409, 7.5805)
(-0.4806, -2.9612)
(7.8506, -0.0113)
(-2.9809, -0.3378)
(-7.5843, -2.0258)
(2.8273, 1.0033)
(-3.9303, -6.7955)
(1.2782, 2.7141)
(0.0000, -7.8500)
(0.0000, 3.0000)
(7.5918, -2.0342)
(-2.5076, 0.6719)
(3.9228, -6.7996)
(-1.5147, 2.5895)
(-3.9202, 6.8013)
(1.6961, -2.4745)
(2.0293, -7.5832)
(-0.7926, 2.8934)
(-7.8500, 0.0000)
(3.0000, 0.0000)
(-5.5468, 5.5550)
(2.2795, -1.9503)
(6.7943, -3.9326)
(-2.7235, 1.2579)
(3.9382, 6.7918)
(-1.0201, -2.8212)
(-2.0317, 7.5825)
(0.7765, -2.8978)
(-5.5508, -5.5508)
(2.1213, 2.1213)
(-6.8008, 3.9265)
(2.5981, -1.5000)
(-6.8031, -3.9174)
(2.4413, 1.7436)
(5.5556, 5.5503)
(-1.9555, -2.2751)
(6.8038, 3.9164)
(-2.4264, -1.7643)
(-7.5836, 2.0320)
(2.8121, -0.7535)
(0.0085, 7.8503)
(0.2560, -2.9891)
(5.5445, -5.5576)
(-2.3153, 1.9077)
(7.5862, 2.0204)
(-2.7933, -1.0943)
(-2.0376, -7.5812)
(0.5369, 2.9516)
(2.0362, 7.5508)
(-0.4773, -2.9618)
(7.8208, -0.0147)
(-2.9801, -0.3452)
(-7.5561, -2.0155)
(2.8153, 1.0363)
(-3.9177, -6.7683)
(1.2587, 2.7232)
(0.0000, -7.8200)
(0.0000, 3.0000)
(7.5625, -2.0278)
(-2.9312, 0.6389)
(3.9077, -6.7737)
(-1.5071, 2.5939)
(-3.9042, 6.7759)
(1.5988, -2.5385)
(2.0201, -7.5547)
(-0.9184, 2.8560)
(-7.8200, 0.0000)
(3.0000, 0.0000)
(-5.5240, 5.5356)
(2.2846, -1.9444)
(6.7676, -3.9188)
(-2.6632, 1.3811)
(3.9284, 6.7635)
(-0.9847, -2.8338)
(-2.0240, 7.5535)
(0.7765, -2.8978)
(-5.5296, -5.5296)
(2.1213, 2.1213)
(-6.7749, 3.9115)
(2.5981, -1.5000)
(-6.7788, -3.8998)
(2.4327, 1.7556)
(5.5364, 5.5272)
(-1.9177, -2.3070)
(6.7797, 3.8986)
(-2.4138, -1.7815)
(-7.5560, 2.0246)
(2.7653, -0.7410)
(0.0098, 7.8203)
(0.1273, -2.9973)
(5.5213, -5.5386)
(-2.3243, 1.8968)
(7.5583, 2.0094)
(-2.7898, -1.1032)
(-2.0324, -7.5516)
(0.5186, 2.9548)
(2.0313, 7.5212)
(-0.4817, -2.9611)
(7.7910, -0.0182)
(-2.9795, -0.3501)
(-7.5281, -2.0049)
(2.8083, 1.0553)
(-3.9052, -6.7410)
(1.2479, 2.7282)
(0.0000, -7.7900)
(0.0000, 3.0000)
(7.5330, -2.0224)
(-2.9507, 0.5415)
(3.8927, -6.7477)
(-1.5034, 2.5961)
(-3.8887, 6.7502)
(1.5491, -2.5691)
(2.0103, -7.5263)
(-0.9819, 2.8348)
(-7.7900, 0.0000)
(3.0000, 0.0000)
(-5.5010, 5.5163)
(2.2972, -1.9295)
(6.7407, -3.9057)
(-2.6969, 1.3140)
(3.9186, 6.7351)
(-0.9719, -2.8382)
(-2.0149, 7.5249)
(0.9048, -2.8603)
(-5.5084, -5.5084)
(2.1213, 2.1213)
(-6.7492, 3.8967)
(2.5619, -1.4791)
(-6.7545, -3.8822)
(2.4281, 1.7620)
(5.5175, 5.5039)
(-1.8920, -2.3282)
(6.7556, 3.8806)
(-2.4049, -1.7935)
(-7.5286, 2.0173)
(2.7386, -0.7338)
(0.0104, 7.7904)
(0.0627, -2.9993)
(5.4980, -5.5197)
(-2.3296, 1.8902)
(7.5304, 1.9983)
(-2.7873, -1.1096)
