Test 2.7/2.7 RVO2 Circle-24-trayectorias
(-3.9970, 6.9229)
(0.3042, -0.5269)
(6.9229, 3.9970)
(-0.5269, -0.3042)
(-6.9229, 3.9970)
(0.5269, -0.3042)
(7.7215, 2.0690)
(-0.5877, -0.1575)
(-5.6526, -5.6526)
(0.4303, 0.4303)
(-7.7215, 2.0690)
(0.5877, -0.1575)
(-2.0690, -7.7215)
(0.1575, 0.5877)
(-6.9229, -3.9970)
(0.5269, 0.3042)
(3.9970, 6.9229)
(-0.3042, -0.5269)
(6.9229, -3.9970)
(-0.5269, 0.3042)
(7.9939, 0.0000)
(-0.6085, 0.0000)
(5.6526, 5.6526)
(-0.4303, -0.4303)
(0.0000, -7.9939)
(0.0000, 0.6085)
(2.0690, 7.7215)
(-0.1575, -0.5877)
(-7.7215, -2.0690)
(0.5877, 0.1575)
(-7.9939, 0.0000)
(0.6085, 0.0000)
(-2.0690, 7.7215)
(0.1575, -0.5877)
(7.7215, -2.0690)
(-0.5877, 0.1575)
(-3.9970, -6.9229)
(0.3042, 0.5269)
(0.0000, 7.9939)
(0.0000, -0.6085)
(3.9970, -6.9229)
(-0.3042, 0.5269)
(-5.6526, 5.6526)
(0.4303, -0.4303)
(2.0690, -7.7215)
(-0.1575, 0.5877)
(5.6526, -5.6526)
(-0.4303, 0.4303)
(-3.9939, 6.9177)
(0.3039, -0.5264)
(6.9177, 3.9939)
(-0.5264, -0.3039)
(-6.9177, 3.9939)
(0.5264, -0.3039)
(7.7157, 2.0674)
(-0.5871, -0.1573)
(-5.6483, -5.6483)
(0.4298, 0.4298)
(-7.7157, 2.0674)
(0.5871, -0.1573)
(-2.0674, -7.7157)
(0.1573, 0.5871)
(-6.9177, -3.9939)
(0.5264, 0.3039)
(3.9939, 6.9177)
(-0.3039, -0.5264)
(6.9177, -3.9939)
(-0.5264, 0.3039)
(7.9878, 0.0000)
(-0.6079, 0.0000)
(5.6483, 5.6483)
(-0.4298, -0.4298)
(0.0000, -7.9878)
(0.0000, 0.6079)
(2.0674, 7.7157)
(-0.1573, -0.5871)
(-7.7157, -2.0674)
(0.5871, 0.1573)
(-7.9878, 0.0000)
(0.6079, 0.0000)
(-2.0674, 7.7157)
(0.1573, -0.5871)
(7.7157, -2.0674)
(-0.5871, 0.1573)
(-3.9939, -6.9177)
(0.3039, 0.5264)
(0.0000, 7.9878)
(0.0000, -0.6079)
(3.9939, -6.9177)
(-0.3039, 0.5264)
(-5.6483, 5.6483)
(0.4298, -0.4298)
(2.0674, -7.7157)
(-0.1573, 0.5871)
(5.6483, -5.6483)
(-0.4298, 0.4298)
(-3.9909, 6.9124)
(0.3036, -0.5259)
(6.9124, 3.9909)
(-0.5259, -0.3036)
(-6.9124, 3.9909)
(0.5259, -0.3036)
(7.7098, 2.0658)
(-0.5866, -0.1572)
(-5.6440, -5.6440)
(0.4294, 0.4294)
(-7.7098, 2.0658)
(0.5866, -0.1572)
(-2.0658, -7.7098)
(0.1572, 0.5866)
(-6.9124, -3.9909)
(0.5259, 0.3036)
(3.9909, 6.9124)
(-0.3036, -0.5259)
(6.9124, -3.9909)
(-0.5259, 0.3036)
(7.9818, 0.0000)
(-0.6073, 0.0000)
(5.6440, 5.6440)
(-0.4294, -0.4294)
(0.0000, -7.9818)
(0.0000, 0.6073)
(2.0658, 7.7098)
(-0.1572, -0.5866)
(-7.7098, -2.0658)
(0.5866, 0.1572)
(-7.9818, 0.0000)
(0.6073, 0.0000)
(-2.0658, 7.7098)
(0.1572, -0.5866)
(7.7098, -2.0658)
(-0.5866, 0.1572)
(-3.9909, -6.9124)
(0.3036, 0.5259)
(0.0000, 7.9818)
(0.0000, -0.6073)
(3.9909, -6.9124)
(-0.3036, 0.5259)
(-5.6440, 5.6440)
(0.4294, -0.4294)
(2.0658, -7.7098)
(-0.1572, 0.5866)
(5.6440, -5.6440)
(-0.4294, 0.4294)
(-3.9879, 6.9072)
