Test 2.8/2.8 AM Lone vs Group-trayectorias
(0.1000, 0.0000)
(0.0000, 0.0000)
(0.5000, 10.0000)
(0.0000, 0.0000)
(0.5000, 8.5000)
(0.0000, 0.0000)
(-1.5000, 8.5000)
(0.0000, 0.0000)
(-0.5000, 8.5000)
(0.0000, 0.0000)
(0.5000, 7.0000)
(0.0000, 0.0000)
(1.5000, 8.5000)
(0.0000, 0.0000)
(1.5000, 7.0000)
(0.0000, 0.0000)
(-1.5000, 7.0000)
(0.0000, 0.0000)
(-0.5000, 7.0000)
(0.0000, 0.0000)
(-1.5000, 10.0000)
(0.0000, 0.0000)
(-0.5000, 10.0000)
(0.0000, 0.0000)
(1.5000, 10.0000)
(0.0000, 0.0000)
(0.1000, 0.0300)
(0.0000, 3.0000)
(0.5000, 9.9700)
(0.0000, -3.0000)
(0.4845, 8.4743)
(-1.5536, -2.5664)
(-1.5000, 8.4700)
(0.0000, -3.0000)
(-0.5017, 8.4700)
(-0.1672, -2.9953)
(0.5066, 6.9707)
(0.6590, -2.9267)
(1.5000, 8.4700)
(0.0000, -3.0000)
(1.5160, 6.9746)
(1.5970, -2.5396)
(-1.5156, 6.9744)
(-1.5635, -2.5604)
(-0.4842, 6.9745)
(1.5767, -2.5523)
(-1.5000, 9.9700)
(0.0000, -3.0000)
(-0.5000, 9.9700)
(0.0000, -3.0000)
(1.5000, 9.9700)
(0.0000, -3.0000)
(0.1000, 0.0571)
(0.0000, 2.7071)
(0.5022, 9.9401)
(0.2245, -2.9916)
(0.4928, 8.4455)
(0.8301, -2.8829)
(-1.5000, 8.4776)
(-0.0002, 0.7627)
(-0.5025, 8.4401)
(-0.0834, -2.9988)
(0.5099, 6.9409)
(0.3305, -2.9817)
(1.5000, 8.4429)
(0.0000, -2.7071)
(1.5243, 6.9458)
(0.8287, -2.8833)
(-1.5237, 6.9455)
(-0.8098, -2.8886)
(-0.4771, 6.9494)
(0.7092, -2.5051)
(-1.4832, 9.9451)
(1.6776, -2.4871)
(-0.5000, 9.9429)
(0.0000, -2.7071)
(1.5018, 9.9401)
(0.1827, -2.9944)
(0.1000, 0.0828)
(0.0000, 2.5750)
(0.5034, 9.9101)
(0.1120, -2.9979)
(0.4965, 8.4190)
(0.3755, -2.6543)
(-1.5000, 8.4553)
(-0.0002, -2.2373)
(-0.5029, 8.4101)
(-0.0413, -2.9997)
(0.5115, 6.9110)
(0.1640, -2.9955)
(1.5000, 8.4172)
(0.0000, -2.5750)
(1.5284, 6.9161)
(0.4148, -2.9712)
(-1.5278, 6.9158)
(-0.4052, -2.9725)
(-0.4698, 6.9203)
(0.7297, -2.9099)
(-1.4745, 9.9164)
(0.8747, -2.8697)
(-0.5000, 9.9172)
(0.0000, -2.5750)
(1.5040, 9.9101)
(0.2131, -2.9924)
(0.1000, 0.1080)
(0.0000, 2.5154)
(0.5060, 9.8802)
(0.2614, -2.9886)
(0.4982, 8.3935)
(0.1699, -2.5511)
(-1.5000, 8.4253)
(-0.0001, -3.0000)
(-0.5031, 8.3801)
(-0.0202, -2.9999)
(0.5160, 6.8813)
(0.4480, -2.9664)
(1.5000, 8.3905)
(0.0000, -2.6648)
(1.5304, 6.8861)
(0.2036, -2.9931)
(-1.5298, 6.8859)
(-0.1988, -2.9934)
(-0.4623, 6.8913)
(0.7506, -2.9046)
(-1.4723, 9.8865)
(0.2185, -2.9920)
(-0.5000, 9.8920)
(0.0000, -2.5154)
(1.5050, 9.8802)
(0.1060, -2.9981)
(0.1000, 0.1329)
(0.0000, 2.4885)
(0.5088, 9.8504)
(0.2857, -2.9864)
(0.5016, 8.3636)
(0.3381, -2.9809)
(-1.5000, 8.3953)
(-0.0001, -3.0000)
(-0.5059, 8.3502)
(-0.2744, -2.9874)
(0.5182, 6.8514)
(0.2222, -2.9918)
(1.5000, 8.3959)
(-0.0002, 0.5416)
(1.5314, 6.8561)
(0.0973, -2.9984)
(-1.5307, 6.8559)
(-0.0950, -2.9985)
(-0.4507, 6.8636)
(1.1677, -2.7634)
(-1.4712, 9.8565)
(0.1051, -2.9982)
(-0.5000, 9.8671)
(0.0000, -2.4885)
(1.5219, 9.8554)
(1.6918, -2.4774)
(0.1000, 0.1576)
(0.0000, 2.4763)
(0.5103, 9.8204)
(0.1417, -2.9967)
(0.5033, 8.3337)
(0.1691, -2.9952)
(-1.5000, 8.4030)
(-0.0010, 0.7735)
(-0.5072, 8.3202)
(-0.1364, -2.9969)
(0.5193, 6.8214)
(0.1084, -2.9980)
(1.5000, 8.3714)
(-0.0002, -2.4584)
(1.5319, 6.8261)
(0.0439, -2.9997)
(-1.5312, 6.8259)
(-0.0428, -2.9997)
(-0.4311, 6.8409)
(1.9542, -2.2762)
(-1.4539, 9.8321)
(1.7389, -2.4446)
(-0.4814, 9.8436)
(1.8650, -2.3499)
(1.5308, 9.8267)
(0.8822, -2.8674)
(0.1000, 0.1823)
(0.0000, 2.4709)
(0.5267, 9.7953)
(1.6418, -2.5109)
(0.5069, 8.3039)
(0.3639, -2.9778)
(-1.5000, 8.3807)
(-0.0010, -2.2265)
(-0.5079, 8.2902)
(-0.0671, -2.9992)
(0.5237, 6.7917)
(0.4377, -2.9679)
(1.5000, 8.3414)
(-0.0001, -3.0000)
(1.5371, 6.7966)
(0.5244, -2.9538)
(-1.5313, 6.7959)
(-0.0167, -3.0000)
(-0.4068, 6.8233)
(2.4306, -1.7585)
(-1.4448, 9.8035)
