Test 2.8/2.8 RVO2 Lone vs Group-trayectorias
(-0.0001, 0.0033)
(-0.0072, 0.3265)
(0.4000, 8.9998)
(0.0000, -0.0250)
(-0.5500, 6.9700)
(0.0000, -3.0000)
(-1.5000, 7.9998)
(0.0000, -0.0250)
(0.4000, 7.9998)
(0.0000, -0.0250)
(-0.5500, 7.9998)
(0.0000, -0.0250)
(-0.5500, 8.9998)
(0.0000, -0.0250)
(-1.5000, 6.9700)
(0.0000, -3.0000)
(1.3500, 8.9998)
(0.0000, -0.0250)
(-1.5000, 8.9998)
(0.0000, -0.0250)
(0.4000, 6.9700)
(0.0000, -3.0000)
(1.3500, 7.9998)
(0.0000, -0.0250)
(1.3500, 6.9700)
(0.0000, -3.0000)
(-0.0001, -0.0101)
(-0.0036, -1.3367)
(0.4000, 8.9993)
(0.0000, -0.0500)
(-0.5500, 6.9400)
(0.0000, -3.0000)
(-1.5000, 7.9844)
(0.0000, -1.5390)
(0.4000, 7.9844)
(0.0000, -1.5390)
(-0.5500, 7.9844)
(0.0000, -1.5390)
(-0.5500, 8.9993)
(0.0000, -0.0500)
(-1.5000, 6.9400)
(0.0000, -3.0000)
(1.3500, 8.9993)
(0.0000, -0.0500)
(-1.5000, 8.9993)
(0.0000, -0.0500)
(0.4000, 6.9400)
(0.0000, -3.0000)
(1.3500, 7.9844)
(0.0000, -1.5390)
(1.3500, 6.9400)
(0.0000, -3.0000)
(-0.0001, -0.0318)
(-0.0018, -2.1684)
(0.4000, 8.9910)
(0.0000, -0.8202)
(-0.5500, 6.9100)
(0.0000, -3.0000)
(-1.5000, 7.9614)
(0.0000, -2.2967)
(0.4000, 7.9614)
(0.0000, -2.2967)
(-0.5500, 7.9614)
(0.0000, -2.2967)
(-0.5500, 8.9910)
(0.0000, -0.8202)
(-1.5000, 6.9100)
(0.0000, -3.0000)
(1.3500, 8.9910)
(0.0000, -0.8202)
(-1.5000, 8.9910)
(0.0000, -0.8202)
(0.4000, 6.9100)
(0.0000, -3.0000)
(1.3500, 7.9614)
(0.0000, -2.2967)
(1.3500, 6.9100)
(0.0000, -3.0000)
(-0.0001, -0.0576)
(-0.0009, -2.5842)
(0.4000, 8.9752)
(0.0000, -1.5850)
(-0.5500, 6.8800)
(0.0000, -3.0000)
(-1.5000, 7.9346)
(0.0000, -2.6759)
(0.4000, 7.9346)
(0.0000, -2.6759)
(-0.5500, 7.9346)
(0.0000, -2.6759)
(-0.5500, 8.9752)
(0.0000, -1.5850)
(-1.5000, 6.8800)
(0.0000, -3.0000)
(1.3500, 8.9752)
(0.0000, -1.5850)
(-1.5000, 8.9752)
(0.0000, -1.5850)
(0.4000, 6.8800)
(0.0000, -3.0000)
(1.3500, 7.9346)
(0.0000, -2.6759)
(1.3500, 6.8800)
(0.0000, -3.0000)
(-0.0002, -0.0823)
(-0.0069, -2.4666)
(0.4000, 8.9536)
(0.0000, -2.1575)
(-0.5500, 6.8500)
(0.0000, -3.0000)
(-1.5000, 7.9060)
(0.0000, -2.8657)
(0.4000, 7.9060)
(0.0000, -2.8657)
(-0.5500, 7.9060)
(0.0000, -2.8657)
(-0.5500, 8.9536)
(0.0000, -2.1575)
(-1.5000, 6.8500)
(0.0000, -3.0000)
(1.3500, 8.9536)
(0.0000, -2.1575)
(-1.5000, 8.9536)
(0.0000, -2.1575)
(0.4000, 6.8500)
(0.0000, -3.0000)
(1.3500, 7.9060)
(0.0000, -2.8657)
(1.3500, 6.8500)
(0.0000, -3.0000)
(-0.0003, -0.1064)
(-0.0074, -2.4057)
(0.4000, 8.9282)
(0.0000, -2.5390)
(-0.5500, 6.8200)
(0.0000, -3.0000)
(-1.5000, 7.8764)
(0.0000, -2.9606)
