(-5.1962, 3.0000)
(0.0000, 0.0000)
(-5.1962, -3.0000)
(0.0000, 0.0000)
(0.0000, -6.0000)
(0.0000, 0.0000)
(5.1962, -3.0000)
(0.0000, 0.0000)
(5.1962, 3.0000)
(0.0000, 0.0000)
(0.0000, 6.0000)
(0.0000, 0.0000)
(-5.0558, 2.9190)
(0.5613, -0.3241)
(-5.0558, -2.9190)
(0.5613, 0.3241)
(0.0000, -5.8380)
(0.0000, 0.6481)
(5.0558, -2.9190)
(-0.5613, 0.3241)
(5.0558, 2.9190)
(-0.5613, -0.3241)
(0.0000, 5.8380)
(0.0000, -0.6481)
(-4.8427, 2.7959)
(0.8526, -0.4922)
(-4.8427, -2.7930)
(0.8526, 0.5040)
(-0.0026, -5.5904)
(-0.0102, 0.9903)
(4.8401, -2.7974)
(-0.8628, 0.4863)
(4.8427, 2.7930)
(-0.8526, -0.5040)
(0.0000, 5.5889)
(0.0000, -0.9962)
(-4.6131, 2.6652)
(0.9184, -0.5230)
(-4.6285, -2.6590)
(0.8567, 0.5360)
(-0.0128, -5.3345)
(-0.0412, 1.0234)
(4.6139, -2.6801)
(-0.9050, 0.4692)
(4.6301, 2.6586)
(-0.8504, -0.5374)
(0.0046, 5.3444)
(0.0183, -0.9778)
(-4.3673, 2.5342)
(0.9833, -0.5239)
(-4.4065, -2.4944)
(0.8879, 0.6584)
(-0.0587, -5.0647)
(-0.1833, 1.0793)
(4.3454, -2.5671)
(-1.0740, 0.4521)
(4.4012, 2.4916)
(-0.9157, -0.6682)
(0.0229, 5.0986)
(0.0733, -0.9833)
(-4.1060, 2.4242)
(1.0449, -0.4400)
(-4.1566, -2.2421)
(0.9997, 1.0090)
(-0.1213, -4.7573)
(-0.2505, 1.2298)
(4.0066, -2.4600)
(-1.3551, 0.4282)
(4.1376, 2.3214)
(-1.0543, -0.6808)
(0.1007, 4.8461)
(0.3111, -1.0099)
(-3.8356, 2.4030)
(1.0818, -0.0847)
(-3.9313, -2.0722)
(0.9013, 0.6799)
(-0.2657, -4.5613)
(-0.5774, 0.7838)
(3.7047, -2.3069)
(-1.2077, 0.6126)
(3.8553, 2.1497)
(-1.1293, -0.6866)
(0.1409, 4.5485)
(0.1611, -1.1905)
(-3.5513, 2.3085)
(1.1372, -0.3782)
(-3.7040, -1.8794)
(0.9093, 0.7711)
(-0.3391, -4.2941)
(-0.2938, 1.0689)
(3.4014, -2.2180)
(-1.2131, 0.3554)
(3.6765, 2.0233)
(-0.7149, -0.5056)
(0.2231, 4.2366)
(0.3285, -1.2477)
(-3.2892, 2.2339)
(1.0483, -0.2984)
(-3.4398, -1.6980)
(1.0567, 0.7257)
(-0.4830, -3.9630)
(-0.5755, 1.3245)
(3.1000, -2.0862)
(-1.2055, 0.5272)
(3.5744, 1.8216)
(-0.4087, -0.8068)
(0.2363, 3.9471)
(0.0529, -1.1579)
(-2.9960, 2.2051)
(1.1728, -0.1150)
(-3.2316, -1.5470)
(0.8330, 0.6040)
(-0.5524, -3.6233)
(-0.2777, 1.3587)
(2.8592, -2.0604)
(-0.9631, 0.1032)
(3.3947, 1.6309)
(-0.7187, -0.7629)
(0.2209, 3.6985)
(-0.0615, -0.9945)
(-3.1714, 2.2305)
(-0.7018, 0.1014)
(-3.2854, -1.1311)
(-0.2154, 1.6635)
(-0.5804, -3.2791)
(-0.1120, 1.3767)
(2.5927, -1.9604)
(-1.0660, 0.4002)
(3.1556, 1.4516)
(-0.9565, -0.7173)
(0.2090, 3.4030)
(-0.0478, -1.1821)
(-3.1284, 2.1582)
(0.1720, -0.2890)
(-4.7652, -1.7729)
(-5.9189, -2.5671)
(-0.5853, -2.9326)
(-0.0197, 1.3862)
(2.3004, -1.8660)
(-1.1693, 0.3775)
(2.9774, 1.1451)
(-0.7125, -1.2259)
(0.3739, 3.1826)
(0.6597, -0.8816)
(-2.9676, 2.0341)
(0.6433, -0.4966)
(-5.4137, -2.0475)
(-2.5941, -1.0986)
(-0.4406, -2.6495)
(0.5789, 1.1322)
(3.8719, -1.8094)
(6.2859, 0.2262)
(2.7373, 0.9072)
(-0.9607, -0.9515)
(0.4559, 2.9023)
(0.3279, -1.1211)
(-2.7433, 1.8824)
(0.8972, -0.6069)
(-5.6157, -2.1254)
(-0.8079, -0.3115)
(-0.8427, -2.6489)
(-1.6086, 0.0023)
(4.5727, -1.7032)
(2.8032, 0.4252)
(2.4629, 0.7079)
(-1.0974, -0.7974)
(0.4916, 2.5900)
(0.1429, -1.2494)
(-2.4848, 1.7160)
(1.0339, -0.6654)
(-5.5777, -2.0978)
(0.1518, 0.1103)
(-0.8840, -4.4137)
(-0.1651, -7.0590)
(4.8030, -1.5758)
(0.9214, 0.5095)
(2.1697, 0.5302)
(-1.1727, -0.7106)
(0.5015, 2.2605)
(0.0397, -1.3180)
(-2.2079, 1.5419)
(1.1076, -0.6965)
(-5.4108, -2.0137)
(0.6674, 0.3365)
(-0.8925, -5.2000)
(-0.0339, -3.1451)
(4.7794, -1.4399)
(-0.0945, 0.5433)
(1.6610, -1.0291)
(-2.0348, -6.2371)
(1.2872, 1.4335)
(3.1428, -3.3079)
(-1.9211, 1.3636)
(1.1473, -0.7130)
(-5.1747, -1.8993)
(0.9444, 0.4577)
(-1.2338, -6.2263)
(-1.3652, -4.1052)
(5.2507, -1.0275)
(1.8853, 1.6496)
(1.2321, -1.9112)
(-1.7157, -3.5286)
(1.6815, 0.8297)
(1.5772, -2.4151)
(-1.6289, 1.1832)
(1.1687, -0.7217)
(-4.9014, -1.7686)
(1.0932, 0.5226)
(-1.4008, -6.6162)
(-0.6681, -1.5598)
(5.3527, -0.7478)
(0.4077, 1.1191)
(0.9473, -2.2661)
(-1.1393, -1.4197)
(1.8545, 0.3481)
(0.6921, -1.9263)
(-1.3338, 1.0016)
(1.1802, -0.7263)
(-4.6081, -1.6292)
(1.1732, 0.5575)
(-1.4726, -6.6646)
(-0.2873, -0.1935)
(5.2547, -0.5433)
(-0.3918, 0.8180)
